,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300729,乐歌股份,0.85,88.89,4.11,22.82,1.21,5085.83,87.05,,11-13
1,002913,奥士康,1.62,,,30.66,2.3,16175.69,22.86,,11-13
2,603848,好太太,,,,34.01,,13336.11,19.3,,11-13
3,603711,香飘飘,0.57,11.76,2.77,22.77,0.31,20394.76,10.08,,11-13
4,300727,润禾材料,0.49,,2.62,19.45,0.17,3349.79,7.58,,11-07
5,002912,中新赛克,1.86,2.2,11.23,20.33,2.08,8824.05,12.64,,11-07
6,603685,晨丰科技,1.0,,3.31,31.74,0.69,5871.93,116.58,,11-06
7,603661,恒林股份,2.53,56.17,,43.22,3.12,18974.54,55.78,,10-31
8,300726,宏达电子,0.23,-90.17,1.57,18.5,0.01,7495.61,-47.05,,10-31
9,002911,佛燃股份,0.74,21.31,3.08,26.24,1.41,36917.59,20.89,,10-31
10,603365,水星家纺,0.8,6.67,,20.36,1.2,13478.16,16.9,,10-31
11,603970,中农立华,0.88,9.35,3.03,32.52,-2.54,8826.7,9.35,,10-30
12,600933,爱柯迪,0.53,,,31.08,0.62,34748.05,36.06,10派1,10-30
13,601019,山东出版,0.54,5.88,2.42,23.14,0.43,98421.42,5.04,,10-30
14,603076,乐惠国际,1.28,26.73,5.34,37.93,1.7,6440.26,27.46,,10-30
15,300725,药石科技,0.46,,2.91,17.85,0.55,1993.45,-11.29,,10-30
16,300723,一品红,0.5,,1.63,41.85,0.29,6042.02,49.89,,10-30
17,300722,新余国科,0.64,,3.09,21.47,0.21,2731.36,22.72,,10-27
18,002864,盘龙药业,0.66,6.45,,15.97,0.62,4263.82,6.4,,10-25
19,603605,珀莱雅,0.96,-8.57,,43.08,1.08,14374.96,-9.14,,10-25
20,300721,怡达股份,1.16,170.5,6.52,18.7,3.34,5757.43,170.5,,10-24
21,300720,海川智能,0.59,1.72,3.68,17.01,0.68,3182.82,1.15,,10-24
22,300717,华信新材,0.88,33.33,5.01,19.27,1.02,4227.88,33.46,,10-24
23,603278,大业股份,0.47,62.07,2.83,17.89,0.88,7255.25,62.04,,10-23
24,603916,苏博特,0.8,471.43,4.55,19.46,0.33,17136.04,646.62,,10-23
25,603083,剑桥科技,1.79,82.65,6.5,27.88,4.35,12282.98,66.87,,10-23
26,300719,安达维尔,,,18.14,22.11,5.62,5371.12,21.89,,10-19
27,300716,国立科技,0.69,,4.62,16.67,0.04,4650.55,16.33,,10-18
28,603809,豪能股份,1.33,-23.16,,17.71,1.4,10660.11,-21.86,,10-18
29,603507,振江股份,0.76,501.59,4.02,25.47,-0.66,5586.89,586.91,,10-17
30,603856,东宏股份,0.68,15.25,,14.34,0.75,10011.44,14.33,,10-16
31,300718,长盛轴承,1.18,5.36,6.07,21.29,1.21,8879.19,5.78,,10-16
