,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603809,豪能股份,1.18,,,,,9401.06,,,11-27
1,002911,佛燃股份,0.55,,,16.85,0.79,27486.51,,,11-21
2,601019,山东出版,0.46,,,17.91,0.15,84046.47,,,11-21
3,300726,宏达电子,0.38,,,20.51,0.09,13792.77,,,11-20
4,603661,恒林股份,2.57,,,,,19259.45,,,11-20
5,603365,水星家纺,0.57,,,,,11328.06,,,11-17
6,603619,中曼石油,0.84,,,29.16,,30189.96,,,11-16
7,603970,中农立华,0.66,,,,,6597.76,,,11-15
8,300723,一品红,0.76,,,37.74,0.67,9111.01,,,11-15
9,002864,盘龙药业,0.36,,,7.74,0.57,2323.28,,,11-15
10,603605,珀莱雅,0.5,,,16.95,0.41,7532.94,,,11-14
11,002913,奥士康,1.27,,,20.24,,13729.28,,,11-13
12,300729,乐歌股份,0.66,,,14.65,0.19,4180.38,,,11-13
13,603278,大业股份,0.72,,,22.45,0.72,11172.4,,,11-10
14,603076,乐惠国际,0.95,,,16.3,1.08,5295.01,,,11-10
15,603916,苏博特,0.41,,,9.02,0.44,9432.85,,,11-09
16,603083,剑桥科技,0.54,,,7.34,0.58,3934.63,,,11-09
17,300719,安达维尔,0.05,,,2.14,-0.8,617.6,,,11-08
18,300716,国立科技,0.48,,,9.57,0.6,3676.18,,,11-08
19,300727,润禾材料,0.35,,,12.24,0.23,2452.1,,,11-07
20,603685,晨丰科技,0.9,,,,,6780.08,,,11-06
21,600903,贵州燃气,0.08,,,3.44,0.4,5305.11,,,11-06
22,300720,海川智能,0.35,,,9.1,0.44,1891.83,,,11-03
23,603507,振江股份,1.1,,,24.13,0.61,10395.67,,,11-03
24,300718,长盛轴承,0.75,,,12.42,1.05,5609.87,,,11-03
25,300717,华信新材,0.61,,,12.18,0.72,2944.96,,,11-03
26,603856,东宏股份,0.56,,,9.92,1.27,8217.43,,,11-03
27,603659,璞泰来,0.52,,,26.02,0.42,19247.17,,,11-02
28,603926,铁流股份,0.9,,,18.32,,8115.14,,,10-31
29,603976,正川股份,0.71,,,11.82,,5753.42,,,10-31
30,603387,基蛋生物,0.97,,,25.62,,9602.16,,,10-31
31,603357,设计总院,0.66,,,23.25,,15989.5,,,10-31
32,603603,博天环境,0.26,,,11.5,,9183.5,,,10-31
33,603912,佳力图,0.38,,,17.8,-0.05,4113.71,,,10-31
34,603232,格尔软件,0.07,,,1.24,,304.88,,,10-31
35,603922,金鸿顺,0.86,19.44,,18.77,,8298.73,19.72,,10-31
36,603617,君禾股份,0.52,40.54,,19.42,,3923.23,54.25,,10-31
37,603730,岱美股份,0.91,,,24.92,,32589.67,,,10-31
38,603825,华扬联众,0.04,,,0.84,,451.77,,,10-31
39,600909,华安证券,0.18,,,7.71,,51393.41,,,10-31
40,300711,广哈通信,0.27,,,13.41,-0.06,2966.25,,,10-31
41,603707,健友股份,0.57,,,17.14,,20489.18,,,10-31
42,603110,东方材料,0.53,,,14.46,,4103.53,,,10-31
43,603229,奥翔药业,0.28,,,16.46,,3372.92,,,10-31
44,603363,傲农生物,0.18,,,15.33,,6327.18,,,10-31
45,603335,迪生力,0.21,,,12.72,,3953.71,,,10-31
46,603908,牧高笛,0.86,,,23.35,,4310.77,,,10-31
47,601375,中原证券,0.17,,,6.76,,54975.58,,,10-31
48,603607,京华激光,0.6,,,16.48,,4039.67,,,10-31
49,603813,原尚股份,0.37,,,8.24,,2418.49,,,10-31
50,603043,广州酒家,0.5,,,20.9,,17652.49,,,10-31
51,603689,皖天然气,0.28,,,6.1,,6971.16,,,10-31
52,603098,森特股份,0.42,,,14.39,,14008.0,,,10-31
53,601881,中国银河,0.37,,,6.19,,354950.56,,,10-31
54,601949,中国出版,0.11,,,4.14,,16214.76,,,10-31
55,603829,洛凯股份,0.32,,,13.33,,3891.54,,,10-31
56,603359,东珠景观,0.83,,,12.79,,14152.71,,,10-31
57,002858,力盛赛车,0.08,,,,,360.41,,,10-31
58,603458,勘设股份,1.26,,,15.93,,11695.74,,,10-31
59,002863,今飞凯达,0.25,,,,,4230.66,,,10-31
60,603196,日播时尚,0.18,,,7.56,,3328.69,,,10-31
61,603926,铁流股份,0.9,,,18.32,,8115.14,,,10-31
62,603976,正川股份,0.71,,,11.82,,5753.42,,,10-31
63,603357,设计总院,0.66,,,23.25,,15989.5,,,10-31
64,603387,基蛋生物,0.97,,,25.62,,9602.16,,,10-31
65,603603,博天环境,0.26,,,11.5,,9183.5,,,10-31
66,603912,佳力图,0.38,,,17.8,-0.05,4113.71,,,10-31
67,603232,格尔软件,0.07,,,1.24,,304.88,,,10-31
68,603055,台华新材,0.29,,,11.01,,13717.57,,,10-30
69,603326,我乐家居,0.22,,,10.71,,2689.41,,,10-30
70,300635,达安股份,0.44,,,,,4430.11,,,10-30
71,603396,金辰股份,0.87,,,13.04,,4904.38,,,10-30
72,300653,正海生物,0.5,,,,,2972.16,,,10-30
73,300640,德艺文创,0.44,,,,,2643.15,,,10-30
74,300659,中孚信息,0.2,,,,,1235.96,,,10-30
75,603683,晶华新材,0.4,,,8.71,,3791.57,,,10-30
76,002883,中设股份,0.61,,,,,2458.29,,,10-30
77,603385,惠达卫浴,0.65,,,7.15,,13915.82,,,10-30
78,300665,飞鹿股份,0.22,,,,,1278.24,,,10-30
79,603797,联泰环保,0.27,,,6.55,,4296.67,,,10-30
80,002888,惠威科技,0.33,-2.94,,,,2063.1,-3.03,,10-30
81,002906,华阳集团,0.44,,,,,17624.41,,,10-30
82,300652,雷迪克,0.69,,,,,4548.82,,,10-30
83,300709,精研科技,2.1,,,,,13884.56,,,10-30
84,603316,诚邦股份,0.26,,,10.15,,3894.96,,,10-30
85,603383,顶点软件,0.23,,,8.21,,1448.7,,,10-30
86,300645,正元智慧,-0.08,,,,,-408.65,,,10-30
87,300682,朗新科技,-0.19,,,,,-6996.66,,,10-30
88,603728,鸣志电器,0.43,,,15.28,,10252.66,,,10-30
89,603269,海鸥股份,0.25,,,4.35,,1738.95,,,10-30
90,300669,沪宁股份,0.53,,,,,3375.48,,,10-30
91,603037,凯众股份,1.1,,,16.45,,6583.37,,,10-30
92,002876,三利谱,0.73,,,,,4367.23,,,10-30
93,603331,百达精工,0.43,,,12.75,,4084.6,,,10-30
94,002910,庄园牧场,0.37,,,7.21,0.72,5362.29,,,10-30
95,603776,永安行,0.98,,,12.26,,7247.63,,,10-30
96,603855,华荣股份,0.2,,,6.88,,5046.43,,,10-30
97,601858,中国科传,0.14,,,4.72,,9208.77,,,10-30
98,603321,梅轮电梯,0.25,,,13.27,,5764.44,,,10-30
99,002903,宇环数控,0.65,,,,,4838.12,,,10-30
100,300707,威唐工业,0.78,,,,,4566.87,,,10-30
101,603181,皇马科技,,,,14.41,,8488.01,,,10-30
102,002851,麦格米特,0.59,,,,,7859.77,,,10-30
103,603289,泰瑞机器,0.28,,,10.55,0.49,4354.35,,,10-30
104,603963,大理药业,0.48,,,16.33,,3568.03,,,10-30
105,300699,光威复材,0.4,,,,,10998.0,,,10-30
106,300686,智动力,0.38,,,,,3589.73,,,10-30
107,601326,秦港股份,0.03,,,1.34,,15561.44,,,10-30
108,603826,坤彩科技,0.29,,,17.73,,7878.53,,,10-30
109,603938,三孚股份,0.48,,,10.61,,5442.02,,,10-30
110,603985,恒润股份,1.15,,,17.93,,6876.72,,,10-30
111,300712,永福股份,0.42,,,11.24,-0.01,4459.33,,,10-30
112,300679,电连技术,3.25,,,,,29241.4,,,10-28
113,300648,星云股份,0.55,,,,,2790.91,,,10-28
114,300666,江丰电子,0.22,,,,,3537.96,,,10-28
115,603602,纵横通信,0.29,,,6.18,,1724.12,,,10-28
116,603630,拉芳家化,0.78,,,13.82,,10253.46,,,10-28
117,002837,英维克,0.92,,,,,5508.37,,,10-28
118,300621,维业股份,0.39,,,,,3942.25,,,10-28
119,603050,科林电气,0.19,,,3.97,,2269.44,,,10-28
120,603165,荣晟环保,0.76,,,22.85,,7191.84,,,10-28
121,002859,洁美科技,0.39,,,,,9037.96,,,10-28
122,300663,科蓝软件,-0.66,,,,,-6466.09,,,10-28
123,603063,禾望电气,0.46,,,13.41,,16611.82,,,10-28
124,002905,金逸影视,1.07,,,,,13489.35,,,10-28
125,603106,恒银金融,0.57,,,18.09,,11951.12,,,10-28
126,603533,掌阅科技,0.13,,,7.03,,4763.7,,,10-28
