,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
1910,2136,安 纳 达,化工原料,安徽,18.53,2.13,2.15,102815.53,39436.48,58128.88,35026.01,1.63,0.58,2.93,4.89,20070530,4882.22,0.23,49.44,554.65,24.38,14.49,23436.0
1936,2619,艾格拉斯,互联网,浙江,39.15,6.09,18.45,697764.44,308563.47,352.76,309102.69,1.68,0.15,3.05,2.18,20110929,67998.1,0.37,47.34,91.31,79.92,48.33,46281.0
1941,709,河钢股份,普钢,河北,14.58,106.17,106.19,18778436.0,5477618.5,10127093.0,2320581.5,2.19,0.207,4.35,0.92,19970416,1014572.81,0.96,47.02,135.18,11.84,2.53,476462.0
1942,985,大庆华科,化工原料,黑龙江,52.8,1.3,1.3,71234.74,28905.25,37390.26,25894.61,2.0,0.286,4.18,4.81,20000726,8697.85,0.67,53.19,77.43,10.72,3.39,11209.0
1955,2564,天沃科技,化工机械,江苏,21.85,5.68,7.36,1949615.63,1398414.38,188839.95,140279.94,1.91,0.28,3.66,2.23,20110310,46935.25,0.64,813.58,468.82,9.32,2.28,51177.0
1957,885,同力水泥,水泥,河南,10.28,4.27,4.96,790873.75,61172.21,519215.25,5521.35,0.11,1.2,3.75,4.36,19990319,92444.4,1.86,20.93,115.91,42.64,15.58,57040.0
1971,2682,龙洲股份,公路,福建,29.05,1.93,3.75,759555.13,416066.81,141263.02,158063.94,4.22,0.32,7.08,1.56,20120612,62663.9,1.67,110.67,264.96,16.27,3.41,22576.0
2008,2431,棕榈股份,建筑施工,广东,53.56,9.4,14.87,1488382.38,1019772.13,68053.71,232544.7,1.56,0.13,3.62,2.39,20100610,139306.38,0.94,33.31,112.14,20.27,5.08,119008.0
2016,2279,久其软件,软件服务,北京,37.31,2.74,7.11,420918.59,195642.63,23126.0,88471.75,1.24,0.204,3.28,3.1,20090811,67768.86,0.95,42.08,90.64,53.6,13.78,41079.0
2050,683,远兴能源,化工原料,内蒙,17.8,28.33,39.67,2235942.0,630776.19,919730.88,169355.61,0.43,0.13,2.2,1.37,19970131,275623.88,0.69,39.85,897.69,26.21,6.21,150870.0
2059,2121,科陆电子,电器仪表,深圳,35.38,7.04,14.08,1488688.25,766328.38,354954.72,196260.2,1.39,0.2,3.33,2.72,20070306,122506.86,0.87,37.66,287.52,31.97,9.65,68989.0
2065,2683,宏大爆破,化工原料,广东,37.89,5.74,7.01,629489.94,378440.38,103884.32,158851.66,2.26,0.151,4.19,1.82,20120612,58133.51,0.83,29.42,255.7,19.75,4.26,25480.0
2070,2061,江山化工,化工原料,浙江,50.91,4.53,13.05,474884.0,133646.95,287992.03,204299.45,1.57,0.5,4.31,3.55,20060816,-1518.46,-0.01,32.15,607.0,22.05,8.68,37251.0
2095,680,山推股份,工程机械,山东,69.28,10.57,12.41,929267.13,567103.75,175768.84,119013.1,0.96,0.051,2.66,1.78,19970122,49407.44,0.4,50.06,177.93,16.71,1.29,129788.0
2097,2617,露笑科技,电气设备,浙江,37.22,6.98,7.35,583202.25,304810.5,64676.26,126226.32,1.72,0.318,3.38,4.67,20110920,45879.6,0.62,145.35,382.57,20.38,9.98,14658.0
2102,2632,道明光学,化工原料,浙江,43.87,5.54,6.09,214762.02,95808.18,60772.48,69929.36,1.15,0.136,2.73,2.92,20111122,32912.9,0.54,52.01,115.62,37.19,15.55,42394.0
2120,40,东旭蓝天,全国地产,深圳,40.79,10.6,13.37,2480558.0,1800001.63,281465.22,887361.81,6.64,0.242,8.43,1.56,19940808,85886.61,0.64,117.05,146.46,16.57,6.24,29970.0
2144,545,金浦钛业,化工原料,吉林,28.51,9.59,9.87,268466.06,122925.86,121347.76,-6411.75,-0.06,0.133,2.01,2.51,19931215,97811.53,0.99,114.54,171.42,24.85,10.06,83497.0
2146,2340,格林美,小金属,深圳,49.85,31.14,38.16,2140524.0,1106881.25,519580.41,203301.63,0.53,0.102,1.92,3.52,20100122,135678.41,0.36,40.34,95.36,20.51,5.33,232837.0
2148,799,酒鬼酒,白酒,湖南,56.71,2.24,3.25,236485.84,167185.55,41268.6,116125.95,3.57,0.358,5.99,4.52,19970718,25870.82,0.8,27.01,77.67,77.21,21.11,65129.0
2159,2295,精艺股份,铜,广东,45.92,1.75,2.52,159483.44,129937.52,16314.15,62036.88,2.47,0.196,4.46,2.69,20090929,23299.75,0.93,43.98,443.46,4.38,1.26,15511.0
2181,800,一汽轿车,汽车整车,吉林,44.39,14.12,16.28,1745144.25,928319.31,436672.09,248890.22,1.53,0.179,4.91,2.16,19970618,285519.69,1.75,32.17,140.69,24.24,1.47,82175.0
2185,951,中国重汽,汽车整车,山东,11.27,6.71,6.71,2788944.75,2575557.75,129271.82,43243.28,0.64,1.061,8.12,1.96,19991125,378922.97,5.65,98.53,214.44,10.4,2.52,22301.0
2199,2427,尤夫股份,化纤,浙江,40.38,3.98,3.98,821535.5,470211.41,196092.77,131319.97,3.3,0.539,6.06,4.79,20100608,63671.65,1.6,127.68,86.46,23.88,5.78,19196.0
2206,2645,华宏科技,专用机械,江苏,36.18,1.49,2.09,206112.0,99772.55,33986.82,107329.63,5.12,0.418,7.82,2.58,20111220,31800.71,1.52,30.94,78.72,21.44,9.39,13142.0
2222,2258,利尔化学,农药化肥,四川,25.82,5.24,5.24,385823.13,146118.09,164445.97,81014.02,1.54,0.437,4.22,3.56,20080708,75352.5,1.44,38.36,69.65,25.97,11.78,23771.0
2236,637,茂化实华,石油加工,广东,29.56,3.66,5.2,117842.97,69936.77,34047.05,697.15,0.01,0.146,1.69,3.4,19961114,15414.76,0.3,63.75,123.5,6.05,2.29,39649.0
2258,78,海王生物,生物制药,深圳,28.98,18.57,26.47,2527531.25,2043509.0,62349.45,248207.3,0.94,0.155,2.13,2.81,19981218,55258.36,0.21,58.87,80.47,13.33,2.54,145481.0
2267,2599,盛通股份,广告包装,北京,57.62,1.82,3.24,227419.84,102463.06,66150.25,85817.45,2.65,0.17,4.52,2.69,20110715,25301.64,0.78,51.18,157.78,19.07,5.45,9057.0
2329,2499,科林环保,环境保护,江苏,64.09,1.63,1.89,190283.66,175224.23,132.7,35176.18,1.86,0.241,3.95,5.21,20101109,18311.03,0.97,305.42,152.08,15.66,5.05,18364.0
2344,2235,安妮股份,造纸,福建,49.56,3.34,4.16,272703.47,126430.06,19098.98,196559.2,4.73,0.152,5.86,1.71,20080516,5426.16,0.13,66.06,473.5,31.63,14.46,30659.0
2354,2166,莱茵生物,中成药,广西,37.32,3.49,4.37,301121.97,189767.63,14178.19,26166.93,0.6,0.206,2.14,4.79,20070913,21603.4,0.49,66.79,110.53,30.38,16.52,64108.0
2369,2064,华峰氨纶,化纤,浙江,23.74,15.36,16.77,546675.25,231770.02,207936.0,1968.8,0.01,0.167,1.97,2.7,20060823,132966.73,0.79,54.99,177.63,19.94,9.25,81889.0
2375,2534,杭锅股份,专用机械,浙江,16.61,7.22,7.39,780060.75,520670.06,147632.98,81159.06,1.1,0.489,3.95,2.74,20110110,119106.46,1.61,46.57,135.13,26.11,13.36,20528.0
2386,2737,葵花药业,中成药,黑龙江,27.47,1.21,2.92,424572.69,245376.91,118787.85,114399.22,3.92,0.842,9.5,3.25,20141230,117600.82,4.03,23.09,100.43,58.94,9.38,28601.0
2393,2515,金字火腿,食品,浙江,46.95,6.16,9.78,222761.25,117584.26,43451.48,18090.45,0.18,0.136,1.53,5.58,20101203,30108.3,0.31,146.7,537.34,53.68,45.78,40763.0
2396,937,冀中能源,煤炭开采,河北,17.95,29.07,35.34,4611064.0,1823154.25,1417021.75,415691.5,1.18,0.238,5.49,1.04,19990909,960779.88,2.72,71.81,937.24,23.6,5.46,118506.0
2410,2101,广东鸿图,机械基件,广东,23.23,2.48,3.55,779729.63,349246.16,189736.06,301093.91,8.49,0.78,12.07,1.72,20061229,83197.67,2.35,88.3,101.4,24.94,6.77,15986.0
2412,657,中钨高新,小金属,海南,44.79,2.46,6.29,729779.88,416697.75,218562.91,274118.03,4.36,0.199,4.94,2.41,19961205,-24324.51,-0.39,24.3,468.31,19.51,2.58,40277.0
2429,2042,华孚时尚,纺织,安徽,15.64,8.38,10.13,1503744.25,961566.31,397190.03,303004.69,2.99,0.597,6.69,1.86,20050427,264605.81,2.61,30.6,50.8,13.02,6.82,25286.0
2438,514,渝 开 发,区域地产,重庆,60.42,8.44,8.44,653530.94,509994.81,1328.16,118617.51,1.41,0.08,3.53,1.82,19930712,78670.22,0.93,51.18,517.71,24.13,9.13,73991.0
2441,2088,鲁阳节能,矿物制品,山东,24.37,2.09,3.51,229246.77,124612.3,64070.21,42096.57,1.2,0.396,5.13,2.51,20061130,88785.93,2.53,34.13,117.65,35.95,12.54,13464.0
2492,2073,软控股份,软件服务,山东,64.43,7.51,9.35,884520.88,608486.81,151534.72,204601.77,2.19,0.091,4.92,1.59,20061018,130346.8,1.39,41.14,340.36,21.77,4.46,50000.0
2496,980,众泰汽车,汽车配件,安徽,38.34,5.28,20.38,3130792.25,1666269.75,289828.22,1326577.75,6.51,0.33,7.92,1.52,20000616,81691.02,0.4,831.13,982.85,18.36,4.14,60000.0
2503,990,诚志股份,化工原料,江西,23.12,3.88,12.53,2076766.0,648421.88,430623.84,1290378.63,10.3,0.535,12.68,1.3,20000706,167407.66,1.34,138.05,2972.0,32.86,15.94,26034.0
2526,2449,国星光电,半导体,广东,25.43,4.07,4.76,608617.94,364228.03,195736.8,162906.84,3.42,0.543,6.43,2.87,20100716,82408.36,1.73,54.1,97.41,22.34,10.01,25425.0
2573,567,海德股份,区域地产,海南,44.5,1.5,1.51,225713.97,197612.23,630.53,11688.32,0.77,0.373,1.79,12.35,19940525,916.95,0.06,531.17,3373.6,0.0,43.12,19089.0
2581,2283,天润曲轴,汽车配件,山东,21.29,11.24,11.25,597797.69,270373.5,252858.3,133249.06,1.18,0.201,3.36,1.7,20090821,121116.77,1.08,84.26,82.1,25.8,10.35,57054.0
2662,2326,永太科技,化工原料,浙江,27.04,5.17,8.22,597725.5,243204.88,132903.5,101108.38,1.23,0.341,3.36,3.65,20091222,89681.13,1.09,44.54,128.16,26.38,14.81,74028.0
2847,2768,国恩股份,塑料,山东,35.33,0.87,2.4,211148.75,134942.97,50633.55,22617.92,0.94,0.559,3.92,6.72,20150630,43581.25,1.82,62.04,67.23,20.58,9.76,17253.0
2851,2740,爱迪尔,服饰,深圳,40.07,1.66,3.31,252475.72,223118.5,5076.25,59109.7,1.79,0.184,4.37,2.25,20150122,47221.51,1.43,94.19,54.84,8.03,4.07,25548.0
2870,2567,唐人神,饲料,湖南,22.17,6.3,8.37,580876.13,226106.09,174013.77,158408.25,1.89,0.27,3.98,1.89,20110325,71121.93,0.85,32.4,58.21,9.72,2.06,27229.0
2872,2545,东方铁塔,钢加工,山东,63.23,3.62,13.16,1060732.13,225141.3,210755.09,454167.19,3.45,0.103,5.28,1.64,20110211,77423.92,0.59,28.99,68.35,32.35,9.89,30345.0
2875,2507,涪陵榨菜,食品,重庆,32.67,7.7,7.89,231075.5,138622.91,71004.96,2129.11,0.03,0.385,2.3,7.28,20101123,90320.25,1.14,32.03,53.98,46.76,24.77,17006.0
2882,2442,龙星化工,化工原料,河北,63.53,3.52,4.8,298020.16,169627.88,94472.78,41171.53,0.86,0.145,2.4,5.11,20100706,22627.07,0.47,48.69,374.29,18.97,3.51,14046.0
2884,2435,长江润发,机械基件,江苏,26.55,1.84,4.91,645084.81,313957.97,100278.53,413702.94,8.43,0.498,10.61,1.66,20100618,54814.11,1.12,27.38,114.15,39.48,12.37,9681.0
2885,2434,万里扬,汽车配件,浙江,20.09,10.19,13.5,914720.81,426409.41,155652.2,310087.5,2.3,0.425,4.46,2.55,20100618,145268.56,1.08,72.59,161.29,25.46,15.23,28789.0
2890,2366,台海核电,专用机械,四川,26.28,4.89,8.67,627975.69,346928.91,192402.22,74047.71,0.85,0.755,2.76,9.57,20100312,132774.41,1.53,101.08,84.99,62.01,40.76,18700.0
2904,2195,二三四五,软件服务,上海,21.35,30.98,32.9,849733.19,558832.5,6698.68,225970.02,0.69,0.22,2.23,2.76,20071212,183881.66,0.56,57.02,94.38,90.89,36.23,175234.0
2907,2188,巴士在线,广告包装,浙江,48.45,1.84,2.96,240857.02,65851.93,13809.74,161092.7,5.45,0.353,7.27,3.14,20071122,23434.6,0.79,31.58,284.28,43.84,19.47,11868.0
2909,2171,楚江新材,铜,安徽,21.18,8.33,10.69,453294.09,328310.97,60185.51,159394.06,1.49,0.246,3.12,2.23,20070921,62893.96,0.59,38.38,81.44,6.11,3.36,44223.0
2911,2164,宁波东力,电气设备,浙江,70.0,4.14,6.99,1551431.63,1280203.13,64842.38,234646.17,3.36,0.14,4.75,1.91,20070823,23054.02,0.33,1422.83,1242.97,3.84,1.22,37098.0
2913,2160,常铝股份,铝,江苏,33.04,4.91,7.24,622252.69,297916.59,151107.36,218265.63,3.01,0.153,4.45,1.51,20070821,27155.9,0.37,40.03,56.07,17.64,3.84,53310.0
2920,2075,沙钢股份,特种钢,江苏,72.13,22.07,22.07,891141.38,461768.69,331423.53,-60860.16,-0.28,0.168,1.39,11.56,20061025,124721.76,0.57,69.99,181.44,14.21,4.16,47367.0
2922,2037,久联发展,化工原料,贵州,43.7,3.27,3.27,758430.63,471647.09,110521.21,62000.44,1.89,0.192,6.35,1.76,20040908,90969.03,2.78,61.48,216.77,19.86,2.04,21143.0
2933,971,高升控股,互联网,湖北,51.79,2.91,5.11,388912.22,97948.61,34457.43,331824.0,6.49,0.243,7.14,2.35,20000427,-20095.65,-0.39,45.32,121.7,34.78,19.52,25000.0
2934,967,盈峰环境,电气设备,浙江,30.17,7.44,10.93,692516.06,394485.97,31726.9,146984.98,1.34,0.226,3.31,2.75,20000330,67356.77,0.62,32.94,52.14,19.02,7.57,27587.0
2945,820,神雾节能,环境保护,辽宁,45.38,2.88,6.37,204989.84,198675.52,931.6,895.19,0.01,0.479,1.63,17.8,19980630,89676.55,1.41,99.57,102.81,55.35,35.0,21828.0
2966,612,焦作万方,铝,河南,30.32,9.99,11.92,735693.19,139737.94,257505.41,160634.2,1.35,0.229,4.03,2.29,19960926,160096.22,1.34,39.25,542.4,6.16,7.22,57697.0
2971,564,供销大集,百货,陕西,20.84,18.88,60.08,5473592.5,3046968.5,523395.5,2469684.5,4.11,0.172,5.02,0.95,19940110,-69083.88,-0.11,67.58,717.09,16.56,6.48,52585.0
2977,526,*ST紫学,文教休闲,福建,41.58,0.96,0.96,373749.47,166655.75,14803.67,5808.39,0.6,0.662,1.08,33.84,19931101,-5105.64,-0.53,178.83,278.9,31.12,2.79,14177.0
2981,425,徐工机械,工程机械,江苏,24.87,69.94,70.08,5059979.5,3723039.5,721926.5,334410.5,0.48,0.111,3.02,1.22,19960828,996835.38,1.42,78.2,370.39,20.02,3.61,248494.0
2984,401,冀东水泥,水泥,河北,43.66,13.47,13.48,4173308.5,1180423.13,2254294.75,492174.91,3.65,0.237,7.65,1.8,19960614,289782.53,2.15,25.53,170.57,29.3,2.8,150035.0
2985,157,中联重科,工程机械,湖南,18.95,62.26,76.25,8611717.0,6450832.0,607094.44,1283084.5,1.68,0.168,4.89,0.87,20001012,1510209.88,1.98,26.64,259.84,21.43,7.18,380114.0
2986,56,皇庭国际,房产服务,深圳,72.33,2.86,11.75,1380565.75,286214.22,5496.41,193752.73,1.65,0.138,4.5,2.95,19960708,221319.97,1.88,154.25,116.51,68.83,28.88,17202.0
2994,6,深振业Ａ,区域地产,深圳,29.41,13.45,13.5,1322269.13,1116878.63,296.15,48432.15,0.36,0.251,3.78,2.61,19920427,200825.06,1.49,102.43,196.23,30.48,14.62,80457.0
3007,2766,索菱股份,汽车配件,深圳,42.21,1.73,4.22,276379.13,155635.13,41662.2,91269.07,2.16,0.256,4.37,3.29,20150611,45030.46,1.07,51.3,77.82,31.86,11.29,30029.0
3019,2611,东方精工,轻工机械,广东,53.87,3.53,11.49,1185356.25,594800.06,59506.11,565586.19,4.92,0.22,6.43,1.99,20110830,53995.76,0.47,115.46,182.62,21.99,8.76,27388.0
