,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
557,2534,杭锅股份,专用机械,浙江,17.12,7.22,7.39,780060.75,520670.06,147632.98,81159.06,1.1,0.489,3.95,2.83,20110110,119106.46,1.61,46.57,135.13,26.11,13.36,20528.0
2496,2366,台海核电,专用机械,四川,26.28,4.89,8.67,627975.69,346928.91,192402.22,74047.71,0.85,0.755,2.76,9.57,20100312,132774.41,1.53,101.08,84.99,62.01,40.76,18700.0
958,2645,华宏科技,专用机械,江苏,33.13,1.49,2.09,206112.0,99772.55,33986.82,107329.63,5.12,0.418,7.82,2.36,20111220,31800.71,1.52,30.94,78.72,21.44,9.39,13142.0
2887,2833,弘亚数控,专用机械,广东,33.51,0.33,1.35,106141.42,84932.96,13542.4,32809.37,2.42,1.45,6.91,9.25,20161228,39719.84,2.94,59.83,61.26,39.02,30.92,9696.0
1844,2737,葵花药业,中成药,黑龙江,28.22,1.31,2.92,424572.69,245376.91,118787.85,114399.22,3.92,0.842,9.5,3.33,20141230,117600.82,4.03,23.09,100.43,58.94,9.38,28601.0
2692,600351,亚宝药业,中成药,山西,29.74,6.92,7.87,446493.59,187617.63,183589.38,107806.06,1.37,0.188,3.5,2.13,20020926,74633.55,0.95,39.25,115.44,55.41,8.06,60262.0
635,2354,天神娱乐,互联网,辽宁,16.35,5.2,9.37,1324858.13,238965.42,2907.28,498399.56,5.32,0.85,9.19,1.9,20100209,197056.67,2.1,70.79,121.66,63.67,33.54,34575.0
776,676,智度股份,互联网,河南,24.95,3.16,9.66,739888.38,436524.06,917.24,350194.59,3.63,0.342,5.05,2.25,19961224,37842.05,0.39,199.99,119.79,12.77,7.46,40598.0
1362,2555,三七互娱,互联网,安徽,27.08,11.67,21.48,873319.5,284776.44,26405.72,195185.88,0.91,0.57,3.07,6.63,20110302,241642.75,1.12,21.73,61.04,68.69,27.13,40126.0
2489,2425,凯撒文化,互联网,广东,29.0,7.52,8.14,444563.06,111429.2,1023.42,214373.2,2.63,0.186,4.36,1.65,20100608,54111.03,0.66,35.18,71.04,67.0,33.05,24922.0
2650,600787,中储股份,仓储物流,天津,15.41,18.6,22.0,2073895.75,1113647.0,197384.67,356935.0,1.62,0.55,4.77,2.37,19970121,354720.97,1.61,98.58,180.87,4.18,6.28,74929.0
626,2245,澳洋顺昌,仓储物流,江苏,30.06,9.09,9.87,631462.5,355594.22,120567.17,26053.42,0.26,0.26,2.28,4.57,20080605,92429.56,0.94,105.18,66.77,23.53,10.28,75838.0
2459,2711,欧浦智网,仓储物流,广东,30.44,10.45,10.56,361043.53,261943.05,25590.28,142.41,0.0,0.265,1.63,6.6,20140127,56984.26,0.54,137.41,75.29,7.33,5.77,21602.0
1828,600982,宁波热电,供气供热,浙江,26.45,7.47,7.47,407090.84,222107.55,81721.31,104906.63,1.4,0.124,3.35,1.31,20040706,54522.55,0.73,59.4,79.26,13.62,7.21,45321.0
3258,2636,金安国纪,元器件,上海,21.91,2.46,7.28,353423.47,262877.69,76302.57,19133.28,0.26,0.544,2.86,5.56,20111125,110458.61,1.52,25.06,150.68,27.17,15.25,55986.0
1525,725,京东方Ａ,元器件,北京,23.25,338.6,347.98,23895564.0,9601318.0,8058987.0,3866193.25,1.11,0.186,2.41,2.4,20010112,944014.38,0.27,51.41,4503.51,26.13,9.33,916662.0
3261,600183,生益科技,元器件,广东,24.7,14.56,14.56,1078938.38,653243.63,352075.59,127586.21,0.88,0.56,3.75,4.87,19981028,206038.02,1.42,26.5,61.32,22.06,10.44,55847.0
259,2217,合力泰,元器件,山东,26.57,17.58,31.28,1840910.75,1128832.63,267497.94,447887.19,1.43,0.29,3.12,3.29,20080220,204815.42,0.65,34.3,57.0,17.72,8.77,30841.0
1947,50,深天马Ａ,元器件,深圳,27.87,14.01,14.01,2723411.25,953202.69,652960.94,1133764.63,8.09,0.538,10.3,1.94,19950315,160825.38,1.15,30.28,99.48,21.23,7.46,74135.0
2643,2057,中钢天源,元器件,安徽,29.52,1.99,2.57,153585.77,105594.5,32316.58,66124.96,2.58,0.36,4.67,2.81,20060802,24545.28,0.96,31.58,82.54,26.74,9.93,20645.0
