,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002911,佛燃股份,0.55,0.0,3.21,15.89,0.86,27724.06,0.86,,11-21
1,601019,山东出版,0.53,15.22,3.12,17.73,-0.04,96439.63,14.75,,11-21
2,603661,恒林股份,2.18,-15.18,,,,16357.91,-15.07,,11-20
3,300726,宏达电子,0.41,5.99,2.53,16.92,0.13,14654.23,6.25,,11-20
4,603365,水星家纺,0.78,36.84,4.94,16.79,,15680.57,38.42,,11-17
5,600933,爱柯迪,0.5,,2.86,17.83,0.65,35056.31,,,11-16
6,603619,中曼石油,0.93,10.71,,21.86,,33715.08,11.68,,11-16
7,002864,盘龙药业,0.51,41.67,5.55,9.61,0.24,3309.32,42.44,,11-15
8,300723,一品红,0.92,21.05,3.69,28.35,0.36,11009.48,20.84,,11-15
9,603970,中农立华,0.73,9.93,,,,7252.67,9.93,,11-15
10,300721,怡达股份,0.82,,8.98,9.4,0.26,4935.98,,,11-14
11,603605,珀莱雅,0.84,68.0,,20.17,1.68,12574.07,66.92,,11-14
12,603076,乐惠国际,0.95,0.0,7.66,13.19,0.4,5294.86,-0.0,,11-10
13,603278,大业股份,0.69,-4.17,4.29,17.18,0.17,10768.82,-3.61,,11-10
14,300725,药石科技,0.96,81.13,5.42,19.38,0.93,5263.76,99.86,,11-09
15,603083,剑桥科技,0.75,38.89,9.91,7.86,1.14,5509.58,40.03,,11-09
16,300722,新余国科,0.46,12.2,3.69,13.03,-0.37,2765.39,12.54,,11-09
17,603916,苏博特,0.5,21.95,5.41,9.84,0.46,11507.12,21.99,,11-09
18,300716,国立科技,0.48,0.0,6.09,8.15,0.82,3815.6,3.79,,11-08
19,300719,安达维尔,0.06,18.25,3.23,1.9,-1.03,767.43,24.26,,11-08
20,300727,润禾材料,0.47,34.29,3.83,13.21,-0.14,3465.52,41.33,,11-07
21,603685,晨丰科技,1.18,31.11,,23.5,,8854.57,30.6,,11-06
22,600903,贵州燃气,0.15,87.5,3.3,4.51,0.5,10235.87,92.94,,11-06
23,300720,海川智能,0.44,25.71,4.41,10.09,0.42,2357.52,24.62,,11-03
24,603856,东宏股份,0.69,23.21,6.25,11.03,-0.78,10228.39,24.47,,11-03
25,300718,长盛轴承,1.24,65.33,7.55,17.22,0.9,9303.65,65.84,,11-03
26,603507,振江股份,1.12,1.36,6.67,18.29,0.27,10537.62,1.37,,11-03
27,300717,华信新材,0.68,11.48,6.15,11.78,0.52,3287.6,11.63,,11-03
28,603659,璞泰来,0.88,69.23,3.58,27.94,-0.11,32393.25,68.3,,11-02
29,603937,丽岛新材,0.45,,,,,7072.08,,,11-01
30,600183,生益科技,0.56,60.0,,15.44,,80663.89,61.32,,10-31
31,600577,精达股份,0.13,52.27,,8.78,,26169.96,52.18,,10-31
32,000066,中国长城,0.1,400.49,,4.71,,29916.54,1013.0,,10-31
33,000157,中联重科,0.17,-270.0,,3.42,,128233.27,-259.84,,10-31
34,600611,大众交通,0.24,33.54,,6.09,,56824.74,30.94,,10-31
35,000903,云内动力,0.1,-45.79,,3.99,,18167.81,19.6,,10-31
36,603360,百傲化学,0.65,-10.96,,12.1,,8146.95,12.22,,10-31
37,600236,桂冠电力,0.3,-25.8,,13.1,,184358.55,-24.79,,10-31
38,600629,华建集团,0.35,-6.89,,7.6,,14392.78,5.77,,10-31
39,000537,广宇发展,0.26,-46.94,,5.57,,13132.01,-47.61,,10-31
40,603598,引力传媒,0.11,0.0,,5.03,,3057.43,7.44,,10-31
41,002324,普利特,0.59,-29.76,,7.3,,15950.85,-29.64,,10-31
42,600329,中新药业,0.47,4.44,,8.35,,35950.48,2.93,,10-31
43,000599,青岛双星,0.16,33.33,,3.9,,10504.31,29.56,,10-31
44,600735,新华锦,0.14,17.23,,6.7,,5090.56,17.17,,10-31
45,600369,西南证券,0.1,-47.37,,3.08,,59052.92,-44.11,,10-31
46,600751,天海投资,0.04,-43.59,,0.95,,12119.4,-43.63,,10-31
47,603730,岱美股份,1.18,29.67,,23.14,,43617.49,33.84,,10-31
48,000638,万方发展,0.08,198.15,,10.67,,2491.95,197.57,,10-31
49,600030,中信证券,0.65,-1.52,,5.45,,792702.67,-0.18,,10-31
50,600787,中储股份,0.55,180.87,,12.13,,120894.26,180.87,,10-31
51,600432,*ST吉恩,-0.59,55.26,,-58.99,,-94575.22,56.24,,10-31
52,002420,毅昌股份,-0.45,288.96,,-11.62,,-18233.22,288.96,,10-31
53,603877,太平鸟,0.36,-36.84,,5.78,,16998.3,-28.73,,10-31
54,600822,上海物贸,0.05,39.1,,4.27,,2312.24,39.36,,10-31
55,002436,兴森科技,0.11,-60.71,,6.69,,15878.97,13.66,,10-31
56,603901,永创智能,0.14,-22.22,,6.24,,5721.83,-18.62,,10-31
57,600502,安徽水利,0.35,84.21,,9.17,,43170.18,146.34,,10-31
58,603110,东方材料,0.58,9.43,,14.18,,4466.85,8.85,,10-31
59,002468,申通快递,0.74,4613.38,,18.77,,112740.84,21533.3,,10-31
60,600988,赤峰黄金,0.21,0.0,,5.99,,15281.15,0.26,,10-31
61,600213,亚星客车,0.11,-45.0,,17.23,,2456.17,-43.38,,10-31
62,600605,汇通能源,0.1,-36.84,,2.44,,1419.82,-36.78,,10-31
63,000898,鞍钢股份,0.45,236.3,,7.08,,328500.0,236.23,,10-31
64,600622,光大嘉宝,0.38,46.15,,6.44,,33475.12,94.21,,10-31
65,000425,徐工机械,0.11,362.5,,3.73,,77785.2,370.39,,10-31
66,000935,四川双马,0.12,100.0,,3.39,,9368.63,102.0,,10-31
67,000511,*ST烯碳,-0.11,57.14,,-11.8,,-12588.76,55.46,,10-31
68,600661,新南洋,0.42,-16.46,,10.06,,12030.35,-7.59,,10-31
69,601211,国泰君安,0.8,-14.89,,6.61,,703531.55,-7.99,,10-31
70,600680,*ST上普,-0.47,366.0,,-25.03,,-17794.64,360.78,,10-31
71,000979,中弘股份,0.01,-67.43,,0.84,,8268.32,-48.75,,10-31
72,603611,诺力股份,0.64,-14.67,,7.9,,11942.1,-0.78,,10-31
73,601618,中国中冶,0.16,0.0,,5.26,,354888.6,5.71,,10-31
74,002335,科华恒盛,1.3,225.0,,11.0,,35151.26,253.41,,10-31
75,000593,大通燃气,0.01,-6.67,,0.45,,498.23,8.5,,10-31
76,601727,上海电气,0.14,6.15,,3.82,,187744.7,6.15,,10-31
77,603686,龙马环卫,0.72,28.57,,14.98,,19148.49,26.03,,10-31
78,600363,联创光电,0.39,10.34,,8.08,,17270.4,10.36,,10-31
79,600751,天海投资,0.04,-43.59,,0.95,,12119.4,-43.63,,10-31
80,603730,岱美股份,1.18,29.67,,23.14,,43617.49,33.84,,10-31
81,000638,万方发展,0.08,198.15,,10.67,,2491.95,197.57,,10-31
82,600030,中信证券,0.65,-1.52,,5.45,,792702.67,-0.18,,10-31
83,600787,中储股份,0.55,180.87,,12.13,,120894.26,180.87,,10-31
84,600432,*ST吉恩,-0.59,55.26,,-58.99,,-94575.22,56.24,,10-31
85,002420,毅昌股份,-0.45,288.96,,-11.62,,-18233.22,288.96,,10-31
86,603877,太平鸟,0.36,-36.84,,5.78,,16998.3,-28.73,,10-31
87,600822,上海物贸,0.05,39.1,,4.27,,2312.24,39.36,,10-31
88,002436,兴森科技,0.11,-60.71,,6.69,,15878.97,13.66,,10-31
89,603901,永创智能,0.14,-22.22,,6.24,,5721.83,-18.62,,10-31
90,600502,安徽水利,0.35,84.21,,9.17,,43170.18,146.34,,10-31
91,603110,东方材料,0.58,9.43,,14.18,,4466.85,8.85,,10-31
92,002468,申通快递,0.74,4613.38,,18.77,,112740.84,21533.3,,10-31
93,600146,商赢环球,0.15,-287.5,,2.47,,7152.97,-528.29,,10-31
94,000005,世纪星源,-0.02,-111.9,,-1.27,,-1621.33,-112.12,,10-31
95,600892,大晟文化,0.17,-63.04,,5.46,,9373.16,47.04,,10-31
96,600165,新日恒力,-0.0,-99.16,,-0.1,,-78.53,-99.04,,10-31
97,600939,重庆建工,0.1,-23.08,,3.89,,18588.65,-15.53,,10-31
98,603229,奥翔药业,0.23,-17.86,,8.36,,3164.03,-6.19,,10-31
99,600183,生益科技,0.56,60.0,,15.44,,80663.89,61.32,,10-31
100,600577,精达股份,0.13,52.27,,8.78,,26169.96,52.18,,10-31
101,000066,中国长城,0.1,400.49,,4.71,,29916.54,1013.0,,10-31
102,000157,中联重科,0.17,-270.0,,3.42,,128233.27,-259.84,,10-31
103,600611,大众交通,0.24,33.54,,6.09,,56824.74,30.94,,10-31
104,000903,云内动力,0.1,-45.79,,3.99,,18167.81,19.6,,10-31
105,603360,百傲化学,0.65,-10.96,,12.1,,8146.95,12.22,,10-31
106,600236,桂冠电力,0.3,-25.8,,13.1,,184358.55,-24.79,,10-31
107,600629,华建集团,0.35,-6.89,,7.6,,14392.78,5.77,,10-31
108,000537,广宇发展,0.26,-46.94,,5.57,,13132.01,-47.61,,10-31
109,603598,引力传媒,0.11,0.0,,5.03,,3057.43,7.44,,10-31
110,002324,普利特,0.59,-29.76,,7.3,,15950.85,-29.64,,10-31
111,600329,中新药业,0.47,4.44,,8.35,,35950.48,2.93,,10-31
112,000599,青岛双星,0.16,33.33,,3.9,,10504.31,29.56,,10-31
113,600735,新华锦,0.14,17.23,,6.7,,5090.56,17.17,,10-31
114,600369,西南证券,0.1,-47.37,,3.08,,59052.92,-44.11,,10-31
115,000626,远大控股,0.41,-46.93,,8.23,,24334.41,-35.31,,10-31
116,600775,南京熊猫,0.06,-35.33,,1.52,,5119.07,-35.3,,10-31
117,002393,力生制药,0.55,27.91,,3.29,,10000.05,26.54,,10-31
118,600416,湘电股份,0.06,-53.85,,0.84,,5425.29,-44.36,,10-31
119,000676,智度股份,0.34,37.43,,6.96,,33008.89,119.79,,10-31
120,000510,金路集团,0.06,118.92,,4.79,,3947.24,118.55,,10-31
121,603580,艾艾精工,0.39,,,7.9,,2251.8,,,10-31
122,600695,绿庭投资,0.06,1100.0,,5.87,,4374.76,1030.67,,10-31
123,601515,东风股份,0.47,17.5,,13.83,,51708.19,14.93,,10-31
124,600322,天房发展,0.16,-166.67,,4.27,,18148.9,-167.34,,10-31
125,000592,平潭发展,0.01,-49.09,,0.34,,1078.26,-49.39,,10-31
126,601718,际华集团,0.13,-35.0,,3.51,,52851.37,-31.3,,10-31
127,000611,天首发展,-0.03,-60.78,,-2.69,,-972.72,-60.67,,10-31
128,601928,凤凰传媒,0.34,2.63,,7.24,,87324.83,2.64,,10-31
129,000681,视觉中国,0.23,32.1,,6.84,,16263.33,32.12,,10-31
130,600068,葛洲坝,0.47,0.43,,9.18,,258931.69,15.45,,10-31
131,603032,德新交运,0.16,-61.9,,5.02,,2135.2,-49.72,,10-31
132,600833,第一医药,0.17,-11.21,,5.06,,3692.67,-11.2,,10-31
133,603066,音飞储存,0.21,-64.34,,7.59,,6240.3,6.83,,10-31
134,603922,金鸿顺,0.76,-11.63,,13.38,,7271.59,-12.38,,10-31
135,600496,精工钢构,0.04,-53.99,,1.66,,6275.0,-53.93,,10-31
136,002790,瑞尔特,0.76,-0.14,,8.76,,12143.05,-0.35,,10-31
137,000777,中核科技,0.01,-89.85,,0.38,,479.78,-89.83,,10-31
138,600137,浪莎股份,0.21,146.51,,4.44,,2059.41,147.05,,10-31
139,600886,国投电力,0.44,-13.4,,9.94,,295281.92,-13.39,,10-31
140,002173,创新医疗,0.21,5.0,,2.68,,9569.02,41.63,,10-31
141,600158,中体产业,0.05,92.18,,2.46,,3938.86,92.4,,10-31
