,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603917,合力科技,0.93,6.14,4.79,21.25,1.03,7835.97,6.14,,11-14
1,002913,奥士康,1.76,8.64,,27.37,1.42,19033.16,17.67,,11-13
2,603848,好太太,0.42,,1.7,28.42,0.39,15197.66,13.96,,11-13
3,300729,乐歌股份,0.95,11.76,5.22,20.09,0.6,6008.43,18.14,,11-13
4,603711,香飘飘,0.74,29.82,3.51,23.53,1.02,26610.21,30.48,,11-13
5,300727,润禾材料,0.51,4.08,3.34,17.18,0.39,3628.65,8.32,,11-07
6,002912,中新赛克,2.01,8.06,11.68,18.41,2.09,10056.28,13.96,,11-07
7,603685,晨丰科技,1.23,23.0,4.54,31.41,0.37,9250.52,57.54,,11-06
8,603661,恒林股份,3.52,39.13,,51.14,3.26,26376.22,39.01,,10-31
9,300726,宏达电子,0.55,133.26,2.24,28.11,0.15,19630.15,161.89,,10-31
10,002911,佛燃股份,0.67,-9.46,3.34,21.42,1.04,33714.42,-8.68,,10-31
11,603365,水星家纺,0.99,23.75,,24.36,1.33,19770.13,46.68,,10-31
12,603970,中农立华,0.82,-7.42,3.45,25.48,1.52,8171.71,-7.42,,10-30
13,300725,药石科技,0.69,50.0,4.46,21.18,0.41,3611.52,81.17,,10-30
14,600933,爱柯迪,0.69,30.19,,29.96,0.78,48297.14,38.99,10派2.5,10-30
15,601019,山东出版,0.58,7.41,2.8,22.14,0.64,104729.57,6.41,,10-30
16,300723,一品红,1.14,128.0,2.78,51.92,1.22,13734.95,127.32,,10-30
17,603076,乐惠国际,1.37,7.03,6.72,22.77,2.44,7667.78,19.06,,10-30
18,300722,新余国科,0.57,-10.94,3.57,17.52,0.14,3423.45,25.34,,10-27
19,002864,盘龙药业,0.61,-7.58,,12.83,0.95,3952.77,-7.3,,10-25
20,603605,珀莱雅,1.02,6.25,,31.76,0.89,15362.3,6.87,,10-25
21,300720,海川智能,0.7,18.64,4.17,17.95,0.65,3788.22,19.02,,10-24
22,300717,华信新材,0.88,0.0,5.47,17.12,1.14,4219.18,-0.21,,10-24
23,300721,怡达股份,1.03,-10.48,8.15,13.72,0.68,5953.07,3.4,,10-24
24,603916,苏博特,0.58,-27.5,4.87,12.54,0.68,13293.65,-22.42,,10-23
25,603083,剑桥科技,0.9,-49.72,9.19,11.13,0.47,6631.8,-46.01,,10-23
26,603278,大业股份,0.92,95.74,3.75,27.86,1.08,14300.19,97.1,,10-23
27,300719,安达维尔,0.73,,3.17,27.04,0.91,9118.39,69.77,,10-19
28,603809,豪能股份,1.58,18.45,9.77,17.58,1.71,12627.44,18.46,,10-18
29,300716,国立科技,0.77,11.59,5.61,14.89,1.18,5976.74,28.52,,10-18
30,603507,振江股份,1.54,102.51,5.56,32.06,0.74,14464.11,158.89,,10-17
31,300718,长盛轴承,1.08,-8.47,6.64,17.4,1.49,8074.67,-9.06,,10-16
32,603856,东宏股份,0.66,-2.94,,12.39,1.1,9770.76,-2.4,,10-16
33,603937,丽岛新材,0.56,55.56,,13.42,-0.02,8791.46,55.56,,10-12
34,603912,佳力图,0.54,5.88,2.49,24.2,0.71,5844.82,14.54,,10-12
35,300713,英可瑞,2.3,60.84,5.69,50.68,0.26,9769.28,61.26,,10-11
36,300712,永福股份,0.7,22.81,3.99,19.15,0.69,7329.95,26.82,,10-11
37,300711,广哈通信,0.5,6.38,2.41,23.03,0.43,5369.24,14.99,,10-11
38,300715,凯伦股份,0.75,36.36,2.83,30.32,0.01,4023.7,41.06,10派1.5,10-10
39,603289,泰瑞机器,0.48,37.14,3.01,17.28,0.72,7363.89,37.67,,10-10
40,002910,庄园牧场,0.54,-16.92,,11.0,1.24,7591.06,3.64,,10-10
41,603607,京华激光,0.99,,4.29,25.94,1.37,6710.43,19.01,,09-28
42,002909,集泰股份,0.47,-12.96,2.76,16.41,0.62,4269.32,-12.79,,09-28
43,603396,金辰股份,1.15,1.17,7.39,16.98,-0.13,6539.17,1.16,,09-27
44,300710,万隆光电,0.88,12.12,5.77,16.5,-0.06,4500.31,15.33,,09-27
45,603722,阿科力,0.71,-18.39,3.96,19.6,0.64,4598.86,-18.88,,09-27
46,002907,华森制药,0.27,29.64,1.28,23.14,0.16,9570.77,29.62,,09-26
47,603466,风语筑,1.04,48.57,5.31,21.76,1.07,11259.85,71.26,,09-25
48,603683,晶华新材,0.54,2.59,,11.66,0.44,5155.93,11.4,,09-25
49,002908,德生科技,0.49,-46.54,3.53,14.16,-0.3,4873.31,-46.54,,09-25
50,300709,精研科技,2.45,35.36,6.07,49.33,2.62,16155.14,34.96,,09-21
51,603829,洛凯股份,0.44,15.79,2.62,17.71,0.21,5220.58,20.64,,09-20
52,300707,威唐工业,0.93,41.77,4.2,24.86,0.97,5443.84,49.72,,09-20
53,002905,金逸影视,1.55,-20.51,,25.51,3.5,19547.7,-20.62,,09-20
54,300708,聚灿光电,0.31,151.6,2.43,13.68,0.65,6060.85,158.82,,09-19
55,603110,东方材料,0.79,-4.82,,21.01,0.88,6104.79,-4.03,,09-18
56,002906,华阳集团,0.74,64.44,,13.05,,29500.54,62.83,,09-18
