,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
973,300089,文化长城,陶瓷,广东,221.93,2.63,4.35,270481.84,111493.81,18206.9,102657.43,2.36,0.017,4.06,3.68,20100625,27352.0,0.63,7.28,53.62,35.24,6.74,10000
974,300034,钢研高纳,小金属,北京,87.94,4.21,4.22,180220.88,119083.17,46424.35,34465.6,0.82,0.091,3.15,5.1,20091225,48447.3,1.15,3.41,-17.18,24.91,11.34,21574
975,300022,吉峰农机,其他商业,四川,1179.91,3.21,3.8,268151.34,236022.8,12770.13,20286.18,0.53,0.001,0.66,10.11,20091030,-34810.85,-0.92,-17.41,-26.63,14.87,0.12,37447
976,2857,三晖电气,电器仪表,河南,2316.76,0.2,0.8,47324.53,43391.89,1027.58,16401.3,2.05,0.006,4.91,5.89,20170323,12988.75,1.62,0.0,0.0,29.73,0.78,9500
977,2856,美芝股份,装修装饰,深圳,88.18,0.25,1.01,124999.46,120624.85,744.51,30771.31,3.04,0.12,6.11,5.22,20170320,18622.75,1.84,0.0,0.0,13.36,5.19,19773
978,2842,翔鹭钨业,小金属,广东,63.88,0.25,1.0,98879.34,77056.27,9643.41,40184.39,4.02,0.163,7.3,5.69,20170119,18371.84,1.84,0.0,0.0,18.69,8.54,15649
979,2837,英维克,专用机械,深圳,58.92,0.49,2.02,92215.8,84701.05,1337.85,24062.5,1.19,0.198,3.05,7.64,20161229,23027.45,1.14,27.4,6.05,33.25,13.19,22500
980,2831,裕同科技,广告包装,深圳,44.49,0.4,4.0,738844.0,482386.19,156518.27,137343.0,3.43,0.778,10.99,6.3,20161216,246685.66,6.17,31.69,22.73,31.19,11.7,16383
981,2806,华锋股份,元器件,广东,251.68,0.56,1.36,55965.11,31780.86,17591.55,8258.58,0.61,0.026,2.61,9.84,20160726,17428.85,1.28,33.91,12.31,17.58,3.78,14664
982,2797,第一创业,证券,深圳,140.37,19.18,35.02,3292156.75,0.0,13787.7,391114.03,1.12,0.02,2.48,4.44,20160511,152844.63,0.44,-3.6,-31.31,0.0,18.62,97818
983,2796,世嘉科技,专用机械,江苏,87.24,0.3,0.8,62641.38,42906.44,10174.26,26651.01,3.33,0.181,5.96,5.28,20160510,10408.37,1.3,17.06,-34.04,13.97,5.39,16180
984,2787,华源控股,广告包装,江苏,61.43,1.02,2.88,125613.95,74308.78,34210.96,52621.3,1.83,0.077,3.38,5.59,20151231,36309.75,1.26,28.59,-22.4,21.97,8.63,21247
985,2781,奇信股份,装修装饰,深圳,41.23,0.92,2.25,367029.78,352200.56,4920.62,72064.02,3.2,0.178,7.45,3.94,20151222,66665.88,2.96,-6.2,1.96,15.33,6.06,23092
986,2772,众兴菌业,种植业,甘肃,37.8,2.15,3.73,310090.19,129336.01,86531.18,154365.06,4.13,0.171,6.27,2.06,20150626,47407.15,1.27,20.54,-15.03,29.77,19.97,40588
987,2757,南兴装备,家居用品,广东,38.26,0.38,1.09,103081.03,57967.66,32237.0,35031.4,3.2,0.49,7.47,5.02,20150527,32430.51,2.97,48.77,77.22,29.49,15.11,12889
