,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300339,润和软件,0.09,-35.71,,1.84,,6529.17,30.58,,08-23
1,300376,易事特,0.14,-54.84,,8.33,,31745.33,106.32,,08-23
2,300513,恒泰实达,0.08,-47.28,,1.77,,970.42,6.6,,08-23
3,002141,贤丰控股,0.0,-75.65,,0.41,,536.46,21.19,,08-23
4,300555,路通视信,0.11,-73.17,3.04,3.45,,2102.18,-14.67,,08-23
5,600461,洪城水业,0.16,-52.94,,3.97,,12484.25,-8.51,,08-23
6,002208,合肥城建,0.1,-56.03,,1.86,,3082.42,-56.03,,08-23
7,002806,华锋股份,0.08,-63.55,,3.06,,1090.71,-18.5,,08-23
8,002259,升达林业,0.01,0.0,,0.53,,889.24,14.17,,08-23
9,002878,元隆雅图,0.61,12.96,,12.87,,3659.44,20.12,,08-23
10,002348,高乐股份,0.03,33.2,,2.43,,3044.19,33.21,,08-23
11,601369,陕鼓动力,0.08,-27.27,,2.16,,13163.79,-26.68,,08-23
12,002528,英飞拓,0.03,-163.48,,0.92,,2639.79,-171.81,,08-23
13,300421,力星股份,0.28,18.61,,3.13,,3644.44,38.21,,08-23
14,603616,韩建河山,-0.1,-54.38,,-3.4,,-2873.41,-8.7,,08-23
15,603816,顾家家居,0.94,14.63,,10.83,,38798.71,42.61,,08-23
16,002329,皇氏集团,0.11,-11.62,,3.21,,8916.99,-11.66,,08-23
17,002357,富临运业,0.2,2.21,,6.1,,6369.45,2.19,,08-23
18,002389,南洋科技,0.08,-11.11,,1.58,,5471.58,-18.18,,08-23
19,300139,晓程科技,0.0,-90.2,,0.06,,80.57,-88.97,,08-23
20,002573,清新环境,0.29,16.0,,8.34,,31570.56,17.44,,08-23
21,603227,雪峰科技,-0.0,-112.5,,-0.21,,-230.65,-122.25,,08-23
22,002058,威尔泰,-0.03,113.33,,-2.49,,-461.04,116.21,,08-23
23,002100,天康生物,0.2,0.0,,7.01,,18975.24,-1.14,,08-23
24,002246,北化股份,0.06,-33.33,,2.07,,2568.91,-33.61,,08-23
