,date,open,close,high,low,volume,code
0,2016-01-04,9.71,8.801,9.799,8.801,145548.0,600295
1,2016-01-05,8.217,8.405,8.672,7.921,201321.0,600295
2,2016-01-06,8.395,8.672,8.702,8.306,143794.0,600295
3,2016-01-07,8.504,7.802,8.553,7.802,35040.0,600295
4,2016-01-08,7.94,8.029,8.138,7.416,144961.0,600295
5,2016-01-11,7.861,7.406,7.99,7.397,129073.0,600295
6,2016-01-12,7.466,7.515,7.673,7.248,76095.0,600295
7,2016-01-13,7.505,7.367,7.673,7.337,68295.0,600295
8,2016-01-14,7.12,7.604,7.673,7.12,59409.0,600295
9,2016-01-15,7.565,7.12,7.663,6.932,66255.0,600295
10,2016-01-18,6.981,7.189,7.258,6.932,55129.0,600295
11,2016-01-19,7.149,7.535,7.634,7.12,65869.0,600295
12,2016-01-20,7.456,7.594,7.792,7.298,92344.0,600295
13,2016-01-21,7.505,7.337,7.762,7.308,85160.0,600295
14,2016-01-22,7.367,7.397,7.545,7.219,58384.0,600295
15,2016-01-25,7.505,7.624,7.703,7.387,71795.0,600295
16,2016-01-26,7.515,7.169,7.535,6.952,66186.0,600295
17,2016-01-27,7.1,7.12,7.179,6.774,47768.0,600295
18,2016-01-28,7.011,6.833,7.13,6.823,39338.0,600295
19,2016-01-29,6.833,7.031,7.13,6.764,40709.0,600295
20,2016-02-01,7.041,6.952,7.041,6.823,41171.0,600295
21,2016-02-02,6.922,7.1,7.159,6.922,46634.0,600295
22,2016-02-03,7.001,7.1,7.13,6.961,28898.0,600295
23,2016-02-04,7.1,7.248,7.337,7.1,52584.0,600295
24,2016-02-05,7.248,7.169,7.347,7.149,22914.0,600295
25,2016-02-15,6.971,7.09,7.159,6.922,25505.0,600295
26,2016-02-16,7.169,7.347,7.377,7.11,47442.0,600295
27,2016-02-17,7.317,7.416,7.446,7.268,44864.0,600295
28,2016-02-18,7.446,7.565,7.584,7.347,86168.0,600295
29,2016-02-19,7.495,7.545,7.604,7.446,40218.0,600295
30,2016-02-22,7.555,7.723,7.772,7.555,55181.0,600295
31,2016-02-23,7.733,7.663,7.733,7.584,40618.0,600295
32,2016-02-24,7.634,7.703,7.723,7.535,37309.0,600295
33,2016-02-25,7.673,7.209,7.683,7.06,66094.0,600295
34,2016-02-26,7.278,7.258,7.327,7.09,34930.0,600295
35,2016-02-29,7.219,6.882,7.228,6.724,42389.0,600295
36,2016-03-01,6.922,7.09,7.1,6.833,37891.0,600295
37,2016-03-02,7.09,7.644,7.723,7.09,84648.0,600295
38,2016-03-03,7.762,7.841,8.029,7.604,154226.0,600295
