,date,open,close,high,low,volume,code
0,2017-01-03,10.403,10.521,10.571,10.393,68665.0,600651
1,2017-01-04,10.521,10.6,10.62,10.462,66939.0,600651
2,2017-01-05,10.59,10.62,10.659,10.501,95773.0,600651
3,2017-01-06,10.59,10.669,10.719,10.531,97781.0,600651
4,2017-01-09,10.561,10.551,10.63,10.422,118489.0,600651
5,2017-01-10,10.511,10.689,11.41,10.462,210476.0,600651
6,2017-01-11,10.58,10.511,10.679,10.432,98769.0,600651
7,2017-01-12,10.551,10.531,10.669,10.452,98963.0,600651
8,2017-01-13,10.501,10.166,10.551,10.156,102106.0,600651
9,2017-01-16,10.175,9.444,10.185,9.148,153926.0,600651
10,2017-01-17,9.385,9.355,9.434,9.099,131961.0,600651
11,2017-01-18,9.336,9.316,9.385,9.267,68438.0,600651
12,2017-01-19,9.296,9.336,9.385,9.257,53285.0,600651
13,2017-01-20,9.267,9.454,9.484,9.267,64174.0,600651
14,2017-01-23,9.454,9.474,9.563,9.434,56796.0,600651
15,2017-01-24,9.474,9.336,9.494,9.296,66493.0,600651
16,2017-01-25,9.286,9.355,9.375,9.267,46908.0,600651
17,2017-01-26,9.375,9.375,9.415,9.355,54710.0,600651
18,2017-02-03,9.385,9.395,9.405,9.306,44384.0,600651
19,2017-02-06,9.405,9.652,9.681,9.395,94721.0,600651
20,2017-02-07,9.622,9.583,9.652,9.494,71092.0,600651
21,2017-02-08,9.583,9.612,9.622,9.464,78518.0,600651
22,2017-02-09,9.593,9.642,9.701,9.573,77693.0,600651
23,2017-02-10,9.642,9.563,9.662,9.543,77701.0,600651
24,2017-02-13,9.583,9.662,9.711,9.563,99739.0,600651
25,2017-02-14,9.681,9.652,9.711,9.583,72586.0,600651
26,2017-02-15,9.751,9.938,10.096,9.741,329888.0,600651
27,2017-02-16,9.879,10.067,10.106,9.879,216955.0,600651
28,2017-02-17,10.096,9.84,10.126,9.82,154992.0,600651
29,2017-02-20,9.83,9.968,9.998,9.77,159922.0,600651
30,2017-02-21,9.968,10.264,10.314,9.889,267757.0,600651
31,2017-02-24,10.373,10.333,10.956,10.096,297688.0,600651
32,2017-02-27,10.175,10.175,10.472,10.166,150608.0,600651
33,2017-02-28,10.116,10.205,10.235,10.067,88260.0,600651
34,2017-03-01,10.245,10.343,10.521,10.235,146824.0,600651
35,2017-03-02,10.472,10.719,10.788,10.324,281070.0,600651
36,2017-03-03,10.521,10.383,10.64,10.353,247024.0,600651
37,2017-03-06,10.432,10.383,10.432,10.254,123189.0,600651
38,2017-03-07,10.452,10.264,10.452,10.166,148474.0,600651
39,2017-03-08,10.225,10.235,10.393,10.185,106279.0,600651
40,2017-03-09,10.195,10.057,10.235,10.027,102744.0,600651
41,2017-03-10,10.057,10.047,10.166,10.027,62583.0,600651
42,2017-03-13,10.027,10.166,10.205,9.988,76019.0,600651
43,2017-03-14,10.175,10.067,10.225,10.057,60616.0,600651
44,2017-03-15,10.037,10.116,10.146,9.998,51354.0,600651
45,2017-03-16,10.067,10.373,10.482,10.067,141920.0,600651
46,2017-03-17,10.373,10.235,10.403,10.205,102812.0,600651
47,2017-03-20,10.195,10.561,10.659,10.195,229743.0,600651
48,2017-03-21,10.482,10.482,10.659,10.393,129133.0,600651
49,2017-03-22,10.422,10.254,10.452,10.156,136160.0,600651
50,2017-03-23,10.254,10.205,10.324,10.096,89838.0,600651
51,2017-03-24,10.205,10.284,10.294,10.126,67015.0,600651
52,2017-03-27,10.264,10.324,10.452,10.245,85940.0,600651
53,2017-03-28,10.353,10.215,10.363,10.136,68333.0,600651
54,2017-03-29,10.235,10.353,10.403,10.106,107286.0,600651
55,2017-03-30,10.284,10.156,10.343,10.106,89931.0,600651
56,2017-03-31,10.146,10.205,10.324,10.146,62317.0,600651
57,2017-04-05,10.304,10.462,10.531,10.254,138506.0,600651
58,2017-04-06,10.472,10.551,10.61,10.393,136845.0,600651
59,2017-04-07,10.531,10.511,10.689,10.442,131124.0,600651
60,2017-04-10,10.492,10.531,10.6,10.472,110841.0,600651
61,2017-04-11,10.541,10.333,10.561,10.175,154456.0,600651
62,2017-04-12,10.333,10.225,10.333,10.175,86829.0,600651
63,2017-04-13,10.225,10.185,10.245,10.136,55552.0,600651
64,2017-04-14,10.215,9.948,10.215,9.919,92326.0,600651
65,2017-04-17,9.909,9.662,9.978,9.593,100434.0,600651
66,2017-04-18,9.691,9.632,9.84,9.622,67904.0,600651
67,2017-04-19,9.622,9.385,9.721,9.188,105369.0,600651
68,2017-04-20,9.385,9.385,9.454,9.267,56622.0,600651
69,2017-04-21,9.395,9.444,9.474,9.375,50669.0,600651
70,2017-04-24,9.454,9.484,9.652,9.276,81371.0,600651
71,2017-04-25,9.494,9.355,9.504,9.306,52112.0,600651
72,2017-04-26,9.425,9.237,9.425,9.207,59736.0,600651
73,2017-04-27,9.148,9.237,9.257,8.941,71489.0,600651
74,2017-04-28,9.217,9.326,9.346,9.108,49789.0,600651
75,2017-05-02,9.01,8.397,9.089,8.397,300000.0,600651
76,2017-05-03,8.219,8.338,8.358,8.15,115242.0,600651
77,2017-05-04,8.318,8.407,8.536,8.259,108359.0,600651
78,2017-05-05,8.496,8.259,8.516,8.219,54839.0,600651
79,2017-05-08,8.269,8.091,8.338,8.061,60440.0,600651
80,2017-05-09,8.101,8.2,8.289,8.091,52125.0,600651
81,2017-05-10,8.308,8.466,8.95,8.308,231679.0,600651
82,2017-05-11,8.496,8.358,8.496,8.111,104997.0,600651
83,2017-05-12,8.328,8.13,8.387,8.101,82450.0,600651
84,2017-05-15,8.17,8.209,8.269,8.15,39215.0,600651
85,2017-05-16,8.14,8.476,8.526,8.14,98096.0,600651
86,2017-05-17,8.644,8.901,9.188,8.644,194481.0,600651
87,2017-05-18,8.792,8.802,8.97,8.674,81659.0,600651
88,2017-05-19,8.792,8.763,8.931,8.703,57221.0,600651
89,2017-05-22,8.792,8.536,8.921,8.506,75157.0,600651
90,2017-05-23,8.397,8.269,8.615,8.2,65673.0,600651
91,2017-05-24,8.269,8.358,8.377,8.091,55453.0,600651
92,2017-05-25,8.397,8.298,8.397,8.091,93203.0,600651
