,date,open,close,high,low,volume,code
0,2016-01-04,28.234,25.419,28.747,25.41,53118.0,002101
1,2016-01-05,23.271,23.109,25.419,22.878,83391.0,002101
2,2016-01-06,23.357,23.947,24.127,23.16,58612.0,002101
3,2016-01-07,23.614,21.577,23.614,21.552,9858.0,002101
4,2016-01-08,21.894,22.245,23.357,19.678,59534.0,002101
5,2016-01-11,21.38,20.362,22.655,20.2,51255.0,002101
6,2016-01-12,20.26,20.388,21.252,19.704,28317.0,002101
7,2016-01-13,20.705,18.908,20.961,18.908,32687.0,002101
8,2016-01-14,18.335,19.781,20.106,17.736,40366.0,002101
9,2016-01-15,19.575,18.993,20.294,18.608,27617.0,002101
10,2016-01-18,18.275,19.712,20.029,18.189,26769.0,002101
11,2016-01-19,19.678,20.448,20.533,19.558,24954.0,002101
12,2016-01-20,20.474,20.807,22.031,20.465,47045.0,002101
13,2016-01-21,20.089,19.584,20.85,19.447,32150.0,002101
14,2016-01-22,20.003,20.405,20.619,18.822,31228.0,002101
15,2016-01-25,20.705,20.773,21.09,20.191,22873.0,002101
16,2016-01-26,20.533,18.694,20.533,18.694,26794.0,002101
17,2016-01-27,18.916,17.821,18.916,16.957,32237.0,002101
18,2016-01-28,17.667,16.589,18.283,16.418,27663.0,002101
19,2016-01-29,16.683,17.197,17.436,16.17,24187.0,002101
20,2016-02-01,17.18,16.47,17.325,16.17,25073.0,002101
21,2016-02-02,16.589,17.205,17.257,16.555,24601.0,002101
22,2016-02-03,17.026,17.71,17.958,16.701,21591.0,002101
23,2016-02-04,17.625,17.95,18.283,17.625,19556.0,002101
24,2016-02-05,18.129,17.95,18.283,17.821,13725.0,002101
25,2016-02-15,17.539,18.72,19.233,17.163,23417.0,002101
26,2016-02-16,18.651,19.276,19.387,18.651,21313.0,002101
27,2016-02-17,19.336,20.071,20.422,19.284,36603.0,002101
28,2016-02-18,20.533,20.405,20.987,20.328,45628.0,002101
29,2016-02-19,20.268,20.585,20.799,20.02,22318.0,002101
30,2016-02-22,20.705,20.645,21.09,20.405,22698.0,002101
31,2016-02-23,20.662,19.96,20.705,19.592,25347.0,002101
