,date,open,close,high,low,volume,code
0,2016-01-04,7.263,6.606,7.353,6.606,85611.0,002496
1,2016-01-05,5.948,5.945,6.342,5.945,150578.0,002496
2,2016-01-06,5.992,6.075,6.194,5.735,123258.0,002496
3,2016-01-07,5.966,5.468,5.992,5.468,24186.0,002496
4,2016-01-08,5.551,5.657,5.831,5.032,99741.0,002496
5,2016-01-11,5.286,5.092,5.878,5.092,82670.0,002496
6,2016-01-12,5.115,5.123,5.237,4.837,86881.0,002496
7,2016-01-13,5.149,5.032,5.343,5.029,91241.0,002496
8,2016-01-14,4.85,5.193,5.307,4.669,111222.0,002496
9,2016-01-15,5.118,5.273,5.535,5.118,142424.0,002496
10,2016-01-18,5.136,5.416,5.47,5.061,95132.0,002496
11,2016-01-19,5.395,5.732,5.745,5.343,95622.0,002496
12,2016-01-20,5.675,5.766,5.917,5.587,93815.0,002496
13,2016-01-21,5.634,5.805,6.106,5.623,152180.0,002496
14,2016-01-22,5.865,5.753,5.966,5.476,118567.0,002496
15,2016-01-25,5.761,5.893,5.914,5.59,103241.0,002496
16,2016-01-26,5.795,5.304,5.844,5.304,89459.0,002496
17,2016-01-27,5.24,4.775,5.304,4.775,139855.0,002496
18,2016-01-28,4.563,4.298,4.793,4.298,130523.0,002496
19,2016-01-29,4.251,4.295,4.474,3.896,166460.0,002496
20,2016-02-01,4.228,3.865,4.256,3.865,113836.0,002496
21,2016-02-02,3.891,4.251,4.251,3.841,178520.0,002496
22,2016-02-03,4.236,4.352,4.371,4.111,146278.0,002496
23,2016-02-04,4.327,4.56,4.578,4.306,127662.0,002496
24,2016-02-05,4.563,4.773,4.876,4.5,111740.0,002496
25,2016-02-15,4.542,4.975,4.975,4.487,103198.0,002496
26,2016-02-16,4.926,5.473,5.473,4.879,128767.0,002496
27,2016-02-17,5.455,5.579,5.706,5.346,110964.0,002496
28,2016-02-18,5.548,5.691,5.836,5.387,164038.0,002496
29,2016-02-19,5.688,5.963,6.038,5.668,131370.0,002496
30,2016-02-22,5.966,5.968,6.225,5.862,152736.0,002496
31,2016-02-23,5.992,6.14,6.142,5.722,144763.0,002496
32,2016-02-24,5.968,5.763,6.083,5.763,123563.0,002496
33,2016-02-25,5.655,5.188,5.673,5.188,175066.0,002496
34,2016-02-26,4.967,4.913,5.024,4.695,127463.0,002496
35,2016-02-29,4.889,4.422,4.889,4.422,102445.0,002496
36,2016-03-01,4.355,4.485,4.565,4.15,180695.0,002496
37,2016-03-02,4.482,4.843,4.92,4.373,211395.0,002496
38,2016-03-03,4.85,5.118,5.229,4.793,183910.0,002496
39,2016-03-04,5.105,4.664,5.162,4.638,164776.0,002496
40,2016-03-07,4.762,5.094,5.107,4.721,150434.0,002496
41,2016-03-08,5.071,5.328,5.395,4.832,189966.0,002496
42,2016-03-09,5.136,5.164,5.444,5.058,141414.0,002496
43,2016-03-10,5.162,4.952,5.317,4.897,95893.0,002496
44,2016-03-11,4.84,4.933,5.024,4.799,81406.0,002496
45,2016-03-14,5.045,5.188,5.333,5.001,234453.0,002496
46,2016-03-15,5.074,5.284,5.297,5.074,186452.0,002496
47,2016-03-16,5.315,5.312,5.499,5.19,179327.0,002496
48,2016-03-17,5.291,5.841,5.844,5.24,252533.0,002496
49,2016-03-18,6.425,6.425,6.425,6.425,55844.0,002496
50,2016-03-21,6.998,6.83,6.998,6.612,815318.0,002496
51,2016-03-22,6.752,7.198,7.418,6.705,607371.0,002496
52,2016-03-23,7.081,7.341,7.403,6.993,539259.0,002496
53,2016-03-24,7.219,7.289,7.885,7.162,530189.0,002496
54,2016-03-25,7.219,7.169,7.47,6.951,368106.0,002496
55,2016-03-28,7.208,7.027,7.307,7.011,297217.0,002496
56,2016-03-29,7.034,6.741,7.042,6.638,271417.0,002496
57,2016-03-30,6.83,7.416,7.416,6.809,430298.0,002496
58,2016-03-31,7.621,7.587,7.937,7.452,534031.0,002496
59,2016-04-01,7.522,7.735,7.911,7.46,401484.0,002496
60,2016-04-05,7.735,7.839,8.093,7.683,345659.0,002496
61,2016-04-06,7.761,8.482,8.622,7.735,446496.0,002496
62,2016-04-07,8.432,8.458,8.754,8.196,409121.0,002496
63,2016-04-08,8.3,8.352,8.658,8.155,333837.0,002496
64,2016-04-11,8.404,8.093,8.586,8.08,319644.0,002496
65,2016-04-12,8.002,7.522,8.09,7.289,366307.0,002496
66,2016-04-13,7.545,7.59,7.82,7.483,244681.0,002496
67,2016-04-14,7.652,7.698,7.768,7.424,197618.0,002496
68,2016-04-15,7.678,7.571,7.727,7.473,159335.0,002496
69,2016-04-18,7.548,7.704,7.756,7.449,186483.0,002496
70,2016-04-19,7.753,7.59,7.859,7.483,214223.0,002496
71,2016-04-20,7.639,6.977,7.665,6.83,333941.0,002496
72,2016-04-21,6.874,6.651,6.933,6.632,166238.0,002496
73,2016-04-22,6.64,7.016,7.055,6.518,181495.0,002496
74,2016-04-25,6.925,6.804,6.941,6.674,116758.0,002496
75,2016-04-26,6.824,6.97,6.97,6.788,107798.0,002496
76,2016-04-27,6.977,6.866,7.034,6.842,126447.0,002496
77,2016-04-28,6.835,6.964,6.996,6.684,139015.0,002496
78,2016-04-29,6.874,6.887,7.047,6.842,108247.0,002496
79,2016-05-03,6.972,7.577,7.577,6.925,264927.0,002496
80,2016-05-04,7.756,7.898,8.171,7.678,447223.0,002496
81,2016-05-05,7.813,8.121,8.171,7.735,303425.0,002496
82,2016-05-06,8.119,7.517,8.155,7.517,328394.0,002496
83,2016-05-09,7.33,6.98,7.457,6.959,218545.0,002496
84,2016-05-10,7.003,6.809,7.081,6.708,200264.0,002496
85,2016-05-11,6.874,6.747,6.9,6.671,117959.0,002496
86,2016-05-12,6.601,6.684,6.713,6.44,133992.0,002496
87,2016-05-13,6.692,6.731,6.91,6.638,146702.0,002496
88,2016-05-16,6.705,6.988,6.993,6.653,142311.0,002496
89,2016-05-17,6.99,6.868,7.001,6.765,116927.0,002496
90,2016-05-18,6.767,6.313,6.77,6.186,165271.0,002496
91,2016-05-19,6.321,6.42,6.562,6.321,105313.0,002496
92,2016-05-20,6.306,6.601,6.625,6.254,105307.0,002496
93,2016-05-23,6.601,6.848,6.887,6.565,145562.0,002496
94,2016-05-24,6.744,7.068,7.094,6.721,199471.0,002496
95,2016-05-25,7.18,6.772,7.18,6.679,242320.0,002496
96,2016-05-26,6.692,6.669,6.796,6.357,166963.0,002496
97,2016-05-27,6.562,6.526,6.731,6.516,145538.0,002496
98,2016-05-30,6.435,6.435,6.692,6.295,142127.0,002496
99,2016-05-31,6.435,6.673,6.801,6.336,805447.0,002496
100,2016-06-01,6.663,6.9,7.326,6.593,1031148.0,002496
101,2016-06-02,7.049,6.989,7.296,6.89,1038472.0,002496
102,2016-06-03,6.831,6.752,6.91,6.702,789165.0,002496
103,2016-06-06,6.772,6.653,6.811,6.554,440114.0,002496
104,2016-06-07,6.623,6.554,6.653,6.514,395773.0,002496
105,2016-06-08,6.584,6.593,6.712,6.534,377432.0,002496
106,2016-06-13,6.475,5.93,6.475,5.93,564832.0,002496
107,2016-06-14,5.841,5.782,5.92,5.663,366927.0,002496
108,2016-06-15,5.643,5.94,5.99,5.603,374272.0,002496
109,2016-06-16,5.92,5.782,5.94,5.742,348859.0,002496
110,2016-06-17,5.821,5.801,5.93,5.762,264856.0,002496
111,2016-06-20,5.801,5.693,5.831,5.574,286648.0,002496
112,2016-06-21,5.792,5.623,5.831,5.594,277624.0,002496
113,2016-06-22,5.574,5.653,5.663,5.544,231748.0,002496
114,2016-06-23,5.653,5.871,6.039,5.584,539076.0,002496
115,2016-06-24,5.782,5.683,5.881,5.455,449674.0,002496
116,2016-06-27,5.594,5.742,5.821,5.574,337737.0,002496
117,2016-06-28,5.732,5.762,5.792,5.663,310591.0,002496
118,2016-06-29,5.782,5.732,5.821,5.712,298775.0,002496
119,2016-06-30,5.732,5.792,5.821,5.663,321567.0,002496
120,2016-07-01,5.801,5.712,5.801,5.683,214907.0,002496
121,2016-07-04,5.683,5.792,5.881,5.643,365839.0,002496
122,2016-07-05,5.792,5.821,5.841,5.752,399436.0,002496
123,2016-07-06,5.792,5.752,5.821,5.722,299589.0,002496
124,2016-07-07,5.742,5.762,5.841,5.683,359077.0,002496
125,2016-07-08,5.772,5.722,5.792,5.722,216922.0,002496
126,2016-07-11,5.722,5.643,5.732,5.643,292571.0,002496
127,2016-07-12,5.643,5.653,5.683,5.514,274162.0,002496
128,2016-07-13,5.643,5.772,5.811,5.643,383271.0,002496
129,2016-07-14,5.742,5.742,5.752,5.693,246759.0,002496
130,2016-07-15,5.732,5.693,5.742,5.663,189235.0,002496
131,2016-07-18,5.683,5.623,5.683,5.603,182162.0,002496
132,2016-07-19,5.613,5.633,5.653,5.594,133206.0,002496
133,2016-07-20,5.643,5.693,5.722,5.613,239809.0,002496
134,2016-07-21,5.663,5.623,5.693,5.623,216910.0,002496
135,2016-07-22,5.633,5.623,5.643,5.603,154988.0,002496
136,2016-07-25,5.603,5.603,5.643,5.564,184931.0,002496
137,2016-07-26,5.603,5.643,5.643,5.574,202053.0,002496
138,2016-07-27,5.633,5.287,5.643,5.148,412975.0,002496
139,2016-07-28,5.297,5.188,5.316,5.118,219188.0,002496
140,2016-07-29,5.198,5.108,5.207,5.099,148969.0,002496
141,2016-08-01,5.089,5.059,5.089,4.93,179546.0,002496
142,2016-08-02,5.069,5.079,5.108,5.029,101393.0,002496
143,2016-08-03,5.059,5.019,5.069,5.009,122248.0,002496
144,2016-08-04,5.029,5.039,5.049,4.98,118173.0,002496
145,2016-08-05,5.029,5.346,5.544,5.009,559816.0,002496
146,2016-08-08,5.287,5.267,5.336,5.207,268547.0,002496
147,2016-08-09,5.277,5.287,5.306,5.237,185045.0,002496
148,2016-08-10,5.297,5.227,5.306,5.217,154286.0,002496
149,2016-08-11,5.217,5.138,5.227,5.128,139355.0,002496
150,2016-08-12,5.108,5.158,5.178,5.099,108991.0,002496
151,2016-08-15,5.178,5.237,5.257,5.138,196072.0,002496
152,2016-08-16,5.257,5.237,5.306,5.237,192630.0,002496
153,2016-08-17,5.237,5.267,5.277,5.227,148625.0,002496
154,2016-08-18,5.267,5.247,5.267,5.227,172419.0,002496
155,2016-08-19,5.247,5.227,5.247,5.188,146173.0,002496
156,2016-08-22,5.227,5.287,5.386,5.188,377168.0,002496
157,2016-08-23,5.277,5.405,5.574,5.257,407977.0,002496
158,2016-08-24,5.435,5.366,5.524,5.356,273810.0,002496
159,2016-08-25,5.326,5.257,5.326,5.178,188664.0,002496
160,2016-08-26,5.267,5.247,5.326,5.227,157909.0,002496
161,2016-08-29,5.247,5.356,5.396,5.227,222163.0,002496
162,2016-08-30,5.326,5.287,5.326,5.277,156764.0,002496
163,2016-08-31,5.287,5.297,5.356,5.277,118392.0,002496
164,2016-09-01,5.297,5.227,5.297,5.217,141939.0,002496
165,2016-09-02,5.227,5.217,5.267,5.188,104455.0,002496
166,2016-09-05,5.247,5.207,5.247,5.198,96590.0,002496
167,2016-09-06,5.207,5.237,5.247,5.148,127987.0,002496
168,2016-09-07,5.237,5.237,5.257,5.217,152553.0,002496
169,2016-09-08,5.247,5.257,5.257,5.227,113920.0,002496
170,2016-09-09,5.257,5.207,5.257,5.198,118866.0,002496
171,2016-09-12,5.099,5.099,5.148,5.049,152665.0,002496
172,2016-09-13,5.099,5.089,5.128,5.059,103606.0,002496
173,2016-09-14,5.039,5.039,5.079,5.019,99339.0,002496
174,2016-09-19,5.039,5.089,5.099,5.039,71657.0,002496
175,2016-09-20,5.069,5.148,5.217,5.049,155409.0,002496
176,2016-09-21,5.148,5.168,5.168,5.108,97695.0,002496
177,2016-09-22,5.227,5.148,5.237,5.138,84958.0,002496
178,2016-09-23,5.148,5.158,5.227,5.138,104490.0,002496
179,2016-09-26,5.188,5.039,5.188,5.029,108706.0,002496
180,2016-09-27,5.039,5.039,5.069,4.95,136216.0,002496
181,2016-09-28,5.039,5.009,5.049,4.99,65413.0,002496
182,2016-09-29,5.009,5.019,5.039,5.009,64383.0,002496
183,2016-09-30,5.009,5.049,5.059,5.009,58989.0,002496
184,2016-10-10,5.069,5.128,5.138,5.069,110478.0,002496
185,2016-10-11,5.128,5.148,5.168,5.099,104923.0,002496
186,2016-10-12,5.128,5.128,5.138,5.099,78582.0,002496
