,date,open,close,high,low,volume,code
0,2017-01-03,15.644,15.445,15.684,15.26,27471.0,603588
1,2017-01-04,15.425,15.485,15.52,15.22,12970.0,603588
2,2017-01-05,15.505,15.11,15.584,14.985,23437.0,603588
3,2017-01-06,15.135,14.99,15.235,14.77,25207.0,603588
4,2017-01-09,14.99,15.085,15.135,14.81,14445.0,603588
5,2017-01-10,15.01,14.91,15.06,14.86,10929.0,603588
6,2017-01-11,14.91,14.865,15.06,14.86,8391.0,603588
7,2017-01-12,14.81,14.91,14.975,14.81,10804.0,603588
8,2017-01-13,14.935,14.386,14.96,14.276,23632.0,603588
9,2017-01-16,14.361,13.931,14.456,13.492,30585.0,603588
10,2017-01-17,13.916,13.801,13.971,13.586,19351.0,603588
11,2017-01-18,13.786,13.671,13.961,13.581,16847.0,603588
12,2017-01-19,13.522,13.701,13.786,13.522,14769.0,603588
13,2017-01-20,13.786,14.056,14.111,13.621,29033.0,603588
14,2017-01-23,14.036,14.201,14.211,14.011,13482.0,603588
15,2017-01-24,14.181,14.231,14.296,14.076,11905.0,603588
16,2017-01-25,14.136,14.146,14.256,14.031,14003.0,603588
17,2017-01-26,14.186,14.361,14.511,14.161,10899.0,603588
18,2017-02-03,14.386,14.341,14.441,14.246,6527.0,603588
19,2017-02-06,14.336,14.451,14.496,14.261,17332.0,603588
20,2017-02-07,14.461,14.336,14.461,14.286,5950.0,603588
21,2017-02-08,14.261,14.351,14.366,14.211,11333.0,603588
22,2017-02-09,14.406,14.885,15.385,14.406,42225.0,603588
23,2017-02-10,14.785,14.695,14.83,14.64,17728.0,603588
24,2017-02-13,14.83,14.895,14.925,14.501,36913.0,603588
25,2017-02-14,14.85,14.77,14.88,14.635,24133.0,603588
26,2017-02-15,14.75,14.476,14.78,14.426,24196.0,603588
27,2017-02-16,14.476,14.481,14.56,14.351,16255.0,603588
28,2017-02-17,14.56,14.071,14.56,13.996,31273.0,603588
29,2017-02-20,14.146,14.151,14.151,13.951,23972.0,603588
30,2017-02-21,14.071,14.261,14.281,14.016,44714.0,603588
31,2017-02-22,14.261,14.615,14.655,14.201,36263.0,603588
32,2017-02-23,14.635,14.665,14.71,14.54,26786.0,603588
33,2017-02-24,14.665,14.8,14.86,14.536,23855.0,603588
34,2017-02-27,14.84,14.75,15.015,14.655,35479.0,603588
35,2017-02-28,14.775,14.665,14.865,14.59,22788.0,603588
36,2017-03-01,14.68,14.86,14.875,14.59,25990.0,603588
37,2017-03-02,14.935,14.68,14.935,14.61,43883.0,603588
38,2017-03-03,14.635,14.555,14.76,14.481,25335.0,603588
39,2017-03-06,14.536,14.74,14.82,14.526,32032.0,603588
40,2017-03-07,14.73,14.845,14.925,14.685,28592.0,603588
41,2017-03-08,14.85,15.05,15.27,14.8,56371.0,603588
42,2017-03-09,15.135,15.04,15.135,14.77,28671.0,603588
43,2017-03-10,15.035,14.905,15.12,14.84,15627.0,603588
44,2017-03-13,15.025,15.165,15.175,14.785,31804.0,603588
45,2017-03-14,15.175,14.95,15.465,14.86,43650.0,603588
46,2017-03-15,14.785,15.365,15.38,14.785,58747.0,603588
47,2017-03-16,15.365,15.42,15.684,15.225,47671.0,603588
48,2017-03-17,15.395,15.609,15.759,15.395,52221.0,603588
49,2017-03-20,15.684,15.639,15.694,15.385,29270.0,603588
50,2017-03-21,15.624,15.999,16.284,15.559,49443.0,603588
51,2017-03-22,15.734,15.844,16.124,15.684,34021.0,603588
