,date,open,close,high,low,volume,code
0,2016-01-04,9.226,8.474,9.483,8.454,67224.0,600188
1,2016-01-05,8.256,8.612,8.691,8.127,89734.0,600188
2,2016-01-06,8.662,9.473,9.473,8.543,232716.0,600188
3,2016-01-07,9.394,8.553,9.503,8.523,56669.0,600188
4,2016-01-08,9.038,9.404,9.404,8.79,205739.0,600188
5,2016-01-11,9.404,8.84,9.553,8.8,214537.0,600188
6,2016-01-12,8.642,8.761,8.899,8.127,128882.0,600188
7,2016-01-13,8.701,8.662,9.275,8.513,128818.0,600188
8,2016-01-14,8.147,8.899,9.097,8.147,90749.0,600188
9,2016-01-15,8.612,8.345,8.84,8.177,96071.0,600188
10,2016-01-18,8.117,8.315,8.414,7.82,88752.0,600188
11,2016-01-19,8.256,8.434,8.612,8.147,99957.0,600188
12,2016-01-20,8.563,8.424,8.672,8.167,96918.0,600188
13,2016-01-21,8.226,8.088,8.662,8.008,103058.0,600188
14,2016-01-22,8.216,8.424,8.721,8.216,107410.0,600188
15,2016-01-25,8.612,8.919,9.117,8.513,145035.0,600188
16,2016-01-26,8.8,8.781,9.107,8.612,141385.0,600188
17,2016-01-27,8.731,9.394,9.414,8.721,184778.0,600188
18,2016-01-28,9.117,8.998,9.553,8.988,174509.0,600188
19,2016-01-29,8.909,9.087,9.275,8.196,118045.0,600188
20,2016-02-01,8.929,8.474,8.929,8.236,84634.0,600188
21,2016-02-02,8.335,8.503,8.592,8.226,100227.0,600188
22,2016-02-03,8.325,8.236,8.345,8.048,73098.0,600188
23,2016-02-04,8.345,8.335,8.385,8.127,124173.0,600188
24,2016-02-05,8.276,8.137,8.365,8.117,58379.0,600188
25,2016-02-15,7.919,8.097,8.177,7.82,56794.0,600188
26,2016-02-16,8.097,8.335,8.434,8.097,75684.0,600188
27,2016-02-17,8.325,8.434,8.503,8.266,68134.0,600188
28,2016-02-18,8.592,8.602,9.038,8.493,113242.0,600188
29,2016-02-19,8.533,8.493,8.612,8.404,58076.0,600188
30,2016-02-22,8.583,8.781,9.206,8.513,182087.0,600188
31,2016-02-23,8.612,9.078,9.107,8.612,179153.0,600188
32,2016-02-24,9.008,9.226,9.483,8.82,154769.0,600188
33,2016-02-25,9.176,8.81,9.345,8.721,165153.0,600188
34,2016-02-26,9.058,9.691,9.691,8.909,268764.0,600188
35,2016-02-29,9.592,10.384,10.661,8.979,446132.0,600188
36,2016-03-02,10.018,11.424,11.424,9.929,390093.0,600188
37,2016-03-03,11.493,11.325,11.978,11.097,349071.0,600188
38,2016-03-04,11.196,10.929,11.384,10.711,330088.0,600188
39,2016-03-07,11.176,11.176,11.206,10.681,331387.0,600188
40,2016-03-08,11.424,10.83,11.443,10.493,216233.0,600188
41,2016-03-09,10.077,9.84,10.335,9.751,220347.0,600188
42,2016-03-10,9.879,9.671,10.048,9.602,150829.0,600188
43,2016-03-11,9.652,10.206,10.236,9.563,241814.0,600188
44,2016-03-14,10.325,10.75,11.117,9.909,296362.0,600188
45,2016-03-15,10.444,10.275,10.661,10.196,128667.0,600188
46,2016-03-16,10.473,10.374,10.691,10.008,140870.0,600188
47,2016-03-17,10.463,10.909,11.137,10.384,219476.0,600188
48,2016-03-18,11.067,10.919,11.236,10.869,237840.0,600188
49,2016-03-21,11.038,11.018,11.067,10.562,279999.0,600188
50,2016-03-22,10.83,10.879,10.958,10.602,174842.0,600188
51,2016-03-23,10.889,10.968,11.166,10.741,206842.0,600188
52,2016-03-24,10.741,10.186,10.741,10.127,223184.0,600188
53,2016-03-25,10.127,10.295,10.384,9.998,112733.0,600188
54,2016-03-28,10.295,9.998,10.315,9.939,132051.0,600188
55,2016-03-29,10.008,9.909,10.186,9.85,143331.0,600188
56,2016-03-30,10.117,10.166,10.186,9.929,99918.0,600188
57,2016-03-31,10.166,10.513,10.562,10.018,250712.0,600188
58,2016-04-01,10.444,10.661,10.889,10.414,256937.0,600188
59,2016-04-05,10.552,10.711,10.988,10.503,193391.0,600188
60,2016-04-06,10.612,10.562,10.701,10.384,114393.0,600188
61,2016-04-07,10.533,10.394,10.81,10.275,152216.0,600188
62,2016-04-08,10.196,10.166,10.434,9.998,118771.0,600188
63,2016-04-11,10.444,10.691,11.176,10.444,219644.0,600188
64,2016-04-12,10.83,10.81,10.879,10.345,157894.0,600188
65,2016-04-13,11.216,11.691,11.889,11.216,548883.0,600188
66,2016-04-14,11.463,11.354,11.562,11.176,224157.0,600188
67,2016-04-15,11.236,11.206,11.414,11.038,166990.0,600188
68,2016-04-18,11.087,10.978,11.127,10.671,152104.0,600188
69,2016-04-19,11.077,11.067,11.206,10.83,106297.0,600188
70,2016-04-20,11.176,10.552,11.364,10.265,197658.0,600188
71,2016-04-21,10.602,10.691,10.988,10.582,171667.0,600188
72,2016-04-22,10.473,10.424,10.721,10.196,105621.0,600188
73,2016-04-25,10.473,10.84,10.859,10.226,123075.0,600188
74,2016-04-26,10.919,10.76,10.968,10.513,71444.0,600188
75,2016-04-27,10.731,10.473,10.82,10.364,123111.0,600188
76,2016-04-28,10.206,10.414,10.463,10.127,72769.0,600188
77,2016-04-29,10.305,10.453,10.523,10.246,63645.0,600188
78,2016-05-03,10.434,10.701,10.731,10.246,144950.0,600188
79,2016-05-04,10.533,10.453,10.592,10.394,91678.0,600188
80,2016-05-05,10.414,10.463,10.533,10.295,73624.0,600188
81,2016-05-06,10.434,9.909,10.493,9.879,105930.0,600188
82,2016-05-09,9.8,8.919,9.879,8.919,178708.0,600188
83,2016-05-10,8.84,8.899,8.959,8.761,68796.0,600188
84,2016-05-11,8.959,8.909,8.998,8.721,81433.0,600188
85,2016-05-12,8.691,8.83,8.86,8.563,52398.0,600188
86,2016-05-13,8.8,8.82,8.959,8.761,56176.0,600188
87,2016-05-16,8.81,8.84,8.85,8.622,54797.0,600188
88,2016-05-17,8.909,9.127,9.256,8.909,132138.0,600188
89,2016-05-18,9.008,9.186,9.454,8.919,104747.0,600188
90,2016-05-19,9.355,9.097,9.454,9.038,68697.0,600188
91,2016-05-20,8.988,9.157,9.176,8.79,42753.0,600188
92,2016-05-23,9.107,9.186,9.256,9.018,44343.0,600188
93,2016-05-24,9.097,8.899,9.107,8.711,66372.0,600188
94,2016-05-25,8.969,9.097,9.196,8.909,74488.0,600188
95,2016-05-26,9.097,9.206,9.246,8.998,88046.0,600188
96,2016-05-27,9.186,9.117,9.216,9.018,50009.0,600188
97,2016-05-30,9.068,8.929,9.078,8.81,41710.0,600188
98,2016-05-31,8.919,9.216,9.236,8.919,94722.0,600188
99,2016-06-01,9.167,9.285,9.424,9.167,97545.0,600188
100,2016-06-02,9.305,9.473,9.642,9.285,105822.0,600188
101,2016-06-03,9.503,9.404,9.503,9.285,62537.0,600188
102,2016-06-06,9.434,9.404,9.454,9.256,60797.0,600188
103,2016-06-07,9.384,9.335,9.404,9.285,55889.0,600188
104,2016-06-08,9.285,9.256,9.345,9.206,49774.0,600188
105,2016-06-13,9.157,8.8,9.186,8.79,50768.0,600188
106,2016-06-14,8.909,8.741,8.929,8.691,38966.0,600188
107,2016-06-15,8.573,8.899,8.909,8.563,64795.0,600188
108,2016-06-16,8.909,8.751,8.909,8.711,44813.0,600188
109,2016-06-17,8.86,9.186,9.305,8.85,108547.0,600188
110,2016-06-20,9.068,9.127,9.226,9.058,66253.0,600188
111,2016-06-21,9.176,9.206,9.582,9.157,117359.0,600188
112,2016-06-22,9.176,10.127,10.127,9.157,147274.0,600188
113,2016-06-23,10.394,10.612,10.899,10.008,233386.0,600188
114,2016-06-24,10.493,10.424,10.76,10.008,248158.0,600188
115,2016-06-27,10.295,11.156,11.463,10.295,258288.0,600188
