,time,price,change,volume,amount,type
0,15:00:03,10.29,--,3514,3615905,卖盘
1,14:57:00,10.29,--,75,77175,卖盘
2,14:56:57,10.29,--,45,46304,卖盘
3,14:56:54,10.29,--,84,86436,卖盘
4,14:56:48,10.29,--,20,20580,卖盘
5,14:56:45,10.29,--,10,10290,卖盘
6,14:56:42,10.29,--,15,15434,卖盘
7,14:56:36,10.29,-0.01,62,63797,卖盘
8,14:56:33,10.3,0.01,99,101970,买盘
9,14:56:30,10.29,-0.01,18,18522,卖盘
10,14:56:27,10.3,--,135,139050,买盘
11,14:56:24,10.3,0.01,331,340930,买盘
12,14:56:21,10.29,--,232,238727,卖盘
13,14:56:18,10.29,-0.01,8,8232,卖盘
14,14:56:12,10.3,--,44,45320,买盘
15,14:56:09,10.3,--,41,42230,买盘
16,14:56:06,10.3,--,505,520150,买盘
17,14:56:03,10.3,--,412,424360,卖盘
18,14:56:00,10.3,-0.01,20,20600,卖盘
19,14:55:57,10.31,0.01,14,14434,买盘
20,14:55:51,10.3,-0.01,10,10300,卖盘
21,14:55:48,10.31,0.01,120,123720,买盘
22,14:55:45,10.3,--,4,4120,卖盘
23,14:55:42,10.3,-0.01,18,18540,卖盘
24,14:55:39,10.31,0.01,12,12372,买盘
25,14:55:33,10.3,--,27,27810,卖盘
26,14:55:30,10.3,--,81,83430,卖盘
27,14:55:27,10.3,--,107,110210,卖盘
28,14:55:24,10.3,-0.01,20,20600,卖盘
29,14:55:21,10.31,0.01,1,1031,买盘
30,14:55:18,10.3,--,85,87550,卖盘
31,14:55:15,10.3,--,139,143170,买盘
32,14:55:12,10.3,--,107,110210,买盘
33,14:55:09,10.3,--,14,14420,买盘
34,14:55:06,10.3,--,29,29870,买盘
35,14:55:03,10.3,0.01,200,206000,买盘
36,14:54:51,10.29,--,15,15434,卖盘
37,14:54:45,10.29,--,4,4116,卖盘
38,14:54:42,10.29,-0.01,71,73059,卖盘
39,14:54:39,10.3,--,235,242050,买盘
