,time,price,change,volume,amount,type
0,15:00:03,10.7,0.02,4837,5175590,买盘
1,14:57:00,10.68,--,3,3204,买盘
2,14:56:57,10.68,--,2,2136,买盘
3,14:56:54,10.68,--,11,11748,买盘
4,14:56:51,10.68,--,13,13884,卖盘
5,14:56:48,10.68,0.01,1008,1076544,中性盘
6,14:56:42,10.67,--,39,42669,卖盘
7,14:56:39,10.67,-0.01,38,40556,卖盘
8,14:56:36,10.68,-0.01,154,164472,卖盘
9,14:56:33,10.69,0.01,2,2138,买盘
10,14:56:30,10.68,--,35,37380,卖盘
11,14:56:24,10.68,--,107,115333,买盘
12,14:56:21,10.68,--,21,22428,买盘
13,14:56:18,10.68,0.01,99,105732,买盘
14,14:56:15,10.67,--,22,23474,卖盘
15,14:56:12,10.67,-0.01,31,33077,卖盘
16,14:56:09,10.68,--,22,23496,买盘
17,14:56:06,10.68,0.01,173,184764,买盘
18,14:56:03,10.67,-0.01,126,134442,卖盘
19,14:56:00,10.68,--,3,3204,买盘
20,14:55:57,10.68,--,65,69420,买盘
21,14:55:54,10.68,--,46,49128,买盘
22,14:55:51,10.68,--,151,161983,买盘
23,14:55:48,10.68,0.01,1,1068,买盘
24,14:55:45,10.67,-0.01,16,17072,卖盘
25,14:55:42,10.68,--,11,11748,买盘
26,14:55:39,10.68,--,17,18156,买盘
27,14:55:36,10.68,0.01,2,2136,买盘
28,14:55:33,10.67,--,14,15898,卖盘
29,14:55:30,10.67,--,372,397414,卖盘
30,14:55:27,10.67,-0.01,24,25608,卖盘
31,14:55:21,10.68,--,23,24564,买盘
32,14:55:18,10.68,--,8,8544,买盘
33,14:55:15,10.68,--,73,77964,买盘
34,14:55:12,10.68,--,2,2136,买盘
35,14:55:09,10.68,--,47,50196,买盘
36,14:55:06,10.68,--,33,35639,买盘
37,14:55:03,10.68,-0.01,12,12816,卖盘
38,14:55:00,10.69,--,102,109038,买盘
39,14:54:57,10.69,--,12,12828,买盘
40,14:54:54,10.69,0.02,110,117590,买盘
41,14:54:51,10.67,-0.01,317,338239,卖盘
42,14:54:48,10.68,--,3,3663,买盘
43,14:54:45,10.68,--,4,4272,买盘
44,14:54:42,10.68,0.01,356,380208,买盘
45,14:54:39,10.67,--,50,53350,卖盘
46,14:54:36,10.67,-0.01,15,16005,卖盘
47,14:54:33,10.68,--,205,218940,买盘
48,14:54:30,10.68,0.01,120,128160,买盘
49,14:54:27,10.67,-0.01,160,170720,卖盘
50,14:54:21,10.68,--,12,12816,买盘
51,14:54:18,10.68,--,16,17088,买盘
52,14:54:15,10.68,--,10,10680,买盘
53,14:54:12,10.68,--,21,22428,买盘
54,14:54:09,10.68,--,42,44856,买盘
55,14:54:06,10.68,--,168,179424,买盘
56,14:54:03,10.68,0.01,1,1068,买盘
57,14:54:00,10.67,-0.01,5,5335,卖盘
58,14:53:57,10.68,--,102,108936,买盘
59,14:53:54,10.68,0.01,101,107868,买盘
60,14:53:51,10.67,-0.01,60,64020,卖盘
61,14:53:48,10.68,--,100,106800,买盘
62,14:53:45,10.68,--,20,21360,买盘
63,14:53:42,10.68,--,24,25632,买盘
64,14:53:39,10.68,--,28,29904,买盘
65,14:53:36,10.68,--,2,2136,买盘
66,14:53:33,10.68,0.01,1,1068,买盘
67,14:53:30,10.67,-0.01,11,11737,卖盘
68,14:53:24,10.68,0.01,3,3204,买盘
69,14:53:21,10.67,--,112,119888,买盘
70,14:53:15,10.67,--,68,72556,买盘
71,14:53:12,10.67,-0.01,243,259281,卖盘
72,14:53:09,10.68,0.01,2,2136,买盘
73,14:53:03,10.67,-0.01,228,243276,卖盘
74,14:53:00,10.68,--,13,13884,买盘
75,14:52:57,10.68,--,2,2136,买盘
76,14:52:54,10.68,--,4,4272,买盘
77,14:52:51,10.68,--,26,27768,买盘
78,14:52:48,10.68,--,128,136704,买盘
79,14:52:39,10.68,--,125,134108,卖盘
80,14:52:36,10.68,--,60,64080,卖盘
81,14:52:33,10.68,--,829,885831,买盘
82,14:52:30,10.68,--,16,17088,买盘
83,14:52:24,10.68,0.01,99,105732,买盘
84,14:52:21,10.67,--,14,14938,卖盘
85,14:52:18,10.67,0.01,96,102474,买盘
86,14:52:15,10.66,-0.01,128,136448,卖盘
87,14:52:12,10.67,-0.01,186,198803,卖盘
88,14:52:09,10.68,--,73,77964,买盘
89,14:52:03,10.68,--,30,32040,买盘
90,14:52:00,10.68,0.01,21,22428,买盘
91,14:51:57,10.67,--,18,19931,买盘
92,14:51:54,10.67,--,193,205931,买盘
93,14:51:51,10.67,--,3,3201,买盘
94,14:51:48,10.67,--,1,1067,买盘
95,14:51:45,10.67,0.01,170,181390,买盘
96,14:51:42,10.66,-0.01,99,105534,卖盘
97,14:51:39,10.67,--,103,109901,买盘
98,14:51:33,10.67,0.01,6,6402,买盘
99,14:51:30,10.66,-0.01,14,14924,卖盘
100,14:51:21,10.67,--,2,2134,买盘
101,14:51:18,10.67,-0.01,99,105974,卖盘
102,14:51:12,10.68,0.01,12,12816,买盘
103,14:51:09,10.67,-0.01,155,165385,卖盘
104,14:51:03,10.68,--,43,45924,买盘
105,14:51:00,10.68,0.01,4,4272,买盘
106,14:50:57,10.67,-0.01,27,28809,卖盘
107,14:50:51,10.68,0.01,7,7476,买盘
108,14:50:48,10.67,--,57,61544,买盘
109,14:50:45,10.67,--,59,62953,买盘
110,14:50:42,10.67,0.01,38,40546,买盘
111,14:50:39,10.66,-0.01,202,215332,卖盘
112,14:50:36,10.67,--,118,125906,买盘
113,14:50:30,10.67,0.01,42,44814,卖盘
114,14:50:27,10.66,-0.01,384,409344,卖盘
115,14:50:21,10.67,--,59,62953,买盘
116,14:50:18,10.67,--,21,22407,买盘
117,14:50:15,10.67,--,30,32010,买盘
118,14:50:12,10.67,--,28,29876,买盘
119,14:50:09,10.67,--,7,7469,买盘
120,14:50:06,10.67,0.01,3,3201,买盘
121,14:50:03,10.66,-0.02,1019,1086254,卖盘
122,14:50:00,10.68,--,2,2136,买盘
123,14:49:57,10.68,--,1,1068,买盘
124,14:49:54,10.68,--,1,1068,买盘
125,14:49:51,10.68,--,6,6408,买盘
126,14:49:48,10.68,0.01,3,3204,买盘
127,14:49:42,10.67,--,102,108834,卖盘
128,14:49:36,10.67,0.01,1,1067,中性盘
129,14:49:30,10.66,-0.02,48,51168,卖盘
130,14:49:27,10.68,--,23,24564,买盘
131,14:49:24,10.68,0.01,100,106800,买盘
132,14:49:21,10.67,--,1,1067,买盘
133,14:49:12,10.67,-0.01,20,21340,卖盘
134,14:49:09,10.68,--,21,22428,买盘
135,14:49:06,10.68,--,11,11748,买盘
136,14:49:00,10.68,--,2,2136,买盘
137,14:48:57,10.68,--,2,2136,买盘
138,14:48:54,10.68,-0.01,48,52321,卖盘
139,14:48:51,10.69,--,51,54519,买盘
140,14:48:48,10.69,--,20,21380,买盘
141,14:48:45,10.69,--,7,7483,买盘
142,14:48:39,10.69,0.01,223,238387,买盘
143,14:48:36,10.68,--,37,40530,卖盘
144,14:48:33,10.68,-0.01,220,235024,卖盘
145,14:48:30,10.69,0.01,30,32070,买盘
146,14:48:27,10.68,--,110,117480,卖盘
147,14:48:24,10.68,0.02,11,11748,买盘
148,14:48:21,10.66,-0.02,3,3198,卖盘
149,14:48:18,10.68,--,108,115344,买盘
150,14:48:15,10.68,--,11,11748,买盘
151,14:48:12,10.68,--,2,2136,买盘
152,14:48:09,10.68,0.02,2,2136,买盘
153,14:48:06,10.66,-0.02,1,1066,卖盘
154,14:48:03,10.68,--,2,2136,买盘
155,14:48:00,10.68,0.02,508,542544,中性盘
156,14:47:57,10.66,--,11,11726,卖盘
157,14:47:54,10.66,-0.02,228,243048,卖盘
158,14:47:51,10.68,--,8,8544,买盘
159,14:47:48,10.68,--,30,32040,买盘
160,14:47:45,10.68,0.03,213,227484,买盘
161,14:47:42,10.65,-0.01,650,692250,卖盘
162,14:47:36,10.66,-0.02,239,254774,卖盘
163,14:47:30,10.68,0.01,16,17088,买盘
164,14:47:27,10.67,--,285,304095,卖盘
165,14:47:24,10.67,--,327,348909,买盘
166,14:47:21,10.67,0.01,3,3201,买盘
167,14:47:12,10.66,--,253,269708,买盘
168,14:47:09,10.66,0.01,129,137514,买盘
169,14:47:06,10.65,-0.01,21,22365,卖盘
170,14:47:03,10.66,--,33,35178,买盘
171,14:47:00,10.66,--,3,3198,买盘
172,14:46:57,10.66,--,3,3198,买盘
173,14:46:51,10.66,0.01,8,8528,买盘
174,14:46:48,10.65,-0.01,21,22365,卖盘
175,14:46:45,10.66,-0.01,21,22386,卖盘
176,14:46:42,10.67,0.01,1,1067,买盘
177,14:46:39,10.66,--,42,44772,卖盘
178,14:46:36,10.66,--,12,12792,卖盘
179,14:46:33,10.66,-0.01,1,1066,卖盘
180,14:46:30,10.67,0.01,23,24541,买盘
181,14:46:27,10.66,--,17,18228,买盘
182,14:46:21,10.66,0.01,2,2132,买盘
183,14:46:18,10.65,--,192,204480,卖盘
184,14:46:15,10.65,--,124,132060,卖盘
185,14:46:12,10.65,-0.01,160,170400,卖盘
186,14:46:09,10.66,--,2,2132,买盘
187,14:46:06,10.66,--,9,9594,买盘
188,14:46:03,10.66,--,27,28782,买盘
189,14:46:00,10.66,0.01,4,4264,买盘
190,14:45:57,10.65,-0.01,17,18105,卖盘
191,14:45:51,10.66,--,137,146042,买盘
192,14:45:48,10.66,-0.01,249,266393,卖盘
193,14:45:45,10.67,--,197,210199,买盘
194,14:45:42,10.67,0.01,27,28809,买盘
195,14:45:39,10.66,-0.01,57,60762,卖盘
196,14:45:33,10.67,--,2,2134,买盘
197,14:45:21,10.67,--,25,26675,买盘
198,14:45:18,10.67,--,15,16005,买盘
199,14:45:15,10.67,--,37,39479,买盘
200,14:45:12,10.67,0.01,2,2134,买盘
201,14:45:09,10.66,-0.01,92,98072,卖盘
202,14:45:06,10.67,--,34,36278,卖盘
203,14:45:00,10.67,-0.01,72,76824,卖盘
204,14:44:57,10.68,--,1,1068,买盘
205,14:44:51,10.68,0.01,8,8544,买盘
206,14:44:48,10.67,-0.01,19,20273,卖盘
207,14:44:45,10.68,--,81,86508,买盘
