,time,price,change,volume,amount,type
0,15:00:03,13.02,0.01,16320,21248640,买盘
1,14:57:00,13.01,-0.01,482,627888,卖盘
2,14:56:57,13.02,0.01,139,180978,买盘
3,14:56:54,13.01,--,588,766106,卖盘
4,14:56:51,13.01,-0.01,196,256023,卖盘
5,14:56:48,13.02,0.01,129,167958,买盘
6,14:56:45,13.01,--,76,98876,买盘
7,14:56:42,13.01,--,102,132702,买盘
8,14:56:39,13.01,0.01,240,312240,买盘
9,14:56:36,13.0,-0.01,726,943800,卖盘
10,14:56:33,13.01,--,103,134003,买盘
11,14:56:30,13.01,--,231,300531,卖盘
12,14:56:27,13.01,0.01,72,93672,卖盘
13,14:56:24,13.0,--,801,1041300,卖盘
14,14:56:21,13.0,-0.01,75,97500,卖盘
15,14:56:18,13.01,--,530,689530,买盘
16,14:56:15,13.01,--,174,226374,买盘
17,14:56:12,13.01,--,237,308337,卖盘
18,14:56:09,13.01,-0.01,366,476166,卖盘
19,14:56:06,13.02,--,848,1104096,买盘
20,14:56:03,13.02,--,38,49476,买盘
21,14:56:00,13.02,0.01,712,927024,买盘
22,14:55:57,13.01,-0.01,28,36428,卖盘
23,14:55:54,13.02,--,30,39060,买盘
24,14:55:51,13.02,--,78,101556,买盘
25,14:55:48,13.02,-0.01,766,998360,卖盘
26,14:55:45,13.03,0.01,171,222813,买盘
27,14:55:42,13.02,--,409,532518,卖盘
28,14:55:39,13.02,--,34,44268,卖盘
29,14:55:36,13.02,-0.01,18,23436,卖盘
30,14:55:33,13.03,-0.01,46,59938,中性盘
31,14:55:30,13.04,0.01,360,469439,买盘
32,14:55:27,13.03,0.01,199,259297,卖盘
33,14:55:24,13.02,-0.01,69,89838,卖盘
34,14:55:21,13.03,0.01,196,255388,买盘
35,14:55:18,13.02,-0.01,85,110670,卖盘
36,14:55:15,13.03,-0.01,36,46908,卖盘
37,14:55:12,13.04,--,224,292096,买盘
38,14:55:09,13.04,--,80,104320,买盘
39,14:55:06,13.04,--,80,104320,买盘
40,14:55:03,13.04,0.02,36,46944,买盘
41,14:55:00,13.02,-0.02,525,683550,卖盘
42,14:54:57,13.04,--,44,57375,买盘
43,14:54:54,13.04,--,116,151264,买盘
44,14:54:51,13.04,-0.01,514,670256,卖盘
45,14:54:48,13.05,--,114,148770,卖盘
