,time,price,change,volume,amount,type
0,15:00:03,9.97,-0.01,2647,2639487,卖盘
1,14:57:00,9.98,--,0,0,买盘
2,14:56:57,9.98,0.01,368,367264,买盘
3,14:56:54,9.97,--,101,100697,买盘
4,14:56:51,9.97,--,80,79760,买盘
5,14:56:48,9.97,-0.01,115,114655,卖盘
6,14:56:45,9.98,0.01,204,203592,买盘
7,14:56:42,9.97,-0.01,48,47856,卖盘
8,14:56:39,9.98,--,4,3992,买盘
9,14:56:33,9.98,--,4,3992,买盘
10,14:56:30,9.98,0.01,15,14970,买盘
11,14:56:27,9.97,--,200,199400,卖盘
12,14:56:24,9.97,--,13,12961,卖盘
13,14:56:21,9.97,-0.01,202,201394,卖盘
14,14:56:15,9.98,0.02,226,225548,买盘
15,14:56:12,9.96,-0.02,200,199200,卖盘
16,14:56:09,9.98,0.01,92,91816,买盘
17,14:56:06,9.97,-0.01,241,240277,买盘
18,14:56:03,9.98,0.01,149,148702,买盘
19,14:56:00,9.97,--,182,181952,卖盘
20,14:55:57,9.97,--,10,9970,卖盘
21,14:55:54,9.97,-0.01,212,211364,卖盘
22,14:55:51,9.98,0.01,13,12974,买盘
23,14:55:48,9.97,-0.01,5,4985,卖盘
24,14:55:45,9.98,--,111,110778,买盘
25,14:55:42,9.98,0.01,10,9980,买盘
26,14:55:39,9.97,--,2000,1994000,卖盘
27,14:55:36,9.97,-0.01,1,997,卖盘
28,14:55:33,9.98,--,1,998,买盘
29,14:55:27,9.98,--,633,631734,卖盘
30,14:55:24,9.98,-0.01,20,19960,卖盘
31,14:55:21,9.99,0.01,284,283716,买盘
32,14:55:18,9.98,-0.01,1,998,卖盘
33,14:55:15,9.99,--,81,80919,买盘
34,14:55:12,9.99,--,10,9990,买盘
35,14:55:09,9.99,0.01,541,540459,买盘
36,14:55:06,9.98,-0.01,1,998,卖盘
37,14:55:00,9.99,0.01,73,72927,买盘
38,14:54:54,9.98,--,550,548900,卖盘
39,14:54:51,9.98,--,55,54890,卖盘
40,14:54:48,9.98,--,50,49900,卖盘
41,14:54:45,9.98,--,50,49900,卖盘
42,14:54:42,9.98,--,2,1996,卖盘
43,14:54:39,9.98,-0.01,50,49900,卖盘
44,14:54:33,9.99,--,94,93906,买盘
45,14:54:30,9.99,--,11,10989,买盘
46,14:54:27,9.99,0.01,33,32967,买盘
47,14:54:24,9.98,-0.01,1,998,卖盘
48,14:54:18,9.99,--,59,58941,买盘
49,14:54:15,9.99,0.01,1,999,买盘
50,14:54:06,9.98,--,43,42914,卖盘
51,14:54:00,9.98,-0.01,339,338322,卖盘
52,14:53:51,9.99,--,10,9990,买盘
53,14:53:48,9.99,--,203,202797,买盘
54,14:53:45,9.99,--,11,10989,买盘
55,14:53:33,9.99,0.01,47,46953,买盘
56,14:53:30,9.98,--,131,130738,卖盘
57,14:53:21,9.98,--,118,118532,买盘
58,14:53:18,9.98,--,1,998,买盘
59,14:53:15,9.98,--,55,54890,买盘
60,14:53:12,9.98,0.01,26,25948,买盘
61,14:53:09,9.97,-0.01,37,37118,卖盘
62,14:53:03,9.98,--,14,13972,卖盘
63,14:53:00,9.98,--,93,93582,买盘
64,14:52:57,9.98,--,245,244510,买盘
65,14:52:54,9.98,--,45,44910,买盘
66,14:52:51,9.98,--,581,579838,买盘
67,14:52:48,9.98,--,122,121756,买盘
68,14:52:45,9.98,--,7,6986,买盘
69,14:52:42,9.98,--,16,15968,买盘
70,14:52:39,9.98,--,14,13972,买盘
71,14:52:33,9.98,0.01,10,9980,买盘
72,14:52:30,9.97,-0.01,19,18943,卖盘
73,14:52:27,9.98,0.01,13,12974,买盘
74,14:52:18,9.97,-0.01,9,8973,卖盘
75,14:52:15,9.98,0.01,27,26946,买盘
76,14:52:12,9.97,-0.01,89,88733,卖盘
77,14:52:06,9.98,--,3,2994,买盘
78,14:52:00,9.98,--,28,27944,买盘
79,14:51:57,9.98,--,10,9980,买盘
80,14:51:54,9.98,0.01,10,9980,买盘
81,14:51:51,9.97,--,10,9970,卖盘
82,14:51:48,9.97,-0.01,4,3988,卖盘
83,14:51:45,9.98,0.01,30,29940,买盘
84,14:51:42,9.97,-0.01,25,24925,卖盘
85,14:51:39,9.98,--,6,5988,买盘
86,14:51:30,9.98,--,10,9980,买盘
87,14:51:24,9.98,--,5,4990,买盘
88,14:51:18,9.98,--,16,15968,买盘
89,14:51:15,9.98,--,41,40918,买盘
90,14:51:12,9.98,--,473,472283,卖盘
91,14:51:06,9.98,--,6,5988,卖盘
92,14:51:03,9.98,-0.01,10,9980,卖盘
93,14:50:57,9.99,0.01,6,5994,买盘
94,14:50:48,9.98,-0.01,21,20958,卖盘
95,14:50:42,9.99,0.01,51,50949,买盘
96,14:50:39,9.98,--,50,49900,卖盘
97,14:50:36,9.98,--,52,51896,卖盘
98,14:50:33,9.98,--,86,85828,卖盘
99,14:50:27,9.98,-0.01,56,55888,卖盘
100,14:50:24,9.99,0.01,9,8991,买盘
101,14:50:18,9.98,--,150,149700,卖盘
102,14:50:12,9.98,--,22,21956,卖盘
103,14:50:03,9.98,--,3,2994,卖盘
