,time,price,change,volume,amount,type
0,15:00:03,11.42,--,3518,4017556,买盘
1,14:57:00,11.42,0.01,8,9136,买盘
2,14:56:57,11.41,--,9,10269,卖盘
3,14:56:54,11.41,--,102,116382,卖盘
4,14:56:51,11.41,--,7,7987,卖盘
5,14:56:48,11.41,--,680,775880,卖盘
6,14:56:45,11.41,-0.01,40,45640,卖盘
7,14:56:42,11.42,--,50,57100,买盘
8,14:56:39,11.42,0.01,189,215838,买盘
9,14:56:36,11.41,--,14,15974,卖盘
10,14:56:33,11.41,--,51,58191,卖盘
11,14:56:30,11.41,-0.01,258,294378,卖盘
12,14:56:27,11.42,0.01,22,25124,买盘
13,14:56:24,11.41,--,1,1141,卖盘
14,14:56:21,11.41,--,12,13692,卖盘
15,14:56:18,11.41,-0.01,17,19397,卖盘
16,14:56:15,11.42,0.01,165,188430,买盘
17,14:56:12,11.41,-0.01,26,29666,卖盘
18,14:56:09,11.42,0.01,13,14846,买盘
19,14:56:03,11.41,--,27,30807,卖盘
20,14:56:00,11.41,--,4,5476,卖盘
21,14:55:57,11.41,-0.01,213,243033,卖盘
22,14:55:54,11.42,0.01,27,30834,买盘
23,14:55:51,11.41,-0.01,69,78729,卖盘
24,14:55:48,11.42,0.01,52,59384,买盘
25,14:55:45,11.41,--,401,457541,卖盘
26,14:55:42,11.41,-0.01,81,92421,卖盘
27,14:55:39,11.42,--,10,11420,买盘
28,14:55:36,11.42,0.01,129,147318,买盘
29,14:55:33,11.41,--,26,29666,卖盘
30,14:55:30,11.41,-0.01,40,45640,卖盘
31,14:55:27,11.42,--,80,91360,买盘
32,14:55:24,11.42,0.01,27,30834,买盘
33,14:55:21,11.41,--,228,260148,卖盘
34,14:55:18,11.41,-0.01,61,69601,卖盘
35,14:55:15,11.42,--,116,132472,买盘
36,14:55:12,11.42,0.01,176,200992,买盘
37,14:55:09,11.41,--,16,18256,卖盘
38,14:55:06,11.41,--,7,7987,卖盘
39,14:55:03,11.41,-0.01,6,6846,卖盘
40,14:55:00,11.42,--,9,10278,买盘
41,14:54:57,11.42,--,9,10278,买盘
42,14:54:54,11.42,--,116,132472,买盘
43,14:54:51,11.42,0.01,67,76514,买盘
44,14:54:48,11.41,-0.01,30,34230,卖盘
45,14:54:42,11.42,0.01,26,29692,买盘
46,14:54:36,11.41,--,43,49063,卖盘
47,14:54:33,11.41,--,142,162022,卖盘
48,14:54:30,11.41,--,3,3423,卖盘
49,14:54:24,11.41,--,65,74165,卖盘
50,14:54:21,11.41,-0.01,37,42217,卖盘
51,14:54:18,11.42,--,12,13704,买盘
52,14:54:15,11.42,0.01,255,291210,买盘
53,14:54:12,11.41,--,195,222495,卖盘
54,14:54:09,11.41,--,10,11410,卖盘
55,14:54:06,11.41,-0.01,6,6846,卖盘
56,14:54:03,11.42,0.01,262,299204,买盘
57,14:54:00,11.41,--,1,1141,卖盘
58,14:53:57,11.41,--,1,1141,卖盘
59,14:53:54,11.41,--,409,466669,卖盘
60,14:53:51,11.41,--,29,33089,卖盘
61,14:53:48,11.41,--,60,68460,卖盘
62,14:53:45,11.41,--,157,179137,卖盘
63,14:53:42,11.41,--,205,233905,卖盘
64,14:53:39,11.41,-0.01,9,10269,卖盘
65,14:53:36,11.42,0.01,122,139324,买盘
66,14:53:33,11.41,--,49,55909,卖盘
67,14:53:27,11.41,--,52,59332,卖盘
68,14:53:21,11.41,-0.01,16,18256,卖盘
69,14:53:18,11.42,--,13,14846,买盘
70,14:53:15,11.42,0.01,4,4568,买盘
71,14:53:12,11.41,--,3,3423,卖盘
72,14:53:09,11.41,--,12,13692,卖盘
73,14:53:06,11.41,--,200,228200,卖盘
74,14:53:03,11.41,--,7,7987,卖盘
75,14:53:00,11.41,-0.01,41,46781,卖盘
76,14:52:57,11.42,--,21,23982,买盘
77,14:52:54,11.42,0.01,10,11420,买盘
78,14:52:51,11.41,--,25,28525,卖盘
79,14:52:42,11.41,--,30,34230,卖盘
80,14:52:39,11.41,-0.01,39,44499,卖盘
81,14:52:36,11.42,--,15,17130,买盘
82,14:52:33,11.42,--,98,111916,买盘
83,14:52:30,11.42,0.01,29,33118,买盘
84,14:52:27,11.41,--,502,572782,卖盘
85,14:52:24,11.41,--,22,25102,卖盘
86,14:52:21,11.41,-0.01,99,112959,卖盘
87,14:52:18,11.42,-0.01,17,19414,卖盘
88,14:52:15,11.43,--,54,61722,买盘
89,14:52:12,11.43,--,39,44577,买盘
90,14:52:09,11.43,--,143,163449,买盘
91,14:52:06,11.43,0.01,43,49149,买盘
92,14:52:03,11.42,-0.01,12,13704,卖盘
93,14:52:00,11.43,0.01,30,34290,买盘
94,14:51:57,11.42,--,877,1001534,卖盘
95,14:51:54,11.42,--,100,114200,卖盘
96,14:51:51,11.42,--,30,34260,卖盘
97,14:51:48,11.42,--,68,77656,卖盘
98,14:51:45,11.42,-0.01,200,228400,卖盘
99,14:51:42,11.43,--,17,19431,买盘
100,14:51:39,11.43,--,29,33147,买盘
101,14:51:36,11.43,0.01,98,112014,买盘
102,14:51:33,11.42,--,75,85650,卖盘
103,14:51:30,11.42,--,8,9136,卖盘
104,14:51:27,11.42,--,10,11420,卖盘
105,14:51:24,11.42,--,11,12562,卖盘
106,14:51:21,11.42,--,12,13704,卖盘
107,14:51:18,11.42,-0.01,20,22840,卖盘
108,14:51:15,11.43,0.01,20,22860,买盘
109,14:51:12,11.42,-0.01,34,38828,卖盘
110,14:51:06,11.43,0.01,190,217170,买盘
111,14:51:00,11.42,--,55,62810,卖盘
112,14:50:57,11.42,--,9,10278,卖盘
113,14:50:54,11.42,--,38,43396,卖盘
114,14:50:51,11.42,-0.01,14,15988,卖盘
115,14:50:45,11.43,0.01,2,2286,买盘
116,14:50:42,11.42,--,15,17130,卖盘
117,14:50:39,11.42,-0.01,23,26266,卖盘
118,14:50:36,11.43,0.01,20,22860,买盘
119,14:50:33,11.42,--,1,1142,卖盘
120,14:50:30,11.42,-0.01,5,5710,中性盘
121,14:50:27,11.43,0.02,167,190881,买盘
122,14:50:21,11.41,-0.01,61,69601,卖盘
123,14:50:18,11.42,--,85,97070,卖盘
124,14:50:15,11.42,--,233,266086,卖盘
125,14:50:12,11.42,--,103,117626,卖盘
126,14:50:09,11.42,--,37,42254,卖盘
127,14:50:06,11.42,--,6,6852,卖盘
128,14:50:03,11.42,--,50,57100,卖盘
129,14:50:00,11.42,-0.01,36,41397,卖盘
130,14:49:57,11.43,0.01,184,210312,买盘
131,14:49:54,11.42,--,48,54816,卖盘
132,14:49:51,11.42,-0.01,23,26266,卖盘
133,14:49:48,11.43,0.01,43,49149,买盘
134,14:49:45,11.42,--,119,135898,卖盘
135,14:49:42,11.42,-0.01,46,52532,卖盘
136,14:49:39,11.43,0.01,51,58293,买盘
137,14:49:36,11.42,-0.01,14,15988,卖盘
138,14:49:33,11.43,--,18,20859,买盘
139,14:49:30,11.43,--,18,20574,买盘
140,14:49:27,11.43,0.01,114,130302,买盘
141,14:49:24,11.42,--,100,114200,卖盘
142,14:49:21,11.42,--,19,21698,卖盘
143,14:49:15,11.42,--,3,3426,卖盘
144,14:49:12,11.42,-0.01,116,132472,卖盘
145,14:49:09,11.43,0.01,356,406908,买盘
146,14:49:06,11.42,--,23,26266,买盘
147,14:49:03,11.42,0.01,27,30834,买盘
148,14:49:00,11.41,--,28,32233,卖盘
149,14:48:57,11.41,--,45,51345,卖盘
150,14:48:54,11.41,--,101,115241,卖盘
151,14:48:51,11.41,-0.01,93,106113,卖盘
152,14:48:48,11.42,0.01,22,25124,买盘
153,14:48:45,11.41,--,4,4564,卖盘
154,14:48:42,11.41,--,5,5990,卖盘
155,14:48:39,11.41,--,34,38794,卖盘
156,14:48:33,11.41,--,1,1141,卖盘
157,14:48:30,11.41,-0.01,2,2282,卖盘
158,14:48:27,11.42,--,17,19414,买盘
159,14:48:24,11.42,--,44,50248,买盘
160,14:48:21,11.42,0.01,46,52532,买盘
161,14:48:18,11.41,-0.01,148,168868,卖盘
162,14:48:15,11.42,--,179,204418,买盘
163,14:48:12,11.42,0.01,5,5710,买盘
164,14:48:09,11.41,-0.01,1,1141,卖盘
165,14:48:06,11.42,0.01,83,94786,买盘
166,14:48:03,11.41,-0.01,285,325470,卖盘
167,14:48:00,11.42,--,53,60526,卖盘
168,14:47:57,11.42,-0.01,35,39970,卖盘
169,14:47:54,11.43,0.01,100,114300,买盘
170,14:47:51,11.42,-0.01,22,25124,卖盘
171,14:47:48,11.43,0.01,17,19431,买盘
172,14:47:45,11.42,-0.01,115,131330,卖盘
173,14:47:42,11.43,--,32,36576,买盘
174,14:47:39,11.43,0.01,68,77724,买盘
175,14:47:36,11.42,--,251,286642,卖盘
176,14:47:33,11.42,-0.01,12,13989,卖盘
177,14:47:27,11.43,0.01,45,51435,买盘
178,14:47:24,11.42,--,136,155312,卖盘
179,14:47:21,11.42,-0.01,81,92502,卖盘
180,14:47:18,11.43,0.01,46,52578,买盘
181,14:47:15,11.42,--,56,63952,卖盘
182,14:47:12,11.42,--,23,26266,卖盘
183,14:47:09,11.42,--,63,71946,卖盘
184,14:47:06,11.42,--,28,31976,卖盘
185,14:47:03,11.42,-0.01,34,39113,卖盘
186,14:47:00,11.43,--,64,73152,买盘
187,14:46:57,11.43,0.01,51,58293,买盘
188,14:46:54,11.42,--,2,2284,卖盘
189,14:46:51,11.42,-0.01,32,36544,卖盘
190,14:46:48,11.43,0.01,45,51435,买盘
191,14:46:45,11.42,-0.01,11,12847,卖盘
192,14:46:42,11.43,--,79,90297,买盘
193,14:46:39,11.43,--,351,401193,买盘
194,14:46:36,11.43,--,145,165735,买盘
195,14:46:33,11.43,0.01,724,827532,买盘
196,14:46:30,11.42,-0.01,336,383712,卖盘
197,14:46:27,11.43,0.01,87,99441,买盘
198,14:46:24,11.42,--,131,149602,卖盘
199,14:46:21,11.42,--,11,12562,卖盘
200,14:46:18,11.42,-0.01,42,47964,卖盘
201,14:46:15,11.43,0.01,19,21717,买盘
202,14:46:12,11.42,-0.01,4,4568,卖盘
203,14:46:09,11.43,0.01,2,2286,买盘
204,14:46:06,11.42,--,18,20556,卖盘
205,14:46:03,11.42,0.01,33,37686,买盘
206,14:45:57,11.41,-0.01,1,1141,卖盘
207,14:45:54,11.42,0.01,11,12562,中性盘
208,14:45:51,11.41,-0.02,83,94703,卖盘
209,14:45:48,11.43,0.02,10,11430,买盘
210,14:45:45,11.41,-0.02,204,232764,卖盘
211,14:45:39,11.43,0.01,12,13716,买盘
212,14:45:33,11.42,--,39,44823,买盘
213,14:45:30,11.42,--,326,372292,买盘
214,14:45:27,11.42,-0.01,295,337746,卖盘
215,14:45:24,11.43,--,26,29718,卖盘
216,14:45:21,11.43,0.01,714,816387,买盘
217,14:45:15,11.42,0.01,2,2284,买盘
218,14:45:12,11.41,--,67,76447,卖盘
219,14:45:09,11.41,-0.01,50,57050,卖盘
220,14:45:06,11.42,--,18,20556,买盘
221,14:45:03,11.42,--,4,4568,卖盘
222,14:45:00,11.42,--,62,70804,卖盘
223,14:44:57,11.42,0.01,161,183862,买盘
224,14:44:54,11.41,--,14,15974,卖盘
225,14:44:51,11.41,-0.01,14,16259,卖盘
226,14:44:48,11.42,-0.01,1,1142,中性盘
227,14:44:45,11.43,0.02,68,77724,买盘
228,14:44:42,11.41,-0.01,86,98126,卖盘
229,14:44:39,11.42,-0.01,15,18043,卖盘
230,14:44:36,11.43,0.02,828,946632,买盘
231,14:44:33,11.41,--,1,1141,卖盘
232,14:44:30,11.41,-0.01,615,701715,卖盘
233,14:44:27,11.42,--,13,15131,卖盘
234,14:44:24,11.42,--,4,4568,卖盘
235,14:44:21,11.42,--,1,1142,卖盘
236,14:44:18,11.42,--,5,5995,卖盘
237,14:44:12,11.42,-0.01,86,98212,卖盘
238,14:44:09,11.43,--,219,250317,买盘
239,14:44:06,11.43,0.01,27,30861,买盘
240,14:44:03,11.42,-0.01,2,2284,卖盘
241,14:44:00,11.43,0.01,10,11430,买盘
242,14:43:57,11.42,--,2,2284,卖盘
243,14:43:54,11.42,--,1,1142,卖盘
244,14:43:51,11.42,--,7,7994,卖盘
245,14:43:39,11.42,--,5,5995,卖盘
246,14:43:36,11.42,--,24,27408,买盘
247,14:43:30,11.42,-0.01,182,208700,卖盘
248,14:43:27,11.43,--,64,73152,卖盘
249,14:43:24,11.43,0.01,29,33147,中性盘
250,14:43:21,11.42,-0.01,720,822240,卖盘
251,14:43:15,11.43,--,35,40005,卖盘
252,14:43:12,11.43,--,9,10287,卖盘
253,14:43:09,11.43,--,7,8286,卖盘
254,14:43:06,11.43,0.02,55,62865,买盘
255,14:43:03,11.41,-0.02,1419,1619079,卖盘
256,14:43:00,11.43,0.01,6,6858,买盘
257,14:42:57,11.42,-0.01,21,23982,卖盘
258,14:42:54,11.43,0.01,70,80010,买盘
259,14:42:51,11.42,-0.01,459,524178,卖盘
260,14:42:48,11.43,--,108,123444,卖盘
261,14:42:45,11.43,-0.01,36,41148,卖盘
262,14:42:42,11.44,0.01,110,125840,买盘
263,14:42:39,11.43,--,207,236886,买盘
264,14:42:36,11.43,--,20,22860,买盘
265,14:42:33,11.43,0.01,18,20574,买盘
266,14:42:30,11.42,-0.01,15,17130,卖盘
267,14:42:27,11.43,0.01,120,137160,买盘
268,14:42:24,11.42,--,50,57100,卖盘
269,14:42:21,11.42,--,128,146176,卖盘
270,14:42:18,11.42,-0.01,165,188430,卖盘
271,14:42:15,11.43,--,9,10572,卖盘
272,14:42:12,11.43,--,109,124587,卖盘
273,14:42:09,11.43,--,15,17145,卖盘
274,14:42:06,11.43,--,124,141732,卖盘
275,14:42:03,11.43,--,54,61722,卖盘
276,14:42:00,11.43,--,102,116586,卖盘
277,14:41:57,11.43,--,28,32004,卖盘
278,14:41:54,11.43,0.01,100,114300,买盘
279,14:41:51,11.42,--,53,60526,卖盘
280,14:41:45,11.42,--,20,22840,卖盘
281,14:41:42,11.42,--,15,17415,卖盘
282,14:41:39,11.42,--,106,121052,卖盘
283,14:41:36,11.42,0.01,6,6852,卖盘
284,14:41:33,11.41,-0.02,51,58191,卖盘
285,14:41:30,11.43,0.01,75,85725,买盘
286,14:41:24,11.42,-0.01,476,543592,卖盘
287,14:41:21,11.43,--,146,166878,卖盘
288,14:41:18,11.43,--,42,48006,卖盘
289,14:41:15,11.43,0.02,147,168021,买盘
290,14:41:12,11.41,-0.02,27,31092,卖盘
291,14:41:09,11.43,0.01,106,121158,买盘
292,14:41:06,11.42,--,441,504672,卖盘
293,14:41:03,11.42,--,429,489918,卖盘
294,14:41:00,11.42,-0.01,231,263802,卖盘
295,14:40:57,11.43,0.01,285,325755,买盘
296,14:40:54,11.42,--,46,52532,卖盘
297,14:40:51,11.42,--,291,332322,卖盘
298,14:40:48,11.42,-0.01,12,13704,卖盘
299,14:40:45,11.43,--,102,116586,买盘
300,14:40:42,11.43,0.01,814,930687,买盘
301,14:40:39,11.42,--,50,57100,卖盘
302,14:40:36,11.42,--,68,77656,卖盘
303,14:40:33,11.42,--,5,5710,卖盘
304,14:40:30,11.42,--,66,75372,卖盘
305,14:40:27,11.42,--,29,33118,卖盘
306,14:40:24,11.42,0.01,282,322786,买盘
307,14:40:21,11.41,--,41,46781,卖盘
308,14:40:18,11.41,0.01,47,53627,中性盘
309,14:40:12,11.4,-0.01,123,140220,卖盘
310,14:40:09,11.41,--,40,45925,卖盘
311,14:40:06,11.41,--,8,9128,卖盘
312,14:40:03,11.41,-0.01,41,46781,卖盘
313,14:40:00,11.42,0.01,25,28550,买盘
314,14:39:57,11.41,--,1,1141,卖盘
315,14:39:54,11.41,--,44,50204,卖盘
316,14:39:51,11.41,--,18,20538,卖盘
317,14:39:48,11.41,-0.01,169,193114,卖盘
318,14:39:45,11.42,0.01,468,534456,买盘
319,14:39:42,11.41,--,15,17115,卖盘
320,14:39:39,11.41,-0.01,207,236187,卖盘
321,14:39:36,11.42,0.01,71,81082,买盘
322,14:39:33,11.41,--,4,4564,卖盘
323,14:39:30,11.41,--,53,60473,卖盘
324,14:39:24,11.41,--,10,11410,卖盘
325,14:39:21,11.41,--,109,124369,卖盘
326,14:39:15,11.41,0.01,2,2282,中性盘
327,14:39:12,11.4,--,23,26220,卖盘
328,14:39:09,11.4,--,65,74100,卖盘
329,14:39:06,11.4,-0.01,81,92340,卖盘
330,14:39:03,11.41,--,16,18256,买盘
331,14:38:57,11.41,0.01,84,95844,买盘
332,14:38:54,11.4,--,2,2280,卖盘
333,14:38:51,11.4,-0.01,12,13680,中性盘
334,14:38:48,11.41,--,35,39935,卖盘
335,14:38:45,11.41,0.01,77,87857,买盘
336,14:38:42,11.4,--,78,88920,买盘
337,14:38:39,11.4,0.01,20,22800,中性盘
338,14:38:36,11.39,-0.01,111,126429,卖盘
339,14:38:33,11.4,--,7,8926,买盘
340,14:38:30,11.4,--,69,78660,买盘
341,14:38:27,11.4,-0.02,658,750313,卖盘
342,14:38:24,11.42,0.01,200,228400,买盘
343,14:38:21,11.41,--,121,138061,卖盘
344,14:38:18,11.41,-0.01,10,11410,卖盘
345,14:38:15,11.42,0.01,65,74230,买盘
346,14:38:12,11.41,-0.01,4,4564,卖盘
347,14:38:09,11.42,--,88,100496,买盘
348,14:38:06,11.42,0.01,777,887334,买盘
349,14:38:03,11.41,0.01,11,12551,买盘
350,14:38:00,11.4,-0.01,591,673740,卖盘
351,14:37:57,11.41,-0.01,98,111818,卖盘
352,14:37:54,11.42,0.01,47,53674,买盘
353,14:37:51,11.41,-0.01,3,3423,卖盘
354,14:37:48,11.42,--,132,150744,买盘
355,14:37:45,11.42,--,38,43396,买盘
356,14:37:42,11.42,0.01,30,34260,买盘
357,14:37:39,11.41,--,79,90139,卖盘
358,14:37:36,11.41,-0.01,85,96985,卖盘
359,14:37:33,11.42,0.01,70,79940,买盘
360,14:37:30,11.41,--,80,91280,卖盘
361,14:37:27,11.41,-0.01,15,17115,卖盘
362,14:37:24,11.42,0.01,100,114200,买盘
363,14:37:21,11.41,--,27,30807,卖盘
364,14:37:18,11.41,--,52,59332,买盘
365,14:37:15,11.41,--,42,47922,卖盘
366,14:37:12,11.41,--,19,21679,卖盘
367,14:37:09,11.41,-0.01,4,4564,中性盘
368,14:37:06,11.42,0.01,109,124478,买盘
369,14:37:03,11.41,0.01,3,4370,中性盘
370,14:37:00,11.4,-0.02,853,972420,卖盘
371,14:36:57,11.42,0.01,59,67378,买盘
372,14:36:54,11.41,--,14,15974,卖盘
373,14:36:51,11.41,--,34,38794,卖盘
374,14:36:45,11.41,0.01,70,79870,卖盘
375,14:36:42,11.4,-0.02,15,17100,卖盘
376,14:36:39,11.42,0.02,135,154170,买盘
377,14:36:36,11.4,-0.01,140,159600,卖盘
378,14:36:33,11.41,-0.01,64,73024,买盘
379,14:36:30,11.42,0.01,5,5710,买盘
380,14:36:27,11.41,-0.01,12,13692,中性盘
