,time,price,change,volume,amount,type
0,15:00:03,11.42,--,675,770850,买盘
1,14:57:00,11.42,--,157,179294,买盘
2,14:56:51,11.42,--,33,37686,买盘
3,14:56:48,11.42,0.01,102,116484,买盘
4,14:56:42,11.41,--,17,19397,卖盘
5,14:56:33,11.41,-0.01,12,13692,卖盘
6,14:56:30,11.42,0.01,100,114200,买盘
7,14:56:27,11.41,-0.01,7,7987,卖盘
8,14:56:21,11.42,--,50,57100,买盘
9,14:56:15,11.42,0.01,60,68520,买盘
10,14:56:09,11.41,--,41,46781,卖盘
11,14:56:06,11.41,--,65,74165,卖盘
12,14:56:03,11.41,--,29,33089,卖盘
13,14:55:54,11.41,-0.01,60,68460,卖盘
14,14:55:51,11.42,0.01,180,205560,买盘
15,14:55:45,11.41,--,306,349146,卖盘
16,14:55:42,11.41,--,5,5705,卖盘
17,14:55:39,11.41,--,10,11410,卖盘
18,14:55:36,11.41,--,17,19397,卖盘
19,14:55:33,11.41,-0.01,29,33089,卖盘
20,14:55:30,11.42,0.01,85,97070,买盘
21,14:55:24,11.41,-0.01,133,151753,卖盘
22,14:55:21,11.42,0.01,5,5710,买盘
23,14:55:18,11.41,--,66,75306,卖盘
24,14:55:12,11.41,--,13,14833,卖盘
25,14:55:09,11.41,--,10,11410,卖盘
26,14:55:06,11.41,-0.01,25,28525,卖盘
27,14:55:03,11.42,0.01,20,22840,买盘
28,14:55:00,11.41,-0.01,2,2282,卖盘
29,14:54:57,11.42,--,29,33118,买盘
30,14:54:51,11.42,0.01,253,288926,买盘
31,14:54:48,11.41,-0.01,74,84434,卖盘
32,14:54:45,11.42,0.01,25,28550,买盘
33,14:54:42,11.41,--,1,1141,卖盘
34,14:54:33,11.41,-0.01,1,1141,卖盘
35,14:54:30,11.42,0.01,4,4568,买盘
36,14:54:27,11.41,--,42,47922,卖盘
37,14:54:24,11.41,-0.01,20,22820,卖盘
38,14:54:15,11.42,0.01,431,492202,买盘
39,14:54:12,11.41,-0.01,3,3423,卖盘
40,14:54:09,11.42,--,10,11420,买盘
41,14:54:06,11.42,0.01,10,11420,买盘
42,14:54:03,11.41,-0.01,2,2282,卖盘
43,14:53:57,11.42,--,70,79940,买盘
44,14:53:54,11.42,--,5,5710,买盘
45,14:53:51,11.42,--,4,4568,买盘
46,14:53:48,11.42,--,59,67378,买盘
47,14:53:45,11.42,0.01,146,166732,买盘
48,14:53:42,11.41,--,87,99267,卖盘
49,14:53:36,11.41,-0.01,10,11410,卖盘
50,14:53:33,11.42,--,1,1142,买盘
51,14:53:27,11.42,0.01,4,4568,买盘
52,14:53:24,11.41,-0.01,13,14833,卖盘
53,14:53:18,11.42,0.01,440,502480,买盘
54,14:53:15,11.41,--,2,2282,卖盘
55,14:53:12,11.41,--,5,5705,卖盘
56,14:53:03,11.41,-0.01,3,3423,卖盘
57,14:53:00,11.42,--,10,11420,买盘
58,14:52:54,11.42,--,50,57100,买盘
59,14:52:51,11.42,--,335,382570,买盘
60,14:52:48,11.42,0.01,1,1142,买盘
61,14:52:45,11.41,-0.01,3,3423,卖盘
62,14:52:42,11.42,-0.01,21,23982,买盘
63,14:52:36,11.43,0.02,5,5715,买盘
64,14:52:30,11.41,-0.01,337,384517,卖盘
65,14:52:27,11.42,--,4,4568,卖盘
66,14:52:24,11.42,--,14,15988,卖盘
67,14:52:15,11.42,--,40,45680,卖盘
68,14:52:12,11.42,--,2,2284,卖盘
69,14:52:09,11.42,-0.01,31,35402,买盘
70,14:52:06,11.43,0.02,38,44005,买盘
71,14:52:03,11.41,-0.01,142,162022,卖盘
72,14:52:00,11.42,--,25,28550,买盘
73,14:51:57,11.42,0.01,117,133614,买盘
74,14:51:54,11.41,--,20,22820,卖盘
75,14:51:51,11.41,-0.01,154,175714,卖盘
76,14:51:48,11.42,0.01,55,62810,买盘
77,14:51:45,11.41,--,154,175714,卖盘
78,14:51:42,11.41,--,11,12551,卖盘
79,14:51:39,11.41,-0.01,79,90139,卖盘
80,14:51:36,11.42,--,2,2284,买盘
81,14:51:33,11.42,--,41,46822,买盘
82,14:51:30,11.42,--,101,115342,买盘
83,14:51:27,11.42,--,40,45680,买盘
84,14:51:24,11.42,--,7,7994,买盘
85,14:51:18,11.42,--,63,71946,买盘
86,14:51:15,11.42,0.01,6,6852,买盘
87,14:51:09,11.41,-0.01,69,78729,卖盘
88,14:51:06,11.42,0.01,2,2284,买盘
89,14:51:00,11.41,--,11,12551,卖盘
90,14:50:57,11.41,-0.01,3,3423,卖盘
91,14:50:54,11.42,--,13,14846,买盘
92,14:50:51,11.42,0.01,7,7994,买盘
93,14:50:48,11.41,-0.01,1,1141,卖盘
94,14:50:45,11.42,0.01,16,18272,买盘
95,14:50:39,11.41,--,46,52486,卖盘
96,14:50:36,11.41,--,5,5705,卖盘
97,14:50:30,11.41,-0.01,3,3423,卖盘
98,14:50:27,11.42,--,18,20556,买盘
99,14:50:21,11.42,0.01,6,6852,买盘
100,14:50:18,11.41,-0.01,35,39935,卖盘
101,14:50:15,11.42,0.01,300,342600,买盘
102,14:50:09,11.41,--,3,3423,卖盘
103,14:50:06,11.41,--,211,240751,卖盘
104,14:50:03,11.41,--,12,13692,卖盘
105,14:49:57,11.41,--,19,21679,卖盘
106,14:49:54,11.41,--,3,3651,卖盘
107,14:49:51,11.41,-0.01,28,31948,卖盘
108,14:49:48,11.42,--,18,20556,买盘
109,14:49:45,11.42,--,10,11420,买盘
110,14:49:42,11.42,--,21,23982,买盘
111,14:49:39,11.42,--,15,17130,买盘
112,14:49:33,11.42,--,87,99354,买盘
113,14:49:27,11.42,--,11,12562,买盘
114,14:49:24,11.42,--,7,7994,买盘
115,14:49:21,11.42,0.01,116,132472,买盘
116,14:49:18,11.41,-0.01,21,23961,卖盘
117,14:49:15,11.42,0.01,231,263802,买盘
118,14:49:12,11.41,-0.01,25,28525,卖盘
119,14:49:09,11.42,0.01,6,6852,买盘
120,14:49:06,11.41,-0.01,25,28525,卖盘
121,14:49:03,11.42,--,1,1142,买盘
122,14:48:57,11.42,--,10,11420,买盘
123,14:48:54,11.42,--,59,67378,买盘
124,14:48:51,11.42,--,8,9136,买盘
125,14:48:48,11.42,0.01,1250,1427500,买盘
