,time,price,change,volume,amount,type
0,15:00:03,11.59,0.02,7654,8871820,买盘
1,14:57:00,11.57,--,21,24297,卖盘
2,14:56:57,11.57,-0.01,20,23140,卖盘
3,14:56:54,11.58,--,53,61374,买盘
4,14:56:51,11.58,0.01,115,133170,买盘
5,14:56:48,11.57,--,221,255697,卖盘
6,14:56:45,11.57,--,74,85618,卖盘
7,14:56:42,11.57,-0.01,67,77519,卖盘
8,14:56:39,11.58,--,1,1158,买盘
9,14:56:36,11.58,0.01,69,79902,买盘
10,14:56:33,11.57,--,75,86775,卖盘
11,14:56:30,11.57,-0.01,45,52065,卖盘
12,14:56:27,11.58,--,21,24318,买盘
13,14:56:24,11.58,--,21,24318,买盘
14,14:56:21,11.58,--,5,5790,买盘
15,14:56:18,11.58,0.01,23,26634,买盘
16,14:56:15,11.57,--,7,8099,卖盘
17,14:56:12,11.57,--,20,23140,卖盘
18,14:56:09,11.57,--,8,9256,卖盘
19,14:56:06,11.57,--,72,83304,卖盘
20,14:56:03,11.57,--,38,43966,卖盘
21,14:56:00,11.57,-0.01,300,347100,卖盘
22,14:55:54,11.58,--,325,376350,买盘
23,14:55:51,11.58,--,43,49794,买盘
24,14:55:48,11.58,--,86,100502,买盘
25,14:55:45,11.58,--,35,40530,买盘
26,14:55:42,11.58,--,60,69480,买盘
27,14:55:36,11.58,--,20,23160,买盘
28,14:55:33,11.58,--,59,68322,买盘
29,14:55:30,11.58,0.01,62,71796,买盘
30,14:55:27,11.57,-0.01,10,11570,卖盘
31,14:55:24,11.58,0.01,268,310344,买盘
32,14:55:21,11.57,-0.01,3,3471,卖盘
33,14:55:18,11.58,0.01,205,237390,买盘
34,14:55:15,11.57,-0.01,26,30082,卖盘
35,14:55:12,11.58,--,4,4632,买盘
36,14:55:09,11.58,0.01,2,2316,买盘
37,14:55:06,11.57,--,194,224458,卖盘
38,14:55:03,11.57,-0.01,6,6942,卖盘
39,14:55:00,11.58,--,59,68322,买盘
40,14:54:57,11.58,--,8,9264,买盘
41,14:54:54,11.58,0.01,17,19686,买盘
42,14:54:51,11.57,-0.01,13,15041,卖盘
43,14:54:48,11.58,0.01,11,12738,买盘
44,14:54:45,11.57,-0.01,130,150687,卖盘
