,time,price,change,volume,amount,type
0,15:00:03,7.42,0.01,8721,6471160,买盘
1,14:57:00,7.41,-0.01,304,225264,卖盘
2,14:56:57,7.42,--,47,34874,买盘
3,14:56:54,7.42,0.01,31,23002,买盘
4,14:56:51,7.41,-0.01,150,111150,卖盘
5,14:56:48,7.42,--,30,22260,买盘
6,14:56:45,7.42,--,355,263973,卖盘
7,14:56:42,7.42,-0.01,65,48230,卖盘
8,14:56:39,7.43,--,86,63898,买盘
9,14:56:36,7.43,--,231,171633,买盘
10,14:56:33,7.43,--,371,275653,买盘
11,14:56:30,7.43,--,3738,2777913,买盘
12,14:56:27,7.43,--,44,32692,买盘
13,14:56:24,7.43,--,69,51267,买盘
14,14:56:21,7.43,--,23,17089,买盘
15,14:56:18,7.43,--,233,173119,买盘
16,14:56:15,7.43,0.01,2,1486,买盘
17,14:56:12,7.42,--,31,23002,卖盘
18,14:56:09,7.42,--,42,31164,卖盘
19,14:56:06,7.42,--,627,465234,卖盘
20,14:56:03,7.42,--,30,22260,卖盘
21,14:56:00,7.42,-0.01,265,196630,卖盘
22,14:55:57,7.43,0.01,19,14117,买盘
23,14:55:54,7.42,--,40,29680,卖盘
24,14:55:51,7.42,-0.01,362,268604,卖盘
25,14:55:48,7.43,0.01,40,29720,买盘
26,14:55:45,7.42,-0.01,106,78652,卖盘
27,14:55:42,7.43,0.01,4,2972,买盘
28,14:55:39,7.42,--,50,37100,卖盘
29,14:55:33,7.42,-0.01,38,28196,卖盘
30,14:55:30,7.43,--,99,73557,买盘
31,14:55:24,7.43,--,20,14860,买盘
32,14:55:21,7.43,0.01,3,2229,买盘
33,14:55:18,7.42,-0.01,101,74942,卖盘
34,14:55:15,7.43,--,138,102534,买盘
35,14:55:12,7.43,--,390,289770,买盘
36,14:55:09,7.43,--,41,30463,买盘
37,14:55:06,7.43,0.01,17,12631,买盘
38,14:55:03,7.42,--,147,109074,卖盘
39,14:55:00,7.42,-0.01,24,17808,卖盘
40,14:54:57,7.43,--,17,12631,买盘
41,14:54:51,7.43,--,9,6687,买盘
42,14:54:48,7.43,--,5,3715,买盘
43,14:54:45,7.43,0.01,2,1486,买盘
44,14:54:42,7.42,-0.01,99,73458,卖盘
45,14:54:39,7.43,--,387,287541,买盘
46,14:54:36,7.43,--,50,37150,买盘
47,14:54:33,7.43,--,7,5201,买盘
48,14:54:30,7.43,--,189,140427,买盘
49,14:54:27,7.43,--,14,10402,卖盘
50,14:54:24,7.43,--,39,28977,买盘
51,14:54:21,7.43,--,118,87674,买盘
52,14:54:18,7.43,--,88,65384,买盘
53,14:54:15,7.43,-0.01,790,586970,卖盘
54,14:54:12,7.44,0.01,3,2232,买盘
55,14:54:09,7.43,-0.01,360,267480,卖盘
56,14:54:06,7.44,0.01,148,110112,买盘
57,14:54:03,7.43,--,251,186493,卖盘
58,14:53:54,7.43,--,74,54982,卖盘
59,14:53:51,7.43,--,55,40865,卖盘
60,14:53:48,7.43,--,64,47552,卖盘
61,14:53:45,7.43,--,8,5944,卖盘
62,14:53:42,7.43,--,20,14860,卖盘
63,14:53:39,7.43,--,116,86188,买盘
64,14:53:36,7.43,--,185,137455,买盘
65,14:53:30,7.43,--,16,11888,买盘
66,14:53:27,7.43,--,134,99562,卖盘
67,14:53:24,7.43,0.01,87,64641,买盘
68,14:53:21,7.42,--,26,19781,卖盘
69,14:53:18,7.42,-0.01,6,4452,卖盘
70,14:53:15,7.43,--,68,50524,买盘
71,14:53:12,7.43,0.01,8,5944,中性盘
72,14:53:09,7.42,-0.01,90,66780,卖盘
73,14:53:06,7.43,--,31,23033,中性盘
74,14:53:03,7.43,--,72,53496,卖盘
75,14:53:00,7.43,--,148,109964,买盘
76,14:52:57,7.43,0.01,54,40122,买盘
77,14:52:54,7.42,--,390,289380,卖盘
78,14:52:51,7.42,-0.01,107,79394,卖盘
79,14:52:48,7.43,--,92,68356,买盘
80,14:52:45,7.43,--,117,86931,买盘
81,14:52:42,7.43,--,43,31949,买盘
82,14:52:39,7.43,--,96,71328,买盘
83,14:52:36,7.43,--,114,84702,买盘
84,14:52:33,7.43,--,11,8173,买盘
85,14:52:30,7.43,--,341,253363,卖盘
86,14:52:27,7.43,-0.01,491,364813,卖盘
87,14:52:24,7.44,0.01,10,7440,买盘
88,14:52:21,7.43,--,318,236274,卖盘
89,14:52:18,7.43,--,21,15603,卖盘
90,14:52:15,7.43,-0.01,6,4458,卖盘
91,14:52:12,7.44,0.01,62,46128,买盘
92,14:52:09,7.43,--,120,89160,卖盘
93,14:52:06,7.43,-0.01,36,26748,卖盘
94,14:52:03,7.44,0.01,674,501456,买盘
95,14:52:00,7.43,--,91,67613,卖盘
96,14:51:57,7.43,-0.01,667,495581,卖盘
97,14:51:51,7.44,--,11,8184,买盘
98,14:51:48,7.44,0.01,56,41664,买盘
99,14:51:45,7.43,--,156,115908,卖盘
100,14:51:42,7.43,-0.01,70,52010,卖盘
101,14:51:39,7.44,--,15,11160,买盘
102,14:51:36,7.44,0.01,4,2976,买盘
103,14:51:33,7.43,-0.01,4,2972,卖盘
104,14:51:30,7.44,--,10,7440,买盘
105,14:51:27,7.44,--,5,3720,买盘
106,14:51:24,7.44,0.01,83,61752,买盘
107,14:51:21,7.43,--,21,15603,卖盘
108,14:51:18,7.43,-0.01,30,22290,卖盘
109,14:51:12,7.44,0.01,9,6696,买盘
110,14:51:09,7.43,--,17,12631,卖盘
111,14:51:06,7.43,--,128,95104,卖盘
112,14:51:03,7.43,--,30,22290,卖盘
113,14:51:00,7.43,--,166,123338,卖盘
114,14:50:54,7.43,--,20,14860,卖盘
115,14:50:51,7.43,-0.01,1309,972587,卖盘
116,14:50:48,7.44,0.01,433,322152,买盘
117,14:50:42,7.43,-0.01,240,178320,卖盘
118,14:50:39,7.44,0.01,829,616776,买盘
119,14:50:36,7.43,--,208,154544,卖盘
120,14:50:33,7.43,--,252,187236,卖盘
121,14:50:30,7.43,--,856,636008,卖盘
122,14:50:27,7.43,-0.01,41,30463,卖盘
123,14:50:24,7.44,0.01,27,20088,买盘
124,14:50:21,7.43,--,63,46809,卖盘
125,14:50:18,7.43,--,130,96590,卖盘
126,14:50:15,7.43,-0.01,131,97333,卖盘
127,14:50:12,7.44,0.01,46,34224,买盘
128,14:50:09,7.43,--,119,88417,卖盘
129,14:50:06,7.43,--,770,572110,卖盘
130,14:50:03,7.43,--,68,50524,卖盘
131,14:50:00,7.43,--,13,9659,卖盘
132,14:49:57,7.43,--,220,163460,卖盘
133,14:49:54,7.43,--,41,30463,卖盘
