,time,price,change,volume,amount,type
0,15:00:03,7.98,0.01,5331,4254138,买盘
1,14:57:00,7.97,-0.01,837,667089,卖盘
2,14:56:57,7.98,--,274,218652,卖盘
3,14:56:54,7.98,--,44,35112,中性盘
4,14:56:51,7.98,--,469,374333,买盘
5,14:56:48,7.98,--,1,798,买盘
6,14:56:45,7.98,--,10,7980,买盘
7,14:56:42,7.98,--,290,232146,卖盘
8,14:56:39,7.98,--,161,128478,卖盘
9,14:56:36,7.98,--,105,83790,卖盘
10,14:56:33,7.98,--,50,39900,卖盘
11,14:56:30,7.98,--,18,14364,卖盘
12,14:56:27,7.98,0.01,3890,3104291,买盘
13,14:56:24,7.97,--,655,522035,卖盘
14,14:56:21,7.97,--,210,167370,卖盘
15,14:56:18,7.97,--,1041,829677,卖盘
16,14:56:15,7.97,--,31,24707,卖盘
17,14:56:12,7.97,-0.01,51,40647,卖盘
18,14:56:09,7.98,--,161,128478,买盘
19,14:56:06,7.98,--,133,106134,买盘
20,14:56:03,7.98,--,1933,1542534,买盘
21,14:56:00,7.98,0.01,46,36708,买盘
22,14:55:57,7.97,-0.01,153,121941,卖盘
23,14:55:54,7.98,--,258,205884,买盘
24,14:55:51,7.98,0.01,160,127680,买盘
25,14:55:48,7.97,-0.01,58,46226,卖盘
26,14:55:45,7.98,--,631,503857,买盘
27,14:55:42,7.98,--,46,36708,买盘
28,14:55:39,7.98,0.01,2085,1663830,买盘
29,14:55:36,7.97,-0.01,30,23910,卖盘
30,14:55:33,7.98,--,518,413364,买盘
31,14:55:30,7.98,--,433,345534,买盘
32,14:55:27,7.98,0.01,71,56658,买盘
33,14:55:24,7.97,--,100,79700,卖盘
34,14:55:21,7.97,-0.01,32,25504,卖盘
35,14:55:18,7.98,--,60,47880,买盘
36,14:55:15,7.98,--,225,179550,买盘
37,14:55:12,7.98,--,820,654360,买盘
38,14:55:09,7.98,0.01,50,39900,买盘
39,14:55:06,7.97,-0.01,338,269386,卖盘
40,14:55:03,7.98,--,514,410172,买盘
41,14:55:00,7.98,--,86,68628,买盘
42,14:54:57,7.98,--,174,138852,买盘
43,14:54:54,7.98,--,188,150024,买盘
44,14:54:51,7.98,0.01,60,47880,买盘
45,14:54:48,7.97,-0.01,82,65354,卖盘
46,14:54:45,7.98,0.01,192,153216,买盘
47,14:54:42,7.97,-0.01,192,153024,卖盘
48,14:54:39,7.98,--,734,585732,买盘
49,14:54:36,7.98,0.01,45,35910,买盘
50,14:54:33,7.97,-0.01,141,112377,卖盘
51,14:54:30,7.98,0.01,183,146034,买盘
52,14:54:27,7.97,-0.01,111,88467,卖盘
53,14:54:24,7.98,0.01,50,39900,买盘
54,14:54:21,7.97,-0.01,33,26301,卖盘
55,14:54:18,7.98,0.01,55,43890,买盘
56,14:54:15,7.97,-0.01,291,231927,卖盘
57,14:54:09,7.98,--,53,42294,买盘
58,14:54:03,7.98,--,92,73416,买盘
59,14:54:00,7.98,0.01,184,146832,买盘
60,14:53:57,7.97,--,52,41444,卖盘
61,14:53:54,7.97,-0.01,145,115565,卖盘
62,14:53:51,7.98,0.01,68,54264,买盘
63,14:53:48,7.97,-0.01,11,8767,卖盘
64,14:53:45,7.98,--,10,7980,买盘
65,14:53:42,7.98,--,49,39102,买盘
66,14:53:39,7.98,0.01,20,15960,买盘
