,time,price,change,volume,amount,type
0,15:00:03,11.68,--,7366,8603488,买盘
1,14:57:00,11.68,0.01,82,95776,买盘
2,14:56:57,11.67,--,120,140040,卖盘
3,14:56:54,11.67,-0.01,75,87525,卖盘
4,14:56:51,11.68,--,309,361239,买盘
5,14:56:48,11.68,--,45,52560,买盘
6,14:56:45,11.68,--,114,133152,买盘
7,14:56:39,11.68,--,300,350400,卖盘
8,14:56:36,11.68,--,187,218416,卖盘
9,14:56:33,11.68,--,94,109792,卖盘
10,14:56:30,11.68,--,18,21024,卖盘
11,14:56:27,11.68,--,6,7008,卖盘
12,14:56:24,11.68,--,342,399456,卖盘
13,14:56:21,11.68,0.01,247,288496,买盘
14,14:56:18,11.67,-0.01,36,42012,卖盘
15,14:56:15,11.68,--,34,39712,卖盘
16,14:56:12,11.68,--,44,51392,买盘
17,14:56:09,11.68,--,68,79424,买盘
18,14:56:06,11.68,0.01,85,99280,买盘
19,14:56:03,11.67,-0.02,111,130167,卖盘
20,14:56:00,11.69,0.02,85,99365,买盘
21,14:55:57,11.67,-0.01,165,192660,卖盘
22,14:55:54,11.68,--,70,81760,卖盘
23,14:55:51,11.68,0.01,254,297734,买盘
24,14:55:48,11.67,--,23,26841,买盘
25,14:55:45,11.67,0.01,88,102696,买盘
26,14:55:42,11.66,-0.01,837,975942,卖盘
27,14:55:39,11.67,--,182,213000,买盘
28,14:55:36,11.67,--,58,67767,卖盘
29,14:55:33,11.67,-0.01,981,1144827,卖盘
30,14:55:30,11.68,--,261,305268,买盘
31,14:55:27,11.68,0.01,51,59568,买盘
32,14:55:24,11.67,-0.01,162,189054,卖盘
33,14:55:21,11.68,0.01,81,95273,买盘
34,14:55:18,11.67,--,41,47847,卖盘
35,14:55:15,11.67,--,151,176217,卖盘
36,14:55:12,11.67,--,36,42012,卖盘
37,14:55:09,11.67,--,50,58350,卖盘
38,14:55:06,11.67,--,103,120936,卖盘
39,14:55:03,11.67,--,305,356506,卖盘
40,14:55:00,11.67,-0.01,91,106197,卖盘
41,14:54:57,11.68,--,227,265136,买盘
42,14:54:54,11.68,0.01,83,97434,买盘
43,14:54:51,11.67,--,43,50181,卖盘
44,14:54:48,11.67,-0.01,183,213561,卖盘
45,14:54:45,11.68,--,143,167619,买盘
46,14:54:42,11.68,0.01,255,297840,买盘
47,14:54:39,11.67,-0.01,83,97479,卖盘
48,14:54:36,11.68,0.01,5,5840,买盘
49,14:54:33,11.67,-0.02,353,411951,卖盘
50,14:54:30,11.69,0.01,20,23380,买盘
51,14:54:27,11.68,--,170,198560,卖盘
52,14:54:24,11.68,--,10,11680,卖盘
53,14:54:21,11.68,--,11,12848,卖盘
54,14:54:18,11.68,--,185,216080,买盘
55,14:54:15,11.68,--,49,57232,买盘
56,14:54:12,11.68,0.01,9,10512,买盘
57,14:54:09,11.67,-0.01,337,393279,卖盘
58,14:54:06,11.68,0.01,118,137824,买盘
59,14:54:03,11.67,--,251,292917,卖盘
60,14:54:00,11.67,--,40,46680,卖盘
61,14:53:57,11.67,-0.01,276,322092,卖盘
62,14:53:54,11.68,--,76,88768,买盘
63,14:53:51,11.68,--,96,112128,买盘
64,14:53:48,11.68,--,71,82928,买盘
65,14:53:45,11.68,--,51,60058,买盘
66,14:53:42,11.68,-0.01,300,351229,卖盘
67,14:53:39,11.69,0.01,112,132003,买盘
68,14:53:36,11.68,-0.01,100,116800,卖盘
69,14:53:33,11.69,0.01,88,103304,买盘
70,14:53:30,11.68,--,97,113296,卖盘
71,14:53:27,11.68,--,31,36208,卖盘
72,14:53:24,11.68,--,58,67744,卖盘
73,14:53:18,11.68,--,4,4672,卖盘
74,14:53:15,11.68,--,11,12848,卖盘
75,14:53:12,11.68,-0.01,73,85264,卖盘
76,14:53:09,11.69,--,159,185871,买盘
77,14:53:06,11.69,0.03,53,61957,买盘
78,14:53:03,11.66,--,1,1166,卖盘
79,14:53:00,11.66,-0.02,549,640134,卖盘
80,14:52:57,11.68,0.02,43,50224,中性盘
81,14:52:54,11.66,-0.02,302,352132,卖盘
82,14:52:51,11.68,-0.01,10,11680,卖盘
83,14:52:48,11.69,-0.01,148,173012,中性盘
84,14:52:45,11.7,0.02,1813,2121210,买盘
85,14:52:42,11.68,-0.01,156,182208,卖盘
86,14:52:39,11.69,--,124,144956,买盘
87,14:52:36,11.69,--,110,128590,买盘
88,14:52:33,11.69,--,215,251335,买盘
89,14:52:30,11.69,--,192,224448,买盘
90,14:52:27,11.69,--,57,66633,买盘
91,14:52:24,11.69,--,49,57281,买盘
92,14:52:21,11.69,--,188,220321,买盘
93,14:52:18,11.69,--,24,28056,买盘
94,14:52:15,11.69,--,38,44422,买盘
95,14:52:12,11.69,0.01,71,83875,中性盘
96,14:52:09,11.68,-0.01,100,116800,卖盘
97,14:52:06,11.69,-0.01,35,41780,卖盘
98,14:52:03,11.7,--,20,23400,买盘
99,14:52:00,11.7,--,133,155610,买盘
100,14:51:57,11.7,--,50,59108,买盘
101,14:51:54,11.7,--,3044,3561480,买盘
102,14:51:51,11.7,--,36,42120,买盘
103,14:51:48,11.7,--,232,272083,卖盘
104,14:51:45,11.7,--,224,262079,卖盘
105,14:51:42,11.7,--,10,11700,卖盘
106,14:51:39,11.7,-0.01,15,17550,卖盘
107,14:51:36,11.71,0.01,1,1171,买盘
108,14:51:33,11.7,0.01,202,236866,买盘
109,14:51:30,11.69,-0.01,46,53774,卖盘
110,14:51:27,11.7,--,68,79969,卖盘
111,14:51:24,11.7,--,42,49140,卖盘
112,14:51:21,11.7,--,41,47970,卖盘
113,14:51:18,11.7,--,3,3510,卖盘
114,14:51:15,11.7,--,32,37440,卖盘
115,14:51:12,11.7,--,94,110740,买盘
116,14:51:09,11.7,--,29,33930,买盘
117,14:51:06,11.7,--,34,39780,买盘
118,14:51:03,11.7,--,511,597870,买盘
119,14:51:00,11.7,0.01,16,18720,买盘
120,14:50:57,11.69,-0.01,237,277497,卖盘
121,14:50:54,11.7,0.01,20,23400,买盘
122,14:50:51,11.69,--,86,100966,卖盘
123,14:50:48,11.69,-0.01,71,82999,卖盘
124,14:50:45,11.7,0.01,67,78705,买盘
125,14:50:42,11.69,--,211,246659,卖盘
126,14:50:39,11.69,-0.01,145,169505,卖盘
127,14:50:36,11.7,--,70,82344,买盘
128,14:50:33,11.7,0.01,942,1102140,买盘
129,14:50:30,11.69,--,35,40985,卖盘
130,14:50:27,11.69,--,32,38144,卖盘
131,14:50:24,11.69,--,25,29225,卖盘
132,14:50:21,11.69,--,47,55293,卖盘
133,14:50:18,11.69,-0.01,30,35070,卖盘
134,14:50:15,11.7,--,156,182520,买盘
135,14:50:12,11.7,--,4,4680,买盘
136,14:50:09,11.7,-0.02,560,655609,卖盘
137,14:50:06,11.72,0.01,251,294172,买盘
138,14:50:03,11.71,--,44,51524,卖盘
139,14:50:00,11.71,-0.01,561,657387,卖盘
140,14:49:57,11.72,--,22,25784,买盘
141,14:49:54,11.72,--,147,172975,买盘
142,14:49:51,11.72,0.01,24,28128,买盘
143,14:49:48,11.71,--,13,15223,卖盘
144,14:49:45,11.71,-0.01,55,64615,卖盘
145,14:49:42,11.72,--,95,111340,买盘
146,14:49:39,11.72,0.01,11,12892,买盘
147,14:49:36,11.71,--,15,17565,卖盘
148,14:49:33,11.71,--,131,153401,卖盘
149,14:49:30,11.71,--,67,78457,卖盘
150,14:49:27,11.71,0.01,544,637726,买盘
151,14:49:24,11.7,-0.01,130,152860,卖盘
152,14:49:21,11.71,--,37,43327,买盘
153,14:49:18,11.71,--,223,261133,买盘
154,14:49:15,11.71,0.01,356,416876,买盘
155,14:49:12,11.7,--,44,51480,卖盘
156,14:49:09,11.7,--,1,1170,卖盘
157,14:49:06,11.7,--,10,11700,卖盘
158,14:49:00,11.7,--,128,149760,卖盘
159,14:48:57,11.7,--,7,8189,卖盘
160,14:48:54,11.7,0.01,310,362700,买盘
161,14:48:51,11.69,-0.01,47,55924,卖盘
162,14:48:48,11.7,--,229,267930,买盘
163,14:48:45,11.7,0.01,158,185211,买盘
164,14:48:42,11.69,-0.01,18,21042,卖盘
165,14:48:39,11.7,--,189,221130,买盘
166,14:48:36,11.7,0.01,412,482039,买盘
167,14:48:33,11.69,-0.01,118,138070,卖盘
168,14:48:30,11.7,--,245,286650,买盘
169,14:48:27,11.7,--,13,15209,买盘
170,14:48:24,11.7,--,42,49140,买盘
171,14:48:21,11.7,-0.01,756,885093,卖盘
172,14:48:15,11.71,--,68,79709,卖盘
173,14:48:12,11.71,--,93,108903,卖盘
174,14:48:09,11.71,--,4,4684,卖盘
175,14:48:06,11.71,--,182,213461,买盘
176,14:48:03,11.71,0.01,50,58550,买盘
177,14:48:00,11.7,-0.01,80,93600,卖盘
178,14:47:57,11.71,--,69,80834,买盘
179,14:47:54,11.71,--,42,49182,买盘
180,14:47:51,11.71,0.01,66,77286,买盘
181,14:47:48,11.7,-0.01,21,24710,卖盘
182,14:47:45,11.71,0.01,44,51524,买盘
183,14:47:42,11.7,-0.01,479,560430,卖盘
184,14:47:39,11.71,0.01,2,2342,买盘
185,14:47:36,11.7,--,131,153270,卖盘
186,14:47:33,11.7,--,264,308880,买盘
187,14:47:30,11.7,--,50,58628,买盘
188,14:47:27,11.7,--,147,171990,买盘
189,14:47:24,11.7,--,108,126359,买盘
190,14:47:21,11.7,--,114,133380,买盘
191,14:47:18,11.7,--,53,62009,买盘
192,14:47:15,11.7,--,237,277360,买盘
193,14:47:12,11.7,--,80,93600,买盘
194,14:47:09,11.7,--,44,51480,买盘
195,14:47:06,11.7,--,145,170082,买盘
196,14:47:03,11.7,0.01,16,18720,买盘
197,14:47:00,11.69,--,56,65464,卖盘
198,14:46:57,11.69,--,118,138807,卖盘
199,14:46:54,11.69,--,14,16366,卖盘
200,14:46:51,11.69,--,55,64376,卖盘
201,14:46:48,11.69,--,5,5845,卖盘
202,14:46:45,11.69,--,957,1119235,卖盘
203,14:46:42,11.69,--,122,142618,卖盘
204,14:46:39,11.69,--,509,595021,卖盘
205,14:46:36,11.69,--,387,452905,卖盘
206,14:46:33,11.69,-0.01,19,22211,卖盘
207,14:46:30,11.7,0.01,133,155610,买盘
208,14:46:27,11.69,-0.01,33,38658,卖盘
209,14:46:24,11.7,--,6,7020,买盘
210,14:46:21,11.7,0.01,48,56885,买盘
211,14:46:18,11.69,--,78,91182,卖盘
212,14:46:15,11.69,-0.01,128,149748,卖盘
213,14:46:12,11.7,--,71,83070,买盘
214,14:46:09,11.7,--,85,99450,买盘
215,14:46:06,11.7,0.01,143,167310,买盘
216,14:46:03,11.69,-0.01,5,5845,卖盘
217,14:46:00,11.7,0.01,10,11700,买盘
218,14:45:57,11.69,-0.01,23,26887,卖盘
219,14:45:54,11.7,--,89,104130,买盘
220,14:45:51,11.7,0.01,45,52650,买盘
221,14:45:48,11.69,--,2,2338,卖盘
222,14:45:45,11.69,--,257,300433,买盘
223,14:45:42,11.69,--,100,116900,买盘
224,14:45:39,11.69,--,107,125083,买盘
225,14:45:36,11.69,0.01,53,61957,买盘
226,14:45:33,11.68,-0.01,73,85264,卖盘
227,14:45:27,11.69,--,151,176519,买盘
228,14:45:24,11.69,0.01,776,907144,买盘
229,14:45:21,11.68,--,36,43052,卖盘
230,14:45:18,11.68,-0.01,162,189216,卖盘
231,14:45:15,11.69,--,10,11690,买盘
232,14:45:12,11.69,0.01,12,14028,买盘
233,14:45:09,11.68,--,43,50224,卖盘
234,14:45:06,11.68,--,58,67744,卖盘
235,14:45:03,11.68,--,50,58400,卖盘
236,14:45:00,11.68,-0.01,104,121472,卖盘
237,14:44:57,11.69,--,26,30394,买盘
238,14:44:54,11.69,--,195,227955,卖盘
239,14:44:51,11.69,-0.01,95,111055,卖盘
240,14:44:48,11.7,--,84,98280,买盘
241,14:44:45,11.7,--,1116,1305720,卖盘
242,14:44:42,11.7,-0.01,364,425880,卖盘
243,14:44:39,11.71,--,82,96022,买盘
244,14:44:36,11.71,--,17,19907,买盘
