,time,price,change,volume,amount,type
0,15:00:03,6.63,--,14442,9575046,买盘
1,14:57:00,6.63,--,119,78897,买盘
2,14:56:57,6.63,--,141,93483,买盘
3,14:56:54,6.63,--,90,59670,买盘
4,14:56:51,6.63,-0.01,202,133926,卖盘
5,14:56:48,6.64,0.02,112,74368,买盘
6,14:56:45,6.62,-0.01,7226,4783612,卖盘
7,14:56:42,6.63,--,106,70278,卖盘
8,14:56:39,6.63,--,311,206193,卖盘
9,14:56:36,6.63,-0.01,35,23205,卖盘
10,14:56:33,6.64,0.01,2522,1674608,买盘
11,14:56:30,6.63,--,384,254592,买盘
12,14:56:27,6.63,--,1877,1244451,买盘
13,14:56:24,6.63,--,296,196248,买盘
14,14:56:21,6.63,--,654,433602,买盘
15,14:56:18,6.63,--,193,127959,买盘
16,14:56:15,6.63,--,390,258570,买盘
17,14:56:12,6.63,--,248,164424,买盘
18,14:56:09,6.63,--,195,129285,买盘
19,14:56:06,6.63,--,271,179673,买盘
20,14:56:03,6.63,--,102,67626,买盘
21,14:56:00,6.63,--,127,84201,买盘
22,14:55:57,6.63,--,996,660348,卖盘
23,14:55:54,6.63,-0.01,40,26520,卖盘
24,14:55:51,6.64,0.01,529,351256,买盘
25,14:55:48,6.63,--,98,64974,卖盘
26,14:55:45,6.63,--,30,19890,卖盘
27,14:55:42,6.63,-0.01,201,133263,卖盘
28,14:55:39,6.64,--,2,1328,买盘
29,14:55:36,6.64,0.01,79,52456,买盘
30,14:55:33,6.63,0.01,75,49725,中性盘
31,14:55:30,6.62,-0.02,429,283998,卖盘
32,14:55:27,6.64,0.01,10,6640,买盘
33,14:55:24,6.63,-0.01,295,195585,卖盘
34,14:55:21,6.64,0.01,55,36520,买盘
35,14:55:18,6.63,--,104,68952,买盘
36,14:55:15,6.63,--,246,163098,买盘
37,14:55:12,6.63,--,434,287742,买盘
38,14:55:09,6.63,--,237,157131,买盘
39,14:55:06,6.63,--,622,412386,买盘
40,14:55:03,6.63,--,1735,1150305,买盘
41,14:55:00,6.63,0.01,756,501228,买盘
42,14:54:57,6.62,-0.01,285,188670,卖盘
43,14:54:54,6.63,0.01,75,49725,买盘
44,14:54:51,6.62,-0.01,296,195952,卖盘
45,14:54:48,6.63,0.01,42,27846,买盘
46,14:54:45,6.62,-0.01,108,71496,卖盘
47,14:54:42,6.63,--,57,37791,买盘
48,14:54:39,6.63,--,439,291057,买盘
49,14:54:36,6.63,--,203,134589,买盘
50,14:54:33,6.63,--,63,41769,买盘
51,14:54:30,6.63,0.01,156,103428,买盘
52,14:54:27,6.62,-0.01,354,234348,卖盘
53,14:54:24,6.63,--,96,63648,买盘
54,14:54:21,6.63,0.01,287,190281,买盘
55,14:54:18,6.62,-0.01,37,24494,卖盘
56,14:54:15,6.63,--,404,267852,买盘
57,14:54:12,6.63,0.01,190,125970,买盘
58,14:54:09,6.62,-0.01,220,145640,卖盘
59,14:54:06,6.63,0.01,103,68289,买盘
60,14:54:03,6.62,--,1363,902306,卖盘
61,14:54:00,6.62,-0.01,114,75468,卖盘
62,14:53:57,6.63,0.01,122,80886,买盘
63,14:53:54,6.62,-0.01,167,110554,卖盘
64,14:53:51,6.63,--,1562,1035606,买盘
65,14:53:48,6.63,0.01,635,421005,买盘
66,14:53:45,6.62,-0.01,77,50974,卖盘
67,14:53:42,6.63,--,176,116688,买盘
68,14:53:39,6.63,--,110,72930,买盘
69,14:53:36,6.63,--,320,212160,买盘
70,14:53:33,6.63,--,97,64311,买盘
71,14:53:30,6.63,--,215,142545,买盘
72,14:53:27,6.63,--,56,37128,买盘
73,14:53:24,6.63,--,616,408408,卖盘
74,14:53:21,6.63,--,70,46410,卖盘
75,14:53:18,6.63,-0.01,48,31824,卖盘
76,14:53:15,6.64,0.01,31,20584,买盘
77,14:53:12,6.63,--,347,230061,买盘
78,14:53:09,6.63,--,267,177021,买盘
79,14:53:06,6.63,0.01,435,288405,买盘
80,14:53:03,6.62,-0.01,266,176092,卖盘
81,14:53:00,6.63,--,79,52377,买盘
82,14:52:57,6.63,--,270,179010,买盘
83,14:52:54,6.63,--,94,62322,买盘
84,14:52:51,6.63,--,766,508388,买盘
85,14:52:48,6.63,--,174,115362,买盘
86,14:52:45,6.63,-0.01,402,266526,卖盘
87,14:52:42,6.64,--,494,328016,买盘
88,14:52:39,6.64,--,85,56440,买盘
89,14:52:36,6.64,0.01,2512,1667968,买盘
90,14:52:33,6.63,--,120,79560,卖盘
91,14:52:30,6.63,-0.01,318,210834,卖盘
92,14:52:27,6.64,0.01,143,94952,买盘
93,14:52:24,6.63,-0.01,273,180999,卖盘
94,14:52:21,6.64,--,135,89640,买盘
95,14:52:18,6.64,0.01,54,35856,买盘
96,14:52:15,6.63,-0.01,10,6630,卖盘
97,14:52:12,6.64,--,163,108232,买盘
98,14:52:09,6.64,--,140,92960,买盘
99,14:52:06,6.64,0.01,390,258960,买盘
100,14:52:03,6.63,-0.01,542,359346,卖盘
101,14:52:00,6.64,0.01,105,69720,买盘
102,14:51:57,6.63,-0.01,131,86853,卖盘
103,14:51:54,6.64,0.01,605,401720,买盘
104,14:51:51,6.63,--,63,41769,卖盘
105,14:51:48,6.63,-0.01,1090,722670,卖盘
106,14:51:45,6.64,0.01,217,144088,买盘
107,14:51:42,6.63,--,3386,2244918,买盘
108,14:51:39,6.63,--,144,95472,买盘
109,14:51:36,6.63,--,460,304980,买盘
110,14:51:33,6.63,--,2,1326,买盘
111,14:51:30,6.63,--,435,288405,买盘
112,14:51:27,6.63,0.01,396,262548,买盘
113,14:51:24,6.62,-0.01,387,256194,卖盘
114,14:51:21,6.63,--,304,201552,买盘
115,14:51:18,6.63,0.01,77,51051,买盘
116,14:51:15,6.62,-0.01,33,21846,卖盘
117,14:51:12,6.63,--,356,236028,买盘
118,14:51:09,6.63,0.01,282,186966,买盘
119,14:51:06,6.62,-0.01,466,308492,卖盘
120,14:51:03,6.63,--,223,147849,买盘
121,14:51:00,6.63,--,2073,1374399,买盘
122,14:50:57,6.63,--,258,171146,买盘
123,14:50:54,6.63,0.01,138,91494,买盘
124,14:50:51,6.62,-0.01,151,99962,卖盘
125,14:50:48,6.63,--,91,60333,买盘
126,14:50:45,6.63,--,655,434265,买盘
127,14:50:42,6.63,--,77,51051,买盘
128,14:50:39,6.63,0.01,90,59670,买盘
129,14:50:36,6.62,-0.01,287,189994,卖盘
130,14:50:33,6.63,0.01,201,133263,买盘
131,14:50:30,6.62,--,108,71496,卖盘
132,14:50:27,6.62,--,20,13240,卖盘
133,14:50:24,6.62,--,1021,675902,卖盘
134,14:50:21,6.62,-0.01,91,60242,卖盘
135,14:50:18,6.63,0.01,10,6630,买盘
136,14:50:15,6.62,--,20,13240,卖盘
137,14:50:12,6.62,--,219,144978,买盘
138,14:50:09,6.62,--,240,158880,买盘
139,14:50:06,6.62,--,226,149612,买盘
140,14:50:03,6.62,--,78,51636,买盘
141,14:50:00,6.62,--,170,112540,买盘
142,14:49:57,6.62,--,230,152260,买盘
143,14:49:54,6.62,--,1713,1134006,卖盘
144,14:49:51,6.62,--,10,6620,卖盘
