,time,price,change,volume,amount,type
0,15:00:03,7.45,--,7749,5773005,买盘
1,14:57:00,7.45,0.01,221,164645,买盘
2,14:56:57,7.44,-0.01,417,310248,卖盘
3,14:56:54,7.45,--,402,299490,买盘
4,14:56:51,7.45,0.01,223,166135,买盘
5,14:56:48,7.44,-0.01,167,124248,卖盘
6,14:56:45,7.45,0.01,153,113985,买盘
7,14:56:42,7.44,--,107,79608,卖盘
8,14:56:39,7.44,-0.01,177,131688,卖盘
9,14:56:36,7.45,--,45,33525,买盘
10,14:56:33,7.45,0.01,49,36505,买盘
11,14:56:30,7.44,-0.01,35,26040,卖盘
12,14:56:27,7.45,0.01,68,50660,买盘
13,14:56:24,7.44,--,2,1488,卖盘
14,14:56:21,7.44,-0.01,216,160704,卖盘
15,14:56:18,7.45,0.01,434,323330,买盘
16,14:56:15,7.44,-0.01,196,145824,卖盘
17,14:56:12,7.45,0.01,317,236165,买盘
18,14:56:09,7.44,-0.01,83,61752,卖盘
19,14:56:06,7.45,--,786,585570,买盘
20,14:56:03,7.45,--,58,43210,买盘
21,14:56:00,7.45,--,176,131120,买盘
22,14:55:57,7.45,0.01,280,208600,买盘
23,14:55:54,7.44,-0.01,89,66216,卖盘
24,14:55:51,7.45,0.01,912,679440,买盘
25,14:55:48,7.44,-0.01,1393,1036392,卖盘
26,14:55:45,7.45,--,1496,1114520,买盘
27,14:55:42,7.45,0.01,136,101320,买盘
28,14:55:39,7.44,--,154,114576,卖盘
29,14:55:36,7.44,--,1090,810960,卖盘
30,14:55:33,7.44,-0.01,129,95976,卖盘
31,14:55:30,7.45,--,316,235420,买盘
32,14:55:27,7.45,0.01,1030,767350,买盘
33,14:55:24,7.44,-0.01,51,37944,卖盘
34,14:55:21,7.45,--,1000,745000,买盘
35,14:55:18,7.45,--,350,260750,买盘
36,14:55:15,7.45,--,53,39485,买盘
37,14:55:12,7.45,--,216,160920,买盘
38,14:55:09,7.45,--,56,41720,买盘
39,14:55:06,7.45,--,35,26075,买盘
40,14:55:03,7.45,0.01,346,257770,买盘
41,14:55:00,7.44,-0.01,146,108624,卖盘
42,14:54:57,7.45,--,85,63325,买盘
43,14:54:54,7.45,--,26,19370,买盘
44,14:54:51,7.45,--,110,81950,买盘
45,14:54:48,7.45,--,70,52150,买盘
46,14:54:45,7.45,--,165,122925,买盘
47,14:54:42,7.45,0.01,68,50660,买盘
48,14:54:39,7.44,--,189,140616,卖盘
49,14:54:36,7.44,-0.01,154,114576,卖盘
50,14:54:33,7.45,--,24,17880,买盘
51,14:54:30,7.45,0.01,93,69285,买盘
52,14:54:27,7.44,-0.01,745,554280,卖盘
53,14:54:24,7.45,--,270,201150,买盘
54,14:54:21,7.45,0.01,1303,970735,买盘
55,14:54:18,7.44,-0.01,136,101184,卖盘
56,14:54:15,7.45,0.01,28,20860,买盘
57,14:54:12,7.44,-0.01,225,167846,卖盘
58,14:54:09,7.45,--,128,95360,买盘
59,14:54:06,7.45,--,140,104300,买盘
60,14:54:03,7.45,--,99,73755,买盘
61,14:54:00,7.45,0.01,30,22350,买盘
62,14:53:57,7.44,-0.01,186,138384,卖盘
63,14:53:54,7.45,0.01,41,30545,买盘
64,14:53:51,7.44,--,108,80352,卖盘
65,14:53:48,7.44,--,358,266352,卖盘
66,14:53:45,7.44,-0.01,83,61752,卖盘
67,14:53:42,7.45,--,45,33525,买盘
68,14:53:39,7.45,--,336,250320,买盘
69,14:53:36,7.45,--,29,21605,买盘
70,14:53:33,7.45,0.01,591,440295,买盘
71,14:53:30,7.44,--,7,5208,卖盘
72,14:53:27,7.44,-0.01,113,84072,卖盘
73,14:53:24,7.45,0.01,12,8940,买盘
74,14:53:21,7.44,--,40,29760,卖盘
75,14:53:18,7.44,--,101,75553,买盘
76,14:53:15,7.44,--,1425,1060200,买盘
77,14:53:12,7.44,--,110,81840,买盘
78,14:53:09,7.44,--,2417,1798248,买盘
79,14:53:06,7.44,--,80,59520,买盘
80,14:53:03,7.44,--,125,93000,买盘
81,14:53:00,7.44,--,862,641328,买盘
82,14:52:57,7.44,--,90,66960,买盘
83,14:52:54,7.44,--,760,565440,买盘
84,14:52:51,7.44,--,190,141360,买盘
85,14:52:48,7.44,--,52,38688,买盘
86,14:52:45,7.44,--,14,10416,买盘
87,14:52:42,7.44,--,829,616776,买盘
88,14:52:39,7.44,--,127,94488,买盘
89,14:52:36,7.44,0.01,48,35712,买盘
90,14:52:33,7.43,--,20,14860,卖盘
91,14:52:30,7.43,--,2631,1954833,卖盘
92,14:52:27,7.43,--,54,40122,卖盘
93,14:52:24,7.43,-0.01,70,52010,卖盘
94,14:52:21,7.44,--,115,85560,买盘
95,14:52:18,7.44,--,27,20088,买盘
96,14:52:15,7.44,--,246,183024,买盘
97,14:52:12,7.44,--,47,34968,买盘
98,14:52:09,7.44,0.01,58,43152,买盘
99,14:52:06,7.43,--,10,7430,卖盘
100,14:52:03,7.43,-0.01,367,272681,卖盘
101,14:52:00,7.44,--,201,149544,买盘
102,14:51:57,7.44,0.01,1,744,买盘
103,14:51:54,7.43,-0.01,122,90646,卖盘
104,14:51:51,7.44,0.01,34,25296,买盘
105,14:51:48,7.43,-0.01,148,109964,卖盘
106,14:51:45,7.44,0.01,249,185256,买盘
107,14:51:42,7.43,-0.01,67,49781,卖盘
108,14:51:39,7.44,0.01,16,11904,买盘
109,14:51:36,7.43,--,188,139684,卖盘
110,14:51:33,7.43,-0.01,67,49781,卖盘
111,14:51:30,7.44,--,13,9672,买盘
112,14:51:24,7.44,0.01,289,215016,买盘
113,14:51:21,7.43,--,20,14860,卖盘
114,14:51:18,7.43,-0.01,76,56468,卖盘
115,14:51:15,7.44,--,47,34968,买盘
116,14:51:12,7.44,--,211,156984,买盘
117,14:51:09,7.44,--,41,30504,买盘
118,14:51:06,7.44,--,8,5952,买盘
119,14:51:03,7.44,--,193,143592,买盘
120,14:51:00,7.44,--,58,43152,买盘
121,14:50:57,7.44,--,105,78120,买盘
122,14:50:54,7.44,--,62,46128,买盘
123,14:50:51,7.44,--,85,63240,买盘
124,14:50:48,7.44,0.01,93,69192,买盘
125,14:50:45,7.43,-0.01,21,15603,卖盘
126,14:50:42,7.44,--,519,386136,买盘
127,14:50:39,7.44,0.01,49,36456,买盘
128,14:50:36,7.43,-0.01,362,268966,卖盘
129,14:50:33,7.44,--,157,116808,买盘
130,14:50:30,7.44,--,29,21576,买盘
131,14:50:27,7.44,--,165,122760,买盘
132,14:50:24,7.44,0.01,237,176328,买盘
133,14:50:21,7.43,-0.01,63,46809,卖盘
134,14:50:18,7.44,0.01,64,47616,买盘
135,14:50:15,7.43,--,4,2972,卖盘
136,14:50:12,7.43,-0.01,120,89160,卖盘
137,14:50:09,7.44,--,92,68448,买盘
138,14:50:06,7.44,--,5,3720,买盘
139,14:50:03,7.44,--,104,77376,买盘
140,14:50:00,7.44,--,82,61008,买盘
141,14:49:57,7.44,0.01,133,98952,买盘
142,14:49:54,7.43,-0.01,137,101791,卖盘
143,14:49:51,7.44,0.01,144,107136,买盘
144,14:49:48,7.43,-0.01,175,130025,卖盘
145,14:49:45,7.44,0.01,389,289416,买盘
146,14:49:42,7.43,-0.01,61,45323,卖盘
147,14:49:39,7.44,--,157,116808,买盘
148,14:49:36,7.44,0.01,35,26040,买盘
149,14:49:33,7.43,-0.01,541,401963,卖盘
150,14:49:30,7.44,--,14,10416,买盘
151,14:49:27,7.44,--,69,51336,买盘
152,14:49:24,7.44,--,21,15624,买盘
153,14:49:21,7.44,--,23,17112,买盘
154,14:49:18,7.44,--,18,13392,买盘
155,14:49:15,7.44,0.01,29,21576,买盘
156,14:49:12,7.43,--,413,306859,卖盘
157,14:49:09,7.43,--,70,52010,卖盘
158,14:49:06,7.43,-0.01,50,37150,卖盘
159,14:49:03,7.44,--,82,61008,买盘
160,14:49:00,7.44,--,85,63240,买盘
161,14:48:57,7.44,0.01,158,117552,买盘
162,14:48:54,7.43,-0.01,1269,942867,卖盘
163,14:48:51,7.44,--,78,58032,买盘
164,14:48:48,7.44,0.01,77,57288,买盘
165,14:48:45,7.43,-0.01,57,42351,卖盘
166,14:48:42,7.44,--,135,100440,买盘
167,14:48:39,7.44,--,159,118296,买盘
168,14:48:36,7.44,--,17,12648,买盘
169,14:48:33,7.44,0.01,78,58032,买盘
170,14:48:30,7.43,-0.01,30,22290,卖盘
171,14:48:27,7.44,--,2,1488,买盘
172,14:48:24,7.44,--,156,116064,买盘
173,14:48:21,7.44,--,82,61008,买盘
174,14:48:18,7.44,--,472,351168,买盘
175,14:48:15,7.44,--,124,92256,买盘
176,14:48:12,7.44,--,78,58032,买盘
177,14:48:09,7.44,0.01,53,39432,买盘
178,14:48:06,7.43,--,54,40122,卖盘
179,14:48:03,7.43,--,20,14860,卖盘
180,14:48:00,7.43,-0.01,392,291256,卖盘
181,14:47:57,7.44,0.01,37,27528,买盘
182,14:47:54,7.43,--,102,75786,卖盘
183,14:47:51,7.43,-0.01,104,77272,卖盘
184,14:47:48,7.44,--,197,146568,买盘
185,14:47:42,7.44,0.01,28,20832,买盘
186,14:47:39,7.43,0.01,1922,1428699,买盘
187,14:47:36,7.42,-0.01,40,29680,卖盘
188,14:47:33,7.43,--,41,30463,买盘
